Codigo;CCAA
01;Andalucía
02;Aragón 
03;Principado de Asturias 
04;Baleares 
05;Canarias 
06;Cantabria 
07;Castilla y León  
08;Castilla La Mancha 
09;Cataluña  
10;Com.Valenciana 
11;Extremadura  
12;Galicia  
13;Com.Madrid  
14;Región de Murcia  
15;C.F.Navarra 
16;País Vasco 
17;La Rioja 
18;Ceuta
19;Melilla
98;Transito
