Codigo;CCAA
1;Andalucía
2;Aragón
3;Principado de Asturias 
4;Baleares 
5;Canarias 
6;Cantabria 
7;Castilla y León
8;Castilla La Mancha 
9;Cataluña
10;Com.Valenciana 
11;Extremadura  
12;Galicia  
13;Com.Madrid  
14;Región de Murcia  
15;C.F.Navarra 
16;País Vasco 
17;La Rioja 
18;Ceuta
19;Melilla
