A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20170201028748;2;2;13;13;2;1;6;4;101.5449075
1;20170201028713;2;2;13;13;1;1;6;4;174.64712408
1;20170201001959;2;3;13;10;1;5;6;3;36.991710612
2;20170200028792;2;2;13;13;8;4;6;4;101.44630397
1;20170200028748;2;2;13;13;2;1;6;4;101.5449075
1;20170200028713;2;2;13;13;1;1;6;4;174.64712408
1;20170200014594;2;2;13;09;8;1;6;5;116.02953755
2;20170200011541;2;2;13;10;7;1;6;5;21.641471529
1;20170200003410;2;2;13;13;8;1;1;6;77.406874762
2;20170200011538;2;2;13;10;1;5;6;2;32.826237921
1;20170200001959;2;3;13;10;1;5;6;3;36.991710612
2;20170200000033;2;2;13;05;1;1;1;6;230.8009783
2;20170200012027;2;2;13;04;1;4;1;3;54.11817823
2;20160300020058;3;3;13;05;0;1;1;1;176.22897244
1;20170100027458;2;2;13;10;1;2;6;3;52.141848793
1;20170200011095;2;2;13;10;2;5;6;5;51.212165736
1;20170200009139;2;2;13;05;1;1;6;4;315.60427071
2;20170200007881;3;2;13;98;0;5;0;1;279.64524375
2;20170200007574;2;2;13;09;1;2;6;4;165.84473046
1;20170200010998;2;2;13;10;8;1;6;4;51.518261597
1;20160300019903;2;1;13;09;2;1;6;4;134.21338002
2;20170100021483;2;1;13;01;3;1;6;6;93.237670998
2;20170200012074;2;2;13;04;8;4;6;3;71.083824283
1;20170200008028;2;2;13;15;8;4;6;4;16.619674093
1;20170100027991;2;2;13;16;1;2;6;4;186.82253613
1;20150500079530;3;1;13;09;0;1;1;1;155.4249462
1;20170200005857;3;3;13;01;0;1;6;1;24.219691529
2;20170200004757;2;2;13;04;1;1;1;3;54.306042752
1;20170200010987;2;2;13;10;1;1;1;4;77.89572129
2;20170200006268;2;2;13;04;1;1;6;4;54.668236922
1;20170200001806;2;2;13;09;1;2;6;5;18.910070736
1;20170200011100;2;2;13;10;1;1;6;4;78.41524683
1;20170200009398;2;2;13;05;6;1;1;4;189.77909188
1;20170200009390;2;2;13;13;2;1;6;4;103.5623945
2;20170200012072;2;2;13;04;1;1;1;4;42.702822343
1;20170200001804;2;2;13;09;1;2;6;3;18.910070736
2;20170200009450;2;2;13;01;8;4;6;4;198.85179668
1;20170200009339;2;2;13;05;1;1;6;4;169.89777627
1;20170200001816;2;2;13;09;1;2;6;4;18.910070736
1;20170101027450;2;2;13;10;8;1;6;5;34.470636521
1;20170100027450;2;2;13;10;8;1;6;5;34.470636521
2;20170200003916;2;2;13;10;2;2;6;4;51.071185598
1;20170200008758;3;3;13;09;0;1;1;1;75.67881892
