A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20170303031779;2;2;13;09;1;1;6;4;93.28627804
1;20170303003021;2;2;13;01;8;1;6;4;55.642667033
1;20170302031779;2;2;13;09;1;1;6;4;93.28627804
1;20170301031779;2;2;13;09;1;1;6;4;93.28627804
1;20170301031766;2;2;13;09;1;1;6;3;93.28627804
1;20170302003021;2;2;13;01;8;1;6;4;55.642667033
1;20170303003016;3;2;13;98;0;1;6;1;102.77249486
1;20170302003016;3;2;13;98;0;1;6;1;102.77249486
1;20170300031766;2;2;13;09;1;1;6;3;93.28627804
1;20170300031779;2;2;13;09;1;1;6;4;93.28627804
1;20170301003016;3;2;13;98;0;1;6;1;102.77249486
1;20170300025429;2;2;13;01;1;1;6;4;107.33942405
1;20170301001115;2;3;13;13;1;2;6;3;22.829512772
1;20170301003021;2;2;13;01;8;1;6;4;55.642667033
1;20170300003016;3;2;13;98;0;1;6;1;102.77249486
1;20170300003021;2;2;13;01;8;1;6;4;55.642667033
1;20170300006381;2;2;13;01;1;2;6;3;191.19091926
1;20170300001115;2;3;13;13;1;2;6;3;22.829512772
2;20170300005416;2;2;13;10;1;2;6;4;121.5770764
1;20170300013620;2;2;13;01;1;1;1;5;147.36583394
1;20170300008337;2;2;13;09;1;2;6;3;76.782023006
1;20170300011648;2;2;13;09;1;1;1;3;24.52286389
1;20170300013627;2;2;13;01;1;1;1;4;147.36583394
1;20170300012728;2;2;13;04;1;1;1;3;89.774604127
2;20170300006971;2;2;13;16;1;2;6;4;236.4903345
1;20170300003610;2;2;13;09;1;1;6;3;208.84938945
1;20170300012664;2;2;13;04;2;1;6;4;144.13133427
1;20170300003531;2;2;13;09;1;1;1;3;208.15155357
1;20170300013613;2;2;13;01;2;1;6;6;72.442110036
1;20170300012652;2;2;13;04;1;1;1;4;89.774604127
1;20170300010306;3;2;13;98;0;1;6;1;74.895925629
1;20170300012655;2;2;13;05;2;1;6;6;106.66137022
1;20170300012653;2;2;13;04;7;1;6;6;143.26132131
1;20170300012659;2;2;13;04;1;1;1;4;89.774604127
1;20170300006898;2;2;13;16;1;2;6;4;97.769343209
1;20170300013540;2;2;13;01;7;1;6;4;72.004831254
1;20170300013535;2;2;13;01;1;1;1;6;147.36583394
1;20170300000131;3;3;13;01;0;1;1;1;18.413753562
1;20170300000107;3;3;13;01;0;1;1;1;18.413753562
1;20170300007863;3;3;13;09;0;1;1;1;68.396667883
1;20170300013416;2;2;13;13;8;1;6;5;81.160394854
1;20170300013619;2;2;13;01;3;1;6;6;148.13484813
2;20170300002112;2;2;13;16;8;4;6;5;53.780202569
1;20170300012723;2;2;13;04;1;1;1;4;89.774604127
1;20170300012715;2;2;13;04;1;1;1;6;89.774604127
1;20170300012732;2;2;13;04;1;1;6;4;90.07557685
1;20170300000192;3;3;13;01;0;1;1;1;18.413753562
