A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160400017790;2;2;13;04;7;1;6;4;41.274507345
1;20160400021581;2;2;13;09;1;1;6;4;190.51247006
1;20160400027563;2;2;13;13;8;4;6;6;133.32963982
1;20160400007503;2;2;13;08;1;2;6;4;168.77063973
1;20160401007503;2;2;13;08;1;2;6;4;168.77063973
1;20160401027563;2;2;13;13;8;4;6;6;133.32963982
1;20160401021581;2;2;13;09;1;1;6;4;190.51247006
1;20160401015571;2;2;13;04;1;1;1;3;81.372706443
1;20160401021245;2;2;13;04;1;1;6;3;79.86471222
2;20160401019510;2;2;13;14;1;1;1;4;244.02687134
1;20160401028743;2;2;13;14;7;1;6;4;220.40031662
1;20160401021254;2;2;13;04;1;1;1;5;80.144787069
1;20160401031269;2;2;13;10;2;1;6;4;21.419209911
2;20160401019508;2;2;13;14;1;1;1;4;244.02687134
1;20160401021481;2;2;13;04;1;1;6;4;79.86471222
1;20160401021480;2;2;13;04;8;1;6;4;101.86978974
1;20160401021482;2;2;13;04;1;1;1;5;80.144787069
2;20160401031839;3;2;13;98;0;5;0;1;63.336771438
1;20160401021243;2;2;13;04;7;1;6;4;101.86978974
2;20160401024525;3;2;13;98;0;5;0;1;236.44693483
1;20160401026038;2;2;13;10;8;1;6;4;34.267974355
2;20160402007990;2;2;13;04;8;1;6;5;91.491781742
1;20160401027901;2;2;13;09;1;1;6;3;215.80174126
1;20160401021251;2;2;13;04;1;1;1;4;80.144787069
2;20160401031843;2;2;13;04;1;1;1;5;80.144787069
2;20160401019534;2;2;13;14;1;1;1;4;244.02687134
1;20160401025629;2;2;13;16;1;2;6;3;112.07282502
2;20160401007990;2;2;13;04;8;1;6;5;91.491781742
1;20160401017674;2;2;13;04;2;1;6;4;21.379236473
1;20160401016833;2;2;13;04;1;1;1;4;137.03730888
1;20160401016835;2;2;13;04;1;1;1;4;137.03730888
1;20160401021475;2;2;13;04;1;1;1;5;80.144787069
1;20160401017027;2;2;13;04;1;1;1;4;137.03730888
1;20160401021484;2;2;13;04;1;1;6;4;79.86471222
1;20160401025986;2;2;13;16;1;2;6;4;87.733081642
1;20160401010240;2;2;13;13;8;4;6;3;161.78306581
1;20160401018258;2;2;13;01;2;1;6;4;130.21068202
2;20160401012666;2;2;13;09;1;1;6;3;270.2858004
1;20160401015567;2;2;13;04;2;1;6;4;102.29344317
1;20160401015575;2;2;13;04;1;1;1;3;81.372706443
1;20160401021258;2;2;13;04;1;1;1;4;80.144787069
1;20160401013361;2;2;13;04;1;1;6;5;136.5584168
2;20160401011858;3;3;13;01;0;1;1;1;232.06777777
1;20160401017018;2;2;13;04;1;1;1;3;137.03730888
2;20160401006101;2;2;13;04;1;1;6;4;79.86471222
1;20160402010362;3;2;13;98;0;1;1;1;62.5377247
1;20160401006348;2;2;13;13;1;2;6;3;132.1417836
1;20160401021472;2;2;13;04;7;1;6;5;101.86978974
1;20160401021244;2;2;13;04;1;1;6;4;79.86471222
2;20160401006100;2;2;13;04;1;1;6;4;79.86471222
2;20160401019448;2;2;13;01;1;1;6;5;260.84505498
2;20160401019447;2;2;13;01;1;1;1;5;261.75980365
2;20160402007989;2;2;13;04;1;1;6;4;81.088340494
1;20160401020955;2;2;13;01;7;1;6;4;137.1201118
2;20160401019535;2;2;13;14;1;1;1;4;244.02687134
