A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20161101026592;2;2;13;10;1;2;6;4;96.209672436
1;20161102026592;2;2;13;10;1;2;6;4;96.209672436
1;20161101013345;2;2;13;01;7;1;6;5;86.568674486
1;20161100013345;2;2;13;01;7;1;6;5;86.568674486
2;20161100030311;2;2;13;02;8;4;6;6;146.95636894
1;20161100026592;2;2;13;10;1;2;6;4;96.209672436
1;20161100005266;2;2;13;10;8;1;6;5;138.1932035
1;20161100005635;3;3;13;05;0;1;1;1;47.745824771
1;20141100061947;3;1;13;98;0;1;6;1;10.753932407
2;20161100010224;2;2;13;04;1;1;1;3;43.320019066
1;20161100006662;3;3;13;01;0;1;1;1;47.745824771
2;20161100008106;3;2;13;04;0;2;6;1;21.353577264
2;20161100010225;2;2;13;04;1;1;6;3;42.951811145
2;20161100003351;2;2;13;10;1;1;6;4;384.10104717
2;20161100003396;2;2;13;09;1;1;6;3;279.06230112
2;20161100003352;2;2;13;09;1;1;1;3;281.45458556
2;20161000021363;2;3;13;09;1;1;6;4;23.722418594
2;20161100004885;2;2;13;04;1;2;6;3;36.867660098
2;20161100004950;2;2;13;04;1;1;1;5;37.254445894
2;20161001021363;2;3;13;09;1;1;6;4;23.722418594
2;20161100000554;2;2;13;13;1;1;1;5;230.72955298
2;20161100000441;2;2;13;10;1;1;6;4;185.96595976
2;20161100000605;2;2;13;13;8;1;6;4;84.538612073
2;20161100010158;2;2;13;04;7;1;6;2;47.701791932
1;20161100006748;3;3;13;01;0;1;1;1;47.745824771
2;20161100003356;2;2;13;09;1;2;6;2;124.6286025
1;20161100005640;3;3;13;05;0;1;1;1;47.745824771
1;20150500079530;3;1;13;09;0;1;1;1;54.850084757
2;20161100001159;2;2;13;09;2;1;6;3;117.24963851
2;20161100010222;2;2;13;04;1;1;1;3;43.320019066
2;20161100010156;2;2;13;04;8;1;6;3;47.701791932
2;20161100001001;2;2;13;13;8;4;6;4;101.22242998
2;20161100004886;2;2;13;04;7;1;6;5;41.022692624
2;20161100003397;2;2;13;09;1;1;1;4;281.45458556
2;20161100000396;2;2;13;10;2;4;6;5;51.317359671
2;20161100008056;2;2;13;04;1;2;6;2;36.867660098
1;20151000009383;2;1;13;01;6;1;6;5;54.086359715
1;20161100000385;2;2;13;10;1;1;6;4;59.661264638
1;20161100004128;2;2;13;13;1;2;6;3;255.47226677
1;20161001012968;3;3;13;05;0;1;1;1;20.275618056
2;20161100004952;2;2;13;04;1;1;6;4;36.937793632
2;20161000032601;2;1;13;15;1;4;6;2;138.4111308
2;20161100000552;2;2;13;13;8;4;6;3;85.268409167
2;20161100000439;2;2;13;10;2;1;6;4;50.87814355
1;20161100006701;3;3;13;05;0;1;1;1;47.745824771
2;20161100010560;2;2;13;13;1;3;6;3;76.155381741
2;20161100004884;2;2;13;04;8;4;6;3;41.376829522
2;20161100010830;2;2;13;10;8;4;6;5;50.920752919
2;20161100003350;2;2;13;09;1;1;6;4;279.06230112
2;20161100010159;2;2;13;04;1;2;6;3;42.870258837
2;20161100008057;2;2;13;04;7;4;6;4;41.376829522
2;20161100000607;2;2;13;13;1;1;6;4;228.76841698
1;20161100005642;3;3;13;05;0;1;1;1;47.745824771
2;20161001004095;3;2;13;09;0;1;1;1;54.024460038
2;20161100010722;2;1;13;09;9;1;6;3;16.224396354
1;20161100007272;2;2;13;13;1;1;6;2;352.69998203
2;20161100001913;2;2;13;09;1;1;6;4;422.18432104
2;20161100008068;2;2;13;04;7;1;6;4;41.022692624
1;20161100005693;2;3;13;05;1;1;1;2;91.422042304
2;20161000004095;3;2;13;09;0;1;1;1;54.024460038
2;20161100004949;2;2;13;04;1;1;6;4;36.937793632
1;20161100008169;2;2;13;01;1;1;6;5;175.76964518
1;20110500083665;3;1;13;09;0;1;6;1;43.975384637
2;20161100004951;2;2;13;04;1;1;6;3;36.937793632
2;20161000024263;2;1;13;01;2;3;6;6;121.63317877
2;20161100008012;2;2;13;04;1;1;1;4;37.254445894
2;20161100010157;2;2;13;04;8;4;6;3;48.113587539
2;20161100010155;2;2;13;04;2;5;6;4;48.209231743
2;20161100004883;2;2;13;04;1;1;1;5;37.254445894
2;20161100009978;2;2;13;01;1;2;6;4;308.01740169
2;20161100008059;2;2;13;04;8;1;6;5;41.022692624
2;20161000029901;2;1;13;14;3;1;6;6;341.43162691
1;20161000012968;3;3;13;05;0;1;1;1;20.275618056
2;20161100010221;2;2;13;04;1;1;6;3;42.951811145
2;20161100000604;2;2;13;13;1;1;6;4;228.76841698
2;20161100006131;2;2;13;10;8;4;6;5;86.587733083
2;20161100000606;2;2;13;13;1;1;6;4;228.76841698
1;20161100006504;3;3;13;09;0;1;1;1;133.07827582
2;20161100000551;2;2;13;08;8;4;6;5;125.89028258
2;20161100007807;2;2;13;16;1;2;6;4;201.77567322
2;20161100008058;2;2;13;04;1;1;6;4;36.937793632
1;20161001006291;2;2;13;04;1;1;6;4;19.8415852
1;20161100013033;2;2;13;04;1;1;6;4;36.937793632
1;20161100029703;2;2;13;09;1;2;6;5;168.50132641
1;20161100020803;2;2;13;09;1;1;6;3;13.7049441
1;20161100020827;2;2;13;09;1;1;6;3;13.7049441
1;20161100020935;2;2;13;09;1;1;6;3;13.7049441
2;20161101003351;2;2;13;10;1;1;6;4;384.10104717
1;20161100020931;2;2;13;09;1;1;1;3;13.822430856
1;20161100020829;2;2;13;09;1;1;6;3;13.7049441
1;20161100011210;2;2;13;04;1;1;6;4;36.937793632
1;20161100013049;2;2;13;04;7;1;6;4;41.022692624
1;20161100020902;2;2;13;09;1;1;1;4;13.822430856
