A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160700025125;3;2;13;98;0;2;6;1;105.42691118
2;20160700027558;2;2;13;09;1;1;6;4;169.69488435
1;20160700028338;2;2;13;09;8;1;6;6;185.61303949
1;20160700025683;2;2;13;13;8;1;6;4;195.15789337
2;20160701027558;2;2;13;09;1;1;6;4;169.69488435
2;20160701004644;2;2;13;05;1;1;1;4;195.34846607
1;20160701028496;2;2;13;13;1;1;6;4;92.075163449
1;20160701026283;3;3;13;04;0;1;1;1;143.41332383
1;20160701013871;2;4;13;09;1;1;6;3;111.67866059
2;20160701011111;2;2;13;05;1;1;1;4;191.58222551
1;20160701015056;3;3;13;04;0;1;1;1;143.41332383
1;20160701008037;2;2;13;13;1;1;6;4;114.97992928
2;20160700038584;2;1;13;10;8;1;6;4;1095.6650114
1;20160701028493;2;2;13;13;2;3;6;6;74.682863424
2;20160701024862;2;2;13;04;1;1;1;4;111.38772301
2;20160701025765;2;2;13;09;1;1;6;4;387.74621337
1;20160701018699;3;4;13;98;0;5;6;1;40.880027792
1;20160701009804;3;2;13;98;0;1;6;1;218.50579409
2;20160701015576;2;2;13;01;1;1;1;4;257.86590918
2;20160701003907;2;2;13;09;1;1;1;4;135.63930011
1;20160701012656;2;4;13;09;1;1;6;4;111.67866059
1;20160701000867;2;2;13;04;2;1;6;5;325.0568858
2;20160701011048;2;2;13;05;1;1;1;4;191.58222551
2;20160701027114;2;2;13;01;1;1;6;5;289.35233697
2;20160701016079;2;2;13;04;1;1;1;4;166.47428574
1;20160701019309;2;2;13;04;2;1;6;4;529.93533267
1;20160701019321;2;2;13;04;1;1;1;4;626.45459004
2;20160701016016;2;2;13;04;1;1;1;4;166.47428574
2;20160701026255;2;3;13;16;3;1;6;3;42.89543611
2;20160701027113;3;2;13;09;0;1;1;1;233.47097611
2;20160701005356;2;2;13;05;1;1;1;4;191.58222551
2;20160701027052;2;2;13;09;2;1;6;4;187.34038165
2;20160701003540;2;2;13;09;1;1;1;4;342.21257355
1;20160701008828;2;2;13;05;1;1;1;5;163.61965204
1;20160701012912;2;2;13;05;1;1;1;4;195.34846607
1;20160701015068;3;3;13;04;0;1;1;1;143.41332383
1;20160701028502;3;2;13;98;0;1;6;1;76.69670264
1;20160700036808;2;2;13;03;2;1;6;5;53.679351656
2;20160701004647;2;2;13;05;1;1;1;4;195.34846607
1;20160701015070;3;3;13;04;0;1;1;1;143.41332383
2;20160701012137;3;2;13;98;0;5;0;1;203.21148015
1;20160701024367;3;2;13;98;0;1;6;1;76.69670264
2;20160701025629;2;2;13;09;1;1;6;4;387.74621337
1;20160701019384;2;2;13;04;2;1;6;4;529.93533267
1;20160700038779;2;4;13;09;1;1;6;3;111.67866059
1;20160701015019;3;3;13;04;0;1;1;1;143.41332383
1;20160701015073;3;3;13;04;0;1;1;1;143.41332383
1;20160701015020;3;3;13;04;0;1;1;1;143.41332383
2;20160701020614;2;2;13;05;1;1;1;5;252.63316181
2;20160701016450;3;3;13;10;0;1;1;1;143.41332383
1;20160701028490;2;2;13;13;1;1;6;4;92.075163449
2;20160701020728;3;2;13;98;0;5;0;1;72.427025414
1;20160701007035;2;2;13;05;1;1;1;4;195.34846607
1;20160700037301;3;2;13;98;0;1;6;1;98.592977651
2;20160701006151;3;3;13;09;0;1;1;1;143.41332383
2;20160701014564;3;2;13;98;0;5;0;1;87.465098469
1;20160701012844;2;2;13;05;1;1;1;4;195.34846607
1;20160701019297;2;2;13;04;1;1;6;4;621.46489947
2;20160701020536;2;2;13;09;1;1;6;4;304.7794857
2;20160701016077;2;2;13;04;1;1;1;4;166.47428574
1;20160701007026;2;2;13;05;1;1;1;4;195.34846607
1;20160701012918;2;2;13;05;2;1;1;5;283.09979126
2;20160701002273;2;2;13;05;1;1;1;5;168.41069853
2;20160701002051;2;2;13;04;1;1;1;4;384.26080615
2;20160701016017;2;2;13;04;1;1;1;4;166.47428574
1;20160701000241;3;3;13;04;0;1;1;1;143.41332383
1;20160701026290;3;3;13;04;0;1;1;1;143.41332383
