A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
2;20161200024868;2;2;13;16;8;3;6;4;92.301493758
2;20161200011067;3;3;13;05;0;1;1;1;57.381204629
1;20161200029832;2;2;13;09;1;1;6;4;206.06009015
2;20161200028712;2;2;13;04;1;1;1;3;54.279410558
1;20161200001397;2;2;13;01;1;1;6;6;221.53286388
2;20161200003053;2;2;13;04;7;1;6;3;34.322560214
2;20161200000635;2;2;13;13;1;1;6;3;156.65297369
1;20161200010543;2;2;13;09;1;1;6;4;234.15821546
1;20161200010385;2;2;13;09;1;1;1;3;233.89597199
1;20161200010536;2;2;13;09;1;1;6;4;234.15821546
1;20151000009383;2;1;13;01;6;1;6;5;57.956610198
1;20161200008505;3;2;13;98;0;1;6;1;173.95610619
2;20161200003052;2;2;13;04;1;1;6;4;54.340268471
1;20161200001471;2;2;13;01;1;1;1;4;221.28476006
2;20161200003931;2;2;13;05;1;1;6;6;308.61634226
2;20161200008098;2;2;13;04;1;1;1;4;115.06348193
1;20161200010551;2;2;13;09;1;1;6;4;234.15821546
1;20161200005833;3;3;13;10;0;1;1;1;57.381204629
2;20161200006015;2;2;13;05;1;1;6;3;194.60817261
2;20161200007113;3;2;13;98;0;5;0;1;189.49513049
2;20161200010030;2;2;13;04;7;1;6;4;78.968210302
2;20161100023059;2;3;13;01;1;1;1;2;11.897635956
2;20161101023059;2;3;13;01;1;1;1;2;11.897635956
1;20161200010386;2;2;13;09;2;1;6;3;146.51843929
2;20161200006017;2;2;13;05;1;1;6;4;194.60817261
1;20150500079530;3;1;13;09;0;1;1;1;87.361143032
1;20161200000498;2;2;13;01;8;2;6;4;63.14408145
1;20161200002309;2;2;13;10;1;1;6;3;126.43486759
2;20161200008366;2;2;13;09;1;1;6;4;189.41851452
1;20161200010404;2;2;13;09;1;1;6;4;234.15821546
1;20161200002292;2;2;13;10;7;1;6;6;47.082817134
2;20161200006018;2;2;13;05;1;1;1;4;194.39022288
