A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20170400023068;2;2;13;09;6;1;6;5;217.50499793
2;20170400030222;2;2;13;13;1;1;6;3;181.50318057
2;20170400000441;3;2;13;98;0;5;0;1;351.5499043
1;20170401023068;2;2;13;09;6;1;6;5;217.50499793
2;20170401030222;2;2;13;13;1;1;6;3;181.50318057
1;20170401036105;2;2;13;05;5;1;1;4;209.46928987
1;20170401036170;2;2;13;05;1;1;1;4;250.64385239
1;20170401036077;2;2;13;05;5;1;1;4;209.46928987
2;20170401012910;3;3;13;01;0;1;1;1;43.103674501
1;20170401005401;2;2;13;04;1;1;6;4;96.415042684
1;20170402003096;2;2;13;04;1;1;6;4;96.415042684
2;20170401003949;2;2;13;09;1;1;6;4;159.60848654
2;20170401009610;3;3;13;05;0;1;1;1;370.19431275
1;20170401019512;2;2;13;09;2;1;6;4;134.36799388
1;20170401005567;2;2;13;04;1;1;6;4;96.415042684
1;20170401024103;2;2;13;04;7;2;6;5;352.08253503
1;20170401036165;2;2;13;05;5;1;1;4;209.46928987
1;20170401016722;2;2;13;16;1;1;6;4;63.661463402
1;20170402001472;3;3;13;05;0;1;1;1;43.103674501
1;20170401036101;2;2;13;05;1;1;6;4;248.63955104
2;20170401012922;3;3;13;01;0;1;1;1;43.103674501
1;20170401014591;2;2;13;04;8;1;6;4;67.629332432
1;20170402005570;2;2;13;04;1;1;6;4;96.415042684
1;20170401036100;2;2;13;05;1;1;6;5;248.63955104
1;20170402001451;3;3;13;09;0;1;1;1;43.103674501
1;20170401005578;2;2;13;04;1;1;6;4;96.415042684
2;20170401011994;3;3;13;09;0;1;1;1;64.384330023
1;20170402005411;2;2;13;04;1;1;1;4;97.192251296
2;20170401014318;3;3;13;01;0;1;1;1;43.103674501
1;20170401036171;2;2;13;05;1;1;1;4;250.64385239
1;20170401019509;2;2;13;09;1;1;6;4;123.54641227
1;20170401005395;2;2;13;04;1;1;6;4;96.415042684
1;20170401017649;2;2;13;09;1;1;6;4;36.048529679
1;20170401014240;3;3;13;09;0;1;1;1;64.384330023
2;20170401032283;2;2;13;01;1;1;1;4;267.51940932
1;20170402001464;3;3;13;09;0;1;1;1;43.103674501
1;20170401036169;2;2;13;05;5;1;1;4;209.46928987
1;20170401005573;2;2;13;04;2;1;1;4;132.7689089
1;20170401036103;2;2;13;05;2;1;6;4;207.79424547
1;20170401036080;2;2;13;05;5;1;1;4;209.46928987
1;20170401005576;2;2;13;04;1;1;6;4;96.415042684
2;20170402001083;2;2;13;05;1;1;1;4;231.77919029
1;20170401036153;2;2;13;05;5;1;1;4;209.46928987
1;20170401014980;2;2;13;01;7;2;6;4;26.897492511
1;20170401036151;2;2;13;05;5;1;1;4;209.46928987
2;20170401003948;2;2;13;09;1;1;6;3;159.60848654
1;20170401017758;2;2;13;09;1;1;1;3;36.339119476
