A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20151201025853;2;2;13;05;1;1;1;5;251.39233334
1;20151200025853;2;2;13;05;1;1;1;5;251.39233334
1;20151201023471;2;2;13;09;1;1;6;4;121.46721608
2;20151200023912;2;2;13;09;8;1;6;6;15.463245958
1;20151200023471;2;2;13;09;1;1;6;4;121.46721608
2;20151200016827;2;3;13;09;8;4;6;6;37.424908794
1;20151200008242;3;3;13;98;0;1;1;1;55.441003282
2;20151200017378;3;3;13;04;0;1;1;1;48.065488007
2;20151200021568;2;2;13;09;1;2;6;4;150.01683898
2;20151200007373;2;2;13;09;1;1;6;3;149.84669045
1;20151200008541;3;3;13;04;0;1;1;1;48.065488007
2;20151200007948;2;2;13;05;1;1;6;4;258.69956829
1;20151200014258;2;2;13;04;2;2;6;6;91.80175455
2;20151200008156;2;2;13;09;1;1;6;3;182.22573774
2;20151200007466;2;2;13;06;8;1;6;4;19.379333341
2;20151200007470;2;2;13;13;8;4;6;4;39.34197281
2;20151200007981;2;2;13;05;7;1;6;4;159.65152708
2;20151200007460;2;2;13;16;8;4;6;4;142.28951121
1;20151200008543;3;3;13;04;0;1;1;1;48.065488007
2;20151200007454;2;2;13;15;8;4;6;4;10.00612507
1;20151200008521;3;3;13;98;0;1;1;1;55.441003282
2;20151200018423;2;2;13;13;1;2;6;3;437.62630628
2;20151200020068;3;2;13;98;0;5;0;1;51.925407315
1;20151200014326;2;2;13;04;1;1;6;4;30.71659285
1;20151200008442;3;3;13;98;0;1;1;1;55.441003282
2;20151200004026;2;2;13;16;1;2;6;3;143.07861384
1;20151200008504;3;3;13;98;0;1;6;1;55.441003282
1;20151200000606;3;3;13;09;0;1;1;1;55.441003282
2;20151200014574;2;2;13;10;2;1;6;3;22.54443989
2;20151200013490;2;2;13;03;1;1;6;5;142.91633462
1;20151200014133;2;2;13;04;1;1;1;4;29.848971144
1;20151200010517;2;2;13;09;1;1;6;4;157.97753683
1;20151200020905;2;2;13;04;7;1;6;6;56.595159808
2;20151200021792;2;2;13;17;8;3;6;6;51.229590168
1;20151200008466;3;3;13;98;0;1;1;1;55.441003282
1;20151100008767;2;1;13;01;1;1;6;5;86.283898767
2;20151200014558;2;2;13;10;1;1;6;3;83.131505081
1;20151200000590;3;3;13;09;0;1;1;1;55.441003282
2;20151200007446;2;2;13;16;1;1;6;3;163.27143578
1;20151200000717;2;1;13;10;7;1;6;6;74.15082474
2;1214EVC0003248;2;1;13;12;3;5;6;2;1317.3624693
1;20151200008758;3;3;13;04;0;1;1;1;48.065488007
2;20151200017370;3;3;13;04;0;1;1;1;48.065488007
1;20151200008696;3;3;13;04;0;1;1;1;48.065488007
2;20151200004037;2;2;13;16;1;2;6;4;143.07861384
1;20151200014147;2;2;13;04;8;1;6;5;18.279772536
1;20151200008717;3;3;13;04;0;1;1;1;48.065488007
2;20151200013204;3;1;13;98;0;5;0;1;142.37527958
2;20151200017356;3;3;13;04;0;1;1;1;48.065488007
1;20151200002183;2;2;13;16;1;2;6;3;66.712224987
1;20151200008713;3;3;13;04;0;1;1;1;48.065488007
1;20151000009383;2;1;13;01;6;1;6;5;47.157065143
1;20151200002055;2;2;13;16;1;2;6;2;163.4568279
1;20151200014306;2;2;13;04;7;1;6;5;18.279772536
1;20141200036134;2;2;13;05;1;1;1;6;131.26999316
1;20151200019505;2;2;13;10;2;1;6;4;16.897916442
1;20151200014137;2;2;13;04;7;2;6;3;18.300528927
1;20151200018766;2;2;13;01;1;1;6;4;635.60997619
1;20151200008443;3;3;13;98;0;1;1;1;55.441003282
1;20151200021042;3;2;13;98;0;1;6;1;43.151457975
1;20151200014135;2;2;13;04;1;2;6;3;30.751471052
1;20151200003815;3;3;13;09;0;1;1;1;48.065488007
1;20141200036137;2;2;13;05;1;1;1;6;131.26999316
1;20151201014133;2;2;13;04;1;1;1;4;29.848971144
1;20151200023019;2;2;13;05;1;1;6;6;97.447005859
1;20151201008442;3;3;13;98;0;1;1;1;55.441003282
2;20151200024016;2;2;13;05;1;1;1;4;1689.9084834
2;20151201014574;2;2;13;10;2;1;6;3;22.54443989
2;20151201017370;3;3;13;04;0;1;1;1;48.065488007
1;20151200037047;3;2;13;98;0;1;6;1;83.436094054
1;20151200037154;2;2;13;09;1;1;6;3;172.66675936
2;20151200033209;2;2;13;05;8;4;6;5;159.49050627
1;20151200037253;2;2;13;09;1;1;6;4;172.66675936
2;20151201007446;2;2;13;16;1;1;6;3;163.27143578
1;20151201000606;3;3;13;09;0;1;1;1;55.441003282
2;20151200029898;2;2;13;09;1;1;6;5;28.952943867
1;20151200037274;2;2;13;09;1;1;6;4;172.66675936
1;20151201008521;3;3;13;98;0;1;1;1;55.441003282
1;20151201008717;3;3;13;04;0;1;1;1;48.065488007
1;20151200037071;2;2;13;09;8;1;6;5;92.06072167
1;20151200035201;2;2;13;10;8;1;6;5;16.303910764
2;20151200029722;2;2;13;04;8;4;6;5;18.261335984
2;20151200032013;2;2;13;04;8;4;6;4;18.261335984
1;20151200037046;2;2;13;09;1;1;6;4;172.66675936
1;20151200029773;3;2;13;98;0;1;1;1;12.633349938
2;20151201014558;2;2;13;10;1;1;6;3;83.131505081
1;20151200029599;3;2;13;98;0;1;6;1;12.633349938
2;20151201017356;3;3;13;04;0;1;1;1;48.065488007
