A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160200016220;2;2;13;09;1;3;6;4;117.66419721
2;0315EVT0008557;3;4;13;09;0;2;0;1;31.208158015
1;20160200014382;2;2;13;01;1;2;6;4;122.75104106
1;20160200010285;3;3;13;04;0;1;1;1;32.519588729
2;20160200003902;2;2;13;04;7;2;6;2;67.548384573
1;20160200011116;2;2;13;04;1;1;1;4;64.573376446
1;20160200010256;3;3;13;04;0;1;1;1;32.519588729
1;20160200014264;2;2;13;10;8;1;6;4;49.066413714
1;20160200011121;2;2;13;04;2;1;6;4;68.928989116
1;20160200011125;2;2;13;04;8;1;6;6;68.319636934
2;20160103003159;3;3;13;01;0;1;1;1;11.728891979
1;20160200014614;2;2;13;04;1;1;1;4;104.56816493
1;20150500079530;3;1;13;09;0;1;1;1;106.18744492
2;20160200006584;2;2;13;01;8;1;6;4;30.909996061
1;20160200014062;3;3;13;09;0;1;1;1;32.519588729
2;20160200000774;3;2;13;98;0;5;0;1;51.383906974
1;20160200010162;3;3;13;04;0;1;1;1;32.519588729
2;20160200000231;3;3;13;04;0;1;1;1;32.519588729
1;20160200014630;2;2;13;04;1;1;6;4;105.6532605
2;20160200003862;2;2;13;04;1;4;6;4;64.871182385
2;20160100003151;3;3;13;01;0;1;1;1;11.728891979
1;20160200010923;2;2;13;04;7;1;6;4;68.319636934
1;20160200010928;2;2;13;04;1;1;6;4;65.243449265
2;20160200006648;2;2;13;04;2;1;6;4;70.563970703
2;20160200003900;2;2;13;04;2;4;6;4;68.535693238
1;20160200013982;3;3;13;09;0;1;1;1;32.519588729
2;20160200006499;2;2;13;10;1;4;1;4;86.575703185
2;20160200001272;2;2;13;09;8;4;6;4;217.28909276
1;20160200014634;2;2;13;04;1;1;1;4;66.105043787
1;20160200014656;2;2;13;04;1;1;6;4;66.791010597
1;20160200012708;3;3;13;05;0;1;1;1;11.728891979
2;20160100003162;3;3;13;01;0;1;1;1;11.728891979
1;20160200014632;2;2;13;04;1;1;1;4;104.56816493
1;20160200005325;2;2;13;10;1;2;6;3;30.220603233
1;20160200014817;2;2;13;04;2;1;6;5;111.62151182
1;20160200010186;3;3;13;04;0;1;1;1;32.519588729
2;20160100003148;3;3;13;01;0;1;1;1;11.728891979
1;20160200011130;3;2;13;98;0;2;6;1;42.856056434
2;20160200003824;2;2;13;04;1;1;6;3;65.243449265
2;20160101003159;3;3;13;01;0;1;1;1;11.728891979
1;20160200011129;2;2;13;04;1;1;6;4;65.243449265
1;20160200014624;2;2;13;04;1;1;1;4;104.56816493
1;20160200010913;2;2;13;04;1;1;6;4;65.243449265
2;20160200003456;2;2;13;04;1;1;6;3;65.243449265
2;20160100003159;3;3;13;01;0;1;1;1;11.728891979
