A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160509012418;2;2;13;09;2;1;6;4;129.82696885
1;20160514012418;2;2;13;09;2;1;6;4;129.82696885
1;20160511012418;2;2;13;09;2;1;6;4;129.82696885
1;20160508012418;2;2;13;09;2;1;6;4;129.82696885
1;20160513012418;2;2;13;09;2;1;6;4;129.82696885
1;20160506012418;2;2;13;09;2;1;6;4;129.82696885
1;20160515012418;2;2;13;09;2;1;6;4;129.82696885
1;20160512012418;2;2;13;09;2;1;6;4;129.82696885
1;20160504012418;2;2;13;09;2;1;6;4;129.82696885
1;20160517012418;2;2;13;09;2;1;6;4;129.82696885
1;20160507012418;2;2;13;09;2;1;6;4;129.82696885
1;20160505012418;2;2;13;09;2;1;6;4;129.82696885
1;20160516012418;2;2;13;09;2;1;6;4;129.82696885
1;20160510012418;2;2;13;09;2;1;6;4;129.82696885
1;20160503012418;2;2;13;09;2;1;6;4;129.82696885
1;20160501012528;2;2;13;09;1;1;6;4;306.29882931
1;20160501012418;2;2;13;09;2;1;6;4;129.82696885
1;20160501012510;2;2;13;09;1;1;6;3;306.29882931
1;20160502012418;2;2;13;09;2;1;6;4;129.82696885
1;20160500017583;2;2;13;09;1;1;6;2;94.384353048
1;20160500026570;2;2;13;04;8;1;6;5;68.442256665
1;20160500012510;2;2;13;09;1;1;6;3;306.29882931
1;20160500012418;2;2;13;09;2;1;6;4;129.82696885
1;20160500011119;2;2;13;10;8;1;6;5;29.03559813
1;20160500007614;2;2;13;04;1;1;1;4;304.19671154
1;20160500012528;2;2;13;09;1;1;6;4;306.29882931
1;20160500012518;2;2;13;09;1;1;6;3;306.29882931
1;20160500010595;2;2;13;09;8;1;6;3;74.363101681
2;0615EVA0008520;2;2;13;04;1;1;1;5;182.0768184
1;20160500006642;2;2;13;04;1;1;6;4;302.33125281
1;20160500015418;2;2;13;05;1;1;1;5;359.18216308
1;20160500005925;2;2;13;09;2;1;6;4;86.992982131
1;20160500006655;2;2;13;04;1;1;6;4;308.28616477
1;20160500015415;2;2;13;05;1;1;1;5;359.18216308
1;20160500007538;2;2;13;04;1;1;6;4;302.33125281
1;20150500079530;3;1;13;09;0;1;1;1;68.043926963
1;20160500006155;2;2;13;08;8;1;6;5;121.69825894
2;20160500007123;3;3;13;04;0;1;1;1;157.3323882
1;20160500015530;2;2;13;05;1;1;6;5;356.97951105
1;20160500015405;2;2;13;05;1;1;1;5;359.18216308
1;20160500006156;2;2;13;13;1;1;6;4;293.55319138
2;20160500006029;2;2;13;09;2;1;6;4;174.11058126
2;20160500004398;2;2;13;04;1;1;1;5;281.92610792
2;20160500002906;2;2;13;04;1;1;1;4;304.19671154
1;20160500015410;2;2;13;05;1;1;1;5;359.18216308
1;20160500008104;3;3;13;09;0;1;1;1;157.3323882
1;20160500007532;2;2;13;04;1;1;6;4;302.33125281
1;20160500005996;2;2;13;09;1;2;6;2;205.99296674
2;20160500007101;3;3;13;04;0;1;1;1;157.3323882
1;20160500006012;2;2;13;09;2;1;6;3;86.992982131
1;20160500007607;2;2;13;04;8;1;6;3;171.63010056
1;20160500006161;2;2;13;13;1;1;6;4;293.55319138
2;20160500007579;2;2;13;04;6;1;6;5;171.20351317
2;20160500002874;2;2;13;04;1;1;6;5;302.33125281
1;20160500005949;2;2;13;09;1;1;6;4;205.24124394
1;20160500006647;2;2;13;04;7;1;6;4;175.01063806
1;20160500015523;2;2;13;05;1;1;1;4;359.18216308
1;20160500015421;2;2;13;05;1;1;1;5;359.18216308
1;20160500006641;2;2;13;04;7;1;6;5;175.01063806
1;20150600087151;2;1;13;13;3;1;6;6;129.48174255
1;20160500015403;2;2;13;05;1;1;1;5;359.18216308
2;20160500005972;2;2;13;09;1;1;1;3;413.31108765
1;20160500015521;2;2;13;05;1;1;1;5;359.18216308
1;20160500006158;2;2;13;13;1;1;6;3;293.55319138
2;20160500004400;2;2;13;04;1;1;6;4;280.19722165
2;20160500003776;2;2;13;09;8;4;6;4;138.91109819
1;20160500007543;2;2;13;04;1;1;6;3;302.33125281
2;20160500005967;2;2;13;09;1;1;1;3;413.31108765
1;20160500007603;2;2;13;04;1;2;6;5;303.43858041
1;20160500015408;2;2;13;05;1;1;1;5;359.18216308
1;20160500005937;2;2;13;09;1;1;6;3;205.24124394
1;20160500015409;2;2;13;05;1;1;1;4;359.18216308
1;20160500015404;2;2;13;05;7;1;6;6;187.97252341
2;20160500006032;2;2;13;09;1;1;1;4;413.31108765
2;20160500002905;2;2;13;04;2;1;6;5;171.20351317
1;20160500006091;2;2;13;13;1;2;6;5;294.62836819
1;20160500006723;2;2;13;04;1;1;6;5;302.33125281
1;20160500006653;2;2;13;04;1;1;6;4;308.28616477
1;20160500005942;2;2;13;09;1;1;6;4;205.24124394
1;20160500005341;2;2;13;16;1;1;6;3;65.649245379
1;20160500015520;2;2;13;05;8;1;6;4;187.97252341
1;20160500006002;2;2;13;05;1;1;6;5;210.00334855
1;20160500014847;2;2;13;09;1;1;1;4;206.50763327
2;20160500007138;3;3;13;04;0;1;1;1;157.3323882
2;20160500013580;2;2;13;09;1;1;6;3;205.24124394
1;20160400026143;2;2;13;10;2;1;6;4;162.79838544
1;20160500007546;2;2;13;04;7;1;6;5;171.63010056
1;20160500006722;2;2;13;04;1;5;6;4;307.03340234
1;20160500007545;2;2;13;04;2;1;6;5;171.20351317
1;20150400076106;2;1;13;13;1;1;1;4;432.22204841
1;20160500015416;2;2;13;05;1;1;1;4;359.18216308
1;20160500007542;2;2;13;04;1;1;6;5;302.33125281
1;20160500001059;3;2;13;98;0;1;6;1;126.80312048
1;20160500015512;2;2;13;05;1;1;6;5;356.97951105
1;20160500015516;2;2;13;05;1;1;6;4;356.97951105
1;20160500011621;2;1;13;01;1;1;6;6;138.02814303
1;20160500014849;2;2;13;09;2;1;6;4;86.992982131
1;20160500014839;2;2;13;09;2;1;6;4;86.992982131
1;20160500006648;2;2;13;04;7;1;6;4;171.63010056
1;20160500015401;2;2;13;05;1;1;1;4;359.18216308
1;20160500006154;3;2;13;98;0;2;6;1;140.73484917
1;20160500008263;2;4;13;09;1;1;6;3;96.017204686
1;20150500078769;3;1;13;98;0;5;6;1;262.37867579
1;20160500015519;2;2;13;05;1;1;1;5;359.18216308
1;20160500006649;2;2;13;04;2;1;6;5;171.20351317
1;20160500015412;2;2;13;05;7;1;6;6;187.97252341
1;20160500015511;2;2;13;05;1;1;1;4;359.18216308
1;20150500080191;2;1;13;09;1;1;1;5;299.12346117
2;20160500011038;2;2;13;04;1;1;1;5;281.92610792
2;20160500006030;2;2;13;09;1;1;1;4;413.31108765
1;20160500007602;2;2;13;04;6;1;6;5;171.20351317
2;20160500003847;2;2;13;09;6;1;6;3;136.44372853
1;20160401026143;2;2;13;10;2;1;6;4;162.79838544
1;20160500015529;2;2;13;05;8;1;6;4;187.97252341
1;20160500006719;2;2;13;04;1;1;6;4;302.33125281
2;20160500014641;2;2;13;04;1;1;1;4;304.19671154
1;20160500004458;2;2;13;04;1;1;6;4;1124.0953535
1;20160500005933;2;2;13;09;1;1;1;4;206.50763327
1;20160500001068;3;2;13;98;0;1;1;1;126.80312048
1;20160500015423;2;2;13;05;8;1;6;5;187.97252341
2;20160500001226;3;3;13;09;0;1;1;1;157.3323882
1;20140500074752;2;1;13;12;1;1;6;5;250.10721857
2;20160500007641;2;2;13;04;4;1;1;4;305.30274701
1;20160500006643;2;2;13;04;1;1;1;4;304.19671154
1;20160500015402;2;2;13;05;8;1;6;4;187.97252341
1;20150500079126;2;1;13;13;9;1;6;3;133.93102026
1;20160500006644;2;2;13;04;1;2;1;4;305.31087163
1;20160500015411;2;2;13;05;1;1;1;5;359.18216308
1;20160500008332;2;2;13;10;1;2;6;3;476.86669849
1;20160500015531;2;2;13;05;1;1;6;4;356.97951105
1;20160500015532;2;2;13;05;2;1;6;6;187.50531686
1;20160500006720;2;2;13;04;1;1;1;3;304.19671154
1;20160500006087;2;2;13;13;1;1;6;4;293.55319138
1;20160500007533;2;2;13;04;1;1;1;5;304.19671154
2;20160500009180;2;1;13;01;3;1;6;4;69.945406624
1;20160500013543;2;2;13;09;2;4;6;3;176.81851826
1;20160500015526;2;2;13;05;1;1;1;5;359.18216308
1;20160500015518;2;2;13;05;1;1;1;4;359.18216308
2;20160500003845;2;2;13;09;9;1;6;4;136.78370505
1;20160500003871;2;2;13;09;1;1;6;4;122.43979715
2;20160500004463;2;2;13;04;8;1;6;4;159.06485645
2;20160500007640;2;2;13;04;1;1;1;5;304.19671154
2;20160500003777;2;2;13;09;1;1;6;3;321.90965164
1;20160500012056;2;2;13;01;1;2;6;4;302.132505
