A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20161004020764;2;2;13;13;1;1;1;2;114.49403281
2;20161003019788;2;2;13;01;1;1;1;4;278.00020841
1;20161003020764;2;2;13;13;1;1;1;2;114.49403281
1;20161001020764;2;2;13;13;1;1;1;2;114.49403281
1;20161001022267;2;2;13;09;1;1;6;4;171.23288748
2;20161001019788;2;2;13;01;1;1;1;4;278.00020841
2;20161002019788;2;2;13;01;1;1;1;4;278.00020841
1;20161002020764;2;2;13;13;1;1;1;2;114.49403281
2;20161000019788;2;2;13;01;1;1;1;4;278.00020841
1;20161000022267;2;2;13;09;1;1;6;4;171.23288748
1;20161000020764;2;2;13;13;1;1;1;2;114.49403281
1;20151000034097;2;2;13;10;1;2;6;3;93.882238117
1;20161000008048;2;2;13;04;1;1;1;4;216.43168473
1;20161000008173;2;2;13;04;1;1;1;4;216.43168473
1;20161000008034;2;2;13;04;1;1;1;5;216.43168473
1;20161000015454;3;2;13;98;0;1;6;1;166.90258357
1;20161000008188;2;2;13;04;1;1;6;4;216.76539401
2;20161000003020;2;2;13;13;1;2;6;3;135.41704608
1;20161000008043;2;2;13;04;1;1;1;3;216.43168473
1;20161000006787;3;2;13;98;0;1;6;1;95.539000557
2;20161000007122;2;3;13;09;8;1;6;3;161.37953763
1;20161000008183;2;2;13;04;1;1;6;4;216.76539401
2;20161000006622;2;2;13;09;2;1;6;4;454.02757792
1;20161000007719;2;2;13;04;1;1;1;4;26.871457443
1;20161000008033;2;2;13;04;1;1;1;3;216.43168473
1;20161000010711;2;2;13;04;1;1;1;4;137.9847342
1;20161000008182;2;2;13;04;9;1;6;5;212.94399914
1;20151000009383;2;1;13;01;6;1;6;5;142.67830392
1;20161000008042;2;2;13;04;1;1;1;3;216.43168473
2;1014EVC0007599;3;1;13;98;0;5;0;1;108.31141525
2;20161000006625;2;2;13;09;8;1;6;4;453.54860581
2;20151000040967;2;3;13;09;1;2;6;5;59.98415072
1;20161000008040;2;2;13;04;1;1;1;4;216.43168473
1;20161000008049;2;2;13;04;1;1;1;4;216.43168473
2;20161000006623;2;2;13;09;1;1;1;4;558.62943432
2;20151000040973;2;3;13;04;7;1;6;6;63.405727918
1;20161000006798;2;2;13;13;1;2;6;3;116.30083552
1;20161000008170;2;2;13;04;1;2;6;4;215.96403536
1;20161000008172;2;2;13;04;1;1;1;3;216.43168473
1;20161000009144;2;2;13;05;1;1;6;4;284.48982938
1;20161000008035;2;2;13;04;1;1;1;3;216.43168473
2;20161000004095;3;2;13;09;0;1;1;1;118.19179796
1;20161000008046;2;2;13;04;1;1;1;4;216.43168473
1;20161000007717;2;2;13;04;1;1;1;4;26.871457443
1;20151001040725;2;2;13;10;1;1;6;4;509.71991107
1;20161000008184;2;2;13;04;1;1;6;5;216.76539401
1;20161000010709;2;2;13;04;1;1;1;4;137.9847342
1;20161000009134;2;2;13;05;1;1;1;4;284.05185865
1;20161000008179;2;2;13;04;8;1;6;4;212.94399914
1;20161000010708;2;2;13;04;5;1;1;5;135.6953278
1;20161000008186;2;2;13;04;1;1;6;3;216.76539401
1;20161000006152;2;2;13;04;7;2;6;6;31.980612843
1;20161000010259;3;3;13;09;0;1;1;1;284.91995166
1;20161000008181;2;2;13;04;1;1;6;3;216.76539401
1;20141100061947;3;1;13;98;0;1;6;1;70.665989841
1;20161000006873;2;2;13;13;1;2;6;6;116.30083552
1;20161000009274;2;2;13;05;1;1;1;4;284.05185865
1;20161000010648;2;2;13;04;1;1;1;4;329.49435977
1;20161000010712;2;2;13;04;7;1;6;4;135.76118098
1;20161000008037;2;2;13;04;1;1;1;3;216.43168473
1;20161000008189;2;2;13;04;1;1;6;4;216.76539401
1;20161000008177;2;2;13;04;1;1;6;3;216.76539401
1;20161000008047;2;2;13;04;1;5;1;4;217.0729347
2;20161000004081;2;2;13;01;1;1;6;4;489.19302803
1;20161000008036;2;2;13;04;1;1;1;5;216.43168473
2;20161000007521;3;2;13;98;0;5;0;1;261.46285733
1;20161000008185;2;2;13;04;1;1;6;4;216.76539401
1;20150500079530;3;1;13;09;0;1;1;1;67.625191938
2;1014EVC0000220;2;1;13;16;3;1;6;6;365.55225427
1;20161000013585;2;2;13;05;1;1;6;4;305.43284063
2;20161000006558;2;2;13;09;1;1;1;5;558.62943432
1;20161000008050;2;2;13;04;1;1;1;4;216.43168473
1;20161000007439;2;2;13;13;1;2;6;4;61.390490968
1;20161000006794;2;2;13;13;1;1;6;4;116.73238275
1;20151100008767;2;1;13;01;1;1;6;5;168.03286336
1;20161000006291;2;2;13;04;1;1;6;4;32.675319369
1;20161000008041;2;2;13;04;1;1;1;4;216.43168473
1;20161000012659;2;2;13;09;1;1;6;4;175.97220418
1;20161000012660;2;2;13;09;1;1;6;4;175.97220418
1;20161000009137;2;2;13;05;1;1;1;5;284.05185865
1;20161000012109;2;2;13;01;1;1;6;5;278.42884829
1;20161000006791;2;2;13;13;1;2;6;3;116.30083552
1;20161000000679;2;2;13;10;1;1;6;4;185.52238808
2;20161000010363;2;2;13;05;1;1;1;5;284.05185865
1;20161000002749;3;3;13;04;0;1;1;1;284.91995166
1;20161000000857;2;2;13;13;1;1;6;4;172.68967989
1;20161000008052;2;2;13;04;1;5;6;4;217.40763271
1;20161000012968;3;3;13;05;0;1;1;1;81.058307936
1;20161000006799;2;2;13;13;1;1;6;5;116.73238275
2;20161000006556;2;2;13;09;8;3;6;4;454.89239256
2;20161000006624;2;2;13;09;8;1;6;4;453.54860581
1;20161000008045;2;2;13;04;1;1;6;4;216.76539401
1;20161000012669;2;2;13;09;1;2;6;3;175.32165363
2;20161000004092;2;2;13;09;2;3;6;6;139.36744117
1;20161000008178;2;2;13;04;8;1;6;4;212.94399914
1;20161000010633;2;2;13;04;7;1;6;5;324.18472717
2;20151001040967;2;3;13;09;1;2;6;5;59.98415072
1;20161000008044;2;2;13;04;1;1;1;4;216.43168473
1;20161000006875;2;2;13;13;1;1;6;3;116.73238275
1;20161000004848;2;2;13;13;1;2;6;5;135.41704608
1;20161000010646;2;2;13;04;1;1;1;4;329.49435977
1;20161000010641;2;2;13;04;1;1;6;4;330.00239688
1;20161000008054;2;2;13;04;1;5;1;4;217.0729347
2;20151001040973;2;3;13;04;7;1;6;6;63.405727918
1;20161000010707;2;2;13;04;1;1;6;4;138.19748857
1;20161000009143;2;2;13;05;1;1;1;5;284.05185865
1;20110500083665;3;1;13;09;0;1;6;1;309.92022508
1;20161000008171;2;2;13;04;1;1;6;3;216.76539401
1;20161000010640;2;2;13;04;1;1;6;4;330.00239688
1;20161000008051;2;2;13;04;1;1;6;3;216.76539401
1;20161000008038;2;2;13;04;1;1;1;3;216.43168473
2;20161000004382;2;2;13;16;1;2;6;3;92.738337634
1;20151000003192;2;1;13;03;2;1;6;5;393.09837516
1;20161000008176;2;2;13;04;1;1;6;3;216.76539401
1;20161000008039;2;2;13;12;1;1;6;6;362.26694276
1;20161000008053;2;2;13;04;2;1;6;3;213.16887964
1;20161000010710;2;2;13;04;1;1;1;4;137.9847342
2;20161000001523;2;2;13;13;1;1;6;3;207.40138808
1;20161000008187;2;2;13;04;1;3;6;5;217.40763271
1;20161000008180;2;2;13;04;1;2;6;3;215.96403536
1;20161000008175;2;2;13;04;1;1;6;3;216.76539401
2;20161000006557;2;2;13;09;1;1;1;4;558.62943432
2;20161000016308;2;2;13;05;1;1;1;4;203.5848699
1;20161001000857;2;2;13;13;1;1;6;4;172.68967989
