A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160902012031;2;2;13;10;8;1;6;5;58.615827681
1;20160900020843;2;2;13;04;8;1;6;3;75.839657198
2;20160900033276;2;2;13;05;1;1;1;4;402.38519394
2;20160900022180;2;2;13;01;1;2;6;4;170.29164554
1;20160900021037;2;2;13;04;2;1;6;4;362.65240689
2;20160900027171;2;2;13;13;1;2;6;3;102.72639311
1;20160900022702;2;2;13;09;1;1;6;2;289.80590689
2;20160900025809;2;2;13;09;8;1;6;5;165.70169693
1;20160900012031;2;2;13;10;8;1;6;5;58.615827681
2;20160900012355;2;2;13;13;1;1;6;4;165.59382329
1;20160901012031;2;2;13;10;8;1;6;5;58.615827681
2;20160901033276;2;2;13;05;1;1;1;4;402.38519394
1;20160901022702;2;2;13;09;1;1;6;2;289.80590689
1;20160901021037;2;2;13;04;2;1;6;4;362.65240689
2;20160901022180;2;2;13;01;1;2;6;4;170.29164554
1;20160901009709;2;2;13;04;1;1;6;5;170.43115349
1;20160901027220;2;2;13;01;1;1;6;4;171.80194854
1;20160901030746;2;2;13;09;1;2;6;3;410.18284295
1;20160900035732;2;2;13;13;1;1;6;4;144.63816338
1;20160901022149;2;2;13;04;1;2;6;6;158.50241308
1;20160901017239;2;2;13;04;1;1;1;4;60.392885499
2;20160900035739;2;2;13;13;1;1;6;4;144.63816338
1;20160901025649;2;2;13;04;1;1;1;4;160.04655429
1;20160901014573;3;3;13;09;0;1;1;1;102.57467646
2;20160901027382;2;2;13;04;1;1;1;4;160.04655429
2;20160901014979;2;2;13;04;2;1;6;6;362.65240689
2;20160901010625;2;2;13;04;1;1;1;4;62.637958523
1;20160901017254;2;2;13;04;1;1;1;4;60.392885499
1;20160901026813;2;2;13;04;1;1;1;4;127.78951626
1;20160901017360;2;2;13;04;1;1;1;4;60.392885499
1;20160901025508;2;2;13;04;1;1;1;4;160.04655429
1;20160901003785;2;2;13;16;1;2;6;2;95.870711474
1;20160901018277;2;2;13;09;1;1;1;3;196.97183493
1;20160901017256;2;2;13;04;1;1;6;4;60.251992889
1;20160900035802;2;2;13;13;1;2;6;4;143.57764063
1;20160901022105;2;2;13;04;2;1;6;4;85.465637347
2;20160901026063;3;2;13;98;0;5;0;1;126.33413554
1;20160901027232;2;2;13;13;1;2;6;3;154.58717125
2;20160901023367;2;2;13;05;1;1;1;4;139.01013892
1;20160901008658;2;2;13;16;1;1;6;4;75.334069713
1;20160901022101;2;2;13;04;7;1;6;6;86.019712701
2;20160901000534;3;2;13;04;0;1;1;1;425.59459649
1;20160900035806;2;2;13;13;1;2;6;4;143.57764063
1;20160901009507;2;2;13;04;2;1;6;4;33.448974089
1;20160901029050;2;2;13;09;1;1;6;4;196.51231266
1;20160901017357;2;2;13;04;1;1;1;4;60.392885499
2;20160901021012;2;2;13;04;1;1;1;4;160.04655429
1;20160901026929;2;2;13;05;1;1;1;4;402.38519394
2;20160901022166;2;2;13;04;1;1;1;4;160.04655429
1;20160901009378;2;2;13;04;1;1;6;4;62.491828306
1;20160901017241;2;2;13;04;7;1;6;5;32.459172164
2;20160901009566;2;2;13;04;2;1;6;4;91.223883048
1;20160901025509;2;2;13;04;1;1;6;4;159.67317625
1;20160901017352;2;2;13;04;6;1;6;4;32.25009419
1;20160901028891;2;2;13;01;6;1;6;3;24.420056258
1;20160901017354;2;2;13;04;6;1;6;4;32.25009419
2;20160901023948;2;2;13;13;1;3;6;5;153.87141518
2;20160901021011;2;2;13;04;2;1;6;4;85.465637347
1;20160901017345;2;2;13;04;1;1;1;4;60.392885499
2;20160901023365;2;2;13;05;1;1;1;5;139.01013892
1;20160900035786;2;2;13;13;1;1;6;4;144.63816338
1;20160901001010;2;2;13;13;1;1;6;5;144.63816338
1;20160901022096;2;2;13;04;1;1;6;3;159.67317625
1;20160901021955;2;2;13;01;1;1;6;6;188.35047485
1;20160901001012;2;2;13;13;1;1;6;5;144.63816338
2;20160901021997;2;2;13;01;1;1;1;5;329.82729358
1;20160901022115;2;2;13;04;1;1;6;4;159.67317625
1;20160901017243;2;2;13;04;1;1;1;4;60.392885499
2;20160901009640;2;2;13;04;1;1;6;5;170.43115349
1;20160901022107;2;2;13;04;1;1;1;5;160.04655429
1;20160901022152;2;2;13;04;1;1;1;4;160.04655429
1;20160901019700;2;2;13;04;1;1;1;4;170.82968786
1;20160901008645;2;2;13;12;1;1;6;4;75.334069713
2;20160901023364;2;2;13;05;1;1;1;4;139.01013892
1;20160901025506;2;2;13;04;1;1;1;4;160.04655429
2;20160901009638;2;2;13;04;1;1;1;4;170.82968786
1;20160901026944;2;2;13;05;4;1;6;4;401.8031899
1;20160901025646;2;2;13;04;1;1;1;5;160.04655429
1;20160901026930;2;2;13;05;1;1;1;5;402.38519394
2;20160901008749;2;2;13;06;3;1;6;5;73.772319009
1;20160901026805;2;2;13;04;1;1;6;4;127.49139176
2;20160901002853;2;2;13;03;2;1;6;6;15.877934571
1;20160901017358;2;2;13;04;1;1;1;4;60.392885499
1;20160901022144;2;2;13;04;1;1;1;5;160.04655429
2;20160901033093;3;3;13;04;0;1;1;1;102.57467646
2;20160901025629;2;2;13;04;1;1;1;4;160.04655429
1;20160901033801;2;2;13;13;2;1;6;5;77.778555639
1;20160901006236;2;3;13;09;3;1;6;4;45.608228745
2;20160901009755;2;2;13;04;1;1;6;4;170.43115349
2;20160901023444;2;2;13;05;1;1;1;4;139.01013892
1;20160901025507;2;2;13;04;1;1;1;5;160.04655429
1;20160901017364;2;2;13;04;7;1;6;4;32.459172164
1;20160901017248;2;2;13;04;1;1;1;4;60.392885499
1;20160901015649;2;2;13;13;1;2;6;3;154.58717125
1;20160901017361;2;2;13;04;1;1;1;4;60.392885499
1;20160901033807;2;2;13;10;1;1;6;5;134.05495268
1;20160901025645;2;2;13;04;7;4;6;3;84.993634221
1;20160901000958;2;2;13;12;8;4;6;6;60.823467233
1;20160901019571;2;2;13;04;1;1;1;5;170.82968786
1;20160901017350;2;2;13;04;1;1;1;4;60.392885499
1;20160901001003;2;2;13;01;8;1;6;4;74.809440611
2;20160901022161;2;2;13;04;1;1;6;4;159.67317625
1;20160900035736;2;2;13;13;1;2;6;4;143.57764063
2;20160901031375;2;2;13;05;1;1;1;4;402.38519394
1;20160901022108;2;2;13;04;2;1;6;4;85.465637347
1;20160901017259;2;2;13;04;1;1;6;4;60.251992889
1;20160901013617;2;2;13;01;2;1;6;5;182.28117381
1;20160901017355;2;2;13;04;2;1;6;5;32.25009419
1;20160901025648;2;2;13;04;1;1;1;4;160.04655429
1;20160901014497;3;3;13;09;0;1;1;1;102.57467646
2;20160901002021;2;2;13;04;6;1;6;4;91.223883048
2;20160901023445;2;2;13;05;1;1;1;5;139.01013892
2;20160901025630;2;2;13;04;2;1;6;5;85.465637347
1;20160901017356;2;2;13;04;1;1;1;4;60.392885499
1;20160901017258;2;2;13;04;1;1;6;4;60.251992889
2;20160901022126;2;2;13;04;1;1;6;3;159.67317625
1;20160901017261;2;2;13;04;1;1;6;4;60.251992889
1;20160901008642;2;2;13;03;2;1;6;6;18.816812364
2;20160901031372;2;2;13;05;1;1;1;4;402.38519394
1;20160900035734;2;2;13;13;1;1;6;3;144.63816338
1;20160901017347;2;2;13;04;1;1;6;5;60.251992889
2;20160901017151;2;2;13;05;1;1;1;4;244.34268573
1;20160900035803;2;2;13;12;3;1;6;5;245.07975472
2;20160901027421;2;2;13;04;1;1;1;4;160.04655429
2;20160901006191;3;3;13;09;0;1;1;1;102.57467646
2;20160901009572;2;2;13;04;2;1;6;4;91.223883048
1;20160901022098;2;2;13;04;1;1;1;5;160.04655429
1;20160900035794;2;2;13;13;1;2;6;4;143.57764063
2;20160901006379;3;3;13;05;0;1;1;1;186.66605924
2;20160900035826;3;2;13;98;0;5;0;1;99.727036002
1;20160901009376;2;2;13;04;1;1;6;4;62.491828306
