A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160800019322;2;2;13;09;3;1;6;5;234.35326536
1;20160800005607;2;2;13;05;1;1;1;4;288.58517497
1;20160801019322;2;2;13;09;3;1;6;5;234.35326536
1;20160801005607;2;2;13;05;1;1;1;4;288.58517497
1;20160801001818;2;2;13;05;1;1;1;5;130.44955917
1;20160801017805;2;2;13;01;1;1;6;5;308.39947145
1;20160801007160;2;2;13;04;1;1;1;4;201.79211
1;20160801018662;2;2;13;04;2;1;6;5;205.8890494
2;20160801025761;2;2;13;09;1;1;6;4;395.46619214
1;20160801008258;2;2;13;16;1;1;6;4;78.050406798
1;20160801018648;2;2;13;04;1;1;6;4;311.62309071
1;20160801017913;2;2;13;05;1;1;6;4;320.36640536
1;20160801000766;2;2;13;05;1;1;1;4;195.95713369
1;20160801007232;2;2;13;04;1;1;6;4;201.00648999
1;20160801016506;2;2;13;04;1;1;6;4;152.95873852
1;20160801001833;2;2;13;05;8;1;6;4;155.21462221
2;20160800039418;3;2;13;98;0;5;0;1;250.39962833
1;20160801018652;2;2;13;04;7;1;6;4;205.83730072
1;20160801001737;2;2;13;05;1;1;1;4;130.44955917
2;20160801010004;2;2;13;04;1;1;1;4;312.84104808
1;20160801001821;2;2;13;05;1;1;1;4;130.44955917
1;20160801001828;2;2;13;05;1;1;1;5;130.44955917
2;20160801005475;3;3;13;10;0;1;1;1;200.07567909
1;20160801007227;2;2;13;04;1;1;6;5;201.00648999
1;20160801007161;2;2;13;04;1;1;1;4;201.79211
2;20160801000641;2;2;13;05;1;1;1;4;195.95713369
2;20160801010002;2;2;13;04;1;1;1;5;312.84104808
1;20160801016252;2;2;13;16;1;1;6;5;76.354990171
2;20160801006836;2;4;13;09;1;1;6;4;115.43816222
1;20160801001757;2;2;13;05;1;1;1;4;130.44955917
1;20160801007226;2;2;13;04;1;1;1;4;201.79211
2;20160801018877;2;2;13;09;1;1;6;4;514.21422076
1;20160801016294;2;2;13;06;2;1;6;5;27.580569935
1;20160801001751;2;2;13;05;1;1;1;4;130.44955917
2;20160801010052;2;2;13;04;7;1;6;5;205.83730072
1;20160801001819;2;2;13;05;1;1;1;5;130.44955917
2;20160801009984;2;2;13;04;1;1;1;4;312.84104808
1;20160801021476;2;4;13;09;1;1;6;3;115.43816222
1;20160801017904;2;2;13;06;9;1;6;4;282.28574089
1;20160801023863;2;2;13;13;1;1;6;4;155.82941794
1;20160801018641;2;2;13;04;7;1;6;6;205.83730072
1;20160801020984;2;2;13;09;1;1;1;3;516.2239916
2;20160801025703;2;2;13;09;1;1;6;3;395.46619214
2;20160801013402;2;2;13;04;1;1;6;4;311.62309071
2;20160801010005;2;2;13;04;1;1;1;5;312.84104808
1;20160801018637;2;2;13;04;1;1;1;4;312.84104808
1;20160801024733;2;3;13;04;2;1;6;6;35.318340955
1;20160800036757;2;2;13;04;2;2;6;6;106.26938937
1;20160801001817;2;2;13;05;1;1;1;5;130.44955917
1;20160801020901;2;2;13;04;8;1;6;6;262.96661231
2;20160801009982;2;2;13;04;1;1;1;4;312.84104808
