A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20160302025912;2;2;13;13;1;1;6;4;120.13654462
1;20160301025912;2;2;13;13;1;1;6;4;120.13654462
1;20160301020272;2;2;13;09;8;1;6;4;194.68713293
1;20160303025912;2;2;13;13;1;1;6;4;120.13654462
1;20160302026648;2;2;13;09;1;1;6;4;182.89612175
1;20160301026648;2;2;13;09;1;1;6;4;182.89612175
1;20160304026648;2;2;13;09;1;1;6;4;182.89612175
2;20160303002468;2;2;13;09;2;1;6;4;102.3139802
1;20160303026648;2;2;13;09;1;1;6;4;182.89612175
2;20160302002468;2;2;13;09;2;1;6;4;102.3139802
1;20160300026648;2;2;13;09;1;1;6;4;182.89612175
1;20160300025852;2;2;13;13;1;4;6;4;121.53676645
1;20160300020272;2;2;13;09;8;1;6;4;194.68713293
2;20160301002468;2;2;13;09;2;1;6;4;102.3139802
1;20160300025912;2;2;13;13;1;1;6;4;120.13654462
2;20160300002465;2;2;13;09;1;1;6;5;182.89612175
1;20160200014382;2;2;13;01;1;2;6;4;346.10220884
2;0315EVT0008557;3;4;13;09;0;2;0;1;21.265035679
2;20160300002468;2;2;13;09;2;1;6;4;102.3139802
2;20160300011644;2;2;13;09;1;1;6;3;275.01956365
2;20160300014031;3;2;13;16;0;2;6;1;115.02006882
2;20160300000187;2;2;13;05;8;1;6;5;111.47751568
1;20160300013382;2;2;13;04;1;1;1;4;70.795139378
2;20160300002495;2;2;13;09;1;1;1;4;251.72610253
1;20160300013144;2;2;13;04;1;1;6;4;71.221995565
1;20160300004657;3;3;13;04;0;1;1;1;76.47508593
1;20160300008734;2;2;13;05;1;1;1;4;281.83458489
1;20160300013147;2;2;13;04;1;1;1;4;70.795139378
2;20160300010066;2;2;13;04;1;1;1;4;162.65943307
2;20160300004275;2;2;13;10;8;4;6;4;21.001471916
2;20160300005535;2;2;13;06;1;2;6;5;273.46913586
2;20160300006211;2;2;13;05;8;1;6;4;111.47751568
1;20160300013153;2;2;13;04;1;1;1;4;70.795139378
1;20160300008744;2;2;13;05;1;1;1;4;281.83458489
1;20160300013388;2;2;13;04;1;1;1;4;70.795139378
2;20160300011685;2;2;13;09;2;1;6;4;153.84878542
1;20160300004706;3;3;13;04;0;1;1;1;76.47508593
2;20160300002414;2;2;13;05;2;1;6;6;183.49509617
1;20160300013139;2;2;13;04;1;1;1;4;70.795139378
1;20160300008543;2;2;13;05;1;1;1;5;281.83458489
1;20150100013359;2;2;13;05;1;1;1;6;121.21595523
2;20160300011719;2;2;13;09;1;1;1;4;273.37128349
2;20160300011722;2;2;13;09;1;1;1;3;273.37128349
2;20160300010064;2;2;13;04;1;1;1;4;162.65943307
