A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20151003011696;2;2;13;09;1;1;6;3;165.12952797
2;20151001022998;2;2;13;01;2;1;6;5;117.25563939
1;20151002011696;2;2;13;09;1;1;6;3;165.12952797
2;20151002022998;2;2;13;01;2;1;6;5;117.25563939
1;20151001011880;2;2;13;09;1;1;6;3;165.12952797
1;20151000034097;2;2;13;10;1;2;6;3;35.110422612
1;20151001011696;2;2;13;09;1;1;6;3;165.12952797
2;20151001002021;3;3;13;04;0;1;1;1;488.99450884
2;20151000037593;2;2;13;13;1;2;6;4;1064.0099898
1;20151001011527;2;2;13;03;8;1;6;4;52.78504165
1;20151000011880;2;2;13;09;1;1;6;3;165.12952797
1;20151000011518;2;2;13;01;8;1;6;5;60.144462879
2;20151000009168;2;2;13;09;1;3;6;5;191.48659663
2;20151000002021;3;3;13;04;0;1;1;1;488.99450884
1;20151000011527;2;2;13;03;8;1;6;4;52.78504165
1;20151000011696;2;2;13;09;1;1;6;3;165.12952797
2;20151000022998;2;2;13;01;2;1;6;5;117.25563939
1;20141000081628;2;1;13;09;3;1;6;6;116.08911442
2;20151000018136;2;2;13;04;1;1;6;3;96.954265527
2;20151000009170;2;2;13;09;1;1;6;5;188.12809311
1;20151000019854;2;2;13;01;1;1;1;4;236.7994636
2;20151000003126;3;3;13;04;0;1;1;1;488.99450884
2;20151000018093;2;2;13;04;1;1;1;5;110.43142856
2;20151000000422;3;3;13;01;0;1;1;1;282.55763596
2;20151000020148;2;2;13;04;9;1;6;5;72.513451156
2;20151000009195;2;2;13;09;1;1;1;5;189.30394844
2;20151000009192;2;2;13;09;5;1;1;3;154.00532298
2;20151000020489;2;2;13;09;1;1;1;4;189.30394844
1;20151000008498;2;2;13;05;1;1;1;5;233.12067294
2;20151000018012;2;2;13;01;8;4;6;5;186.48836498
2;1014EVB0006564;3;3;13;05;0;1;1;1;302.30466085
2;20151000013245;2;2;13;01;8;1;6;5;55.46112537
2;20151000007659;2;3;13;01;3;1;6;4;235.27665787
2;20151000020518;2;2;13;09;1;1;6;4;188.12809311
1;20151000019840;2;2;13;01;1;1;6;4;235.32859142
2;1014EVB0006570;3;3;13;05;0;1;1;1;302.30466085
1;20131000082849;3;1;13;16;0;5;6;1;500.97490529
1;20151000009383;2;1;13;01;6;1;6;5;120.44095888
1;20151000019850;2;2;13;01;1;1;1;4;236.7994636
2;20151000020149;2;2;13;04;1;1;6;5;173.548165
1;20151000019852;2;2;13;01;7;1;6;5;166.02896343
2;20151000000427;3;3;13;01;0;1;1;1;282.55763596
2;20151000018094;2;2;13;04;1;1;1;4;122.7764957
2;20151000001999;3;3;13;04;0;1;1;1;488.99450884
2;20151000007543;2;2;13;05;1;1;1;5;179.02313405
2;20151000020522;2;2;13;09;3;2;6;4;186.80365984
1;20151000019855;2;2;13;01;7;1;6;6;166.02896343
1;20151000019838;2;2;13;01;1;1;1;4;236.7994636
2;20151000020519;2;2;13;09;8;1;6;4;152.63314058
1;20151000017157;2;1;13;01;3;1;6;5;298.20204285
2;20151000009193;2;2;13;09;8;1;6;4;152.63314058
2;20151000000441;3;3;13;01;0;1;1;1;282.55763596
2;20151000001995;3;3;13;04;0;1;1;1;488.99450884
1;20151000019851;2;2;13;01;8;1;6;3;166.02896343
1;20151000019834;2;2;13;01;1;1;6;4;235.32859142
2;20151000012165;2;2;13;05;1;1;1;4;342.2786699
1;20151000003192;2;1;13;03;2;1;6;5;144.85917919
1;20151000019853;2;2;13;01;8;1;6;4;166.02896343
1;20151000019828;2;2;13;01;1;1;1;4;236.7994636
2;20151000015276;2;2;13;16;1;1;6;4;83.843321531
2;20151000015030;3;3;13;10;0;1;1;1;489.64156872
2;20151000014089;2;2;13;16;1;2;6;4;84.377389213
1;20151000008361;2;2;13;05;1;1;1;4;233.12067294
2;20151000009169;2;2;13;09;1;1;6;4;188.12809311
1;20151000019842;2;2;13;01;1;1;6;4;235.32859142
1;20151000019824;2;2;13;01;2;1;6;4;166.48102038
1;20141100061947;3;1;13;98;0;1;6;1;22.736950475
2;1014EVB0006569;3;3;13;05;0;1;1;1;302.30466085
2;20151000018135;2;2;13;04;1;1;1;5;110.43142856
2;20151000018092;2;2;13;04;1;1;1;4;122.7764957
1;20151000019837;2;2;13;01;1;1;6;4;235.32859142
2;20151000020486;2;2;13;09;1;1;1;4;189.30394844
2;20151000005408;2;2;13;09;1;1;6;2;102.79086067
2;20151000007660;2;3;13;01;9;1;6;3;168.23404407
2;20151000020150;2;2;13;04;1;1;6;4;192.95906748
2;20151000009167;2;2;13;09;1;2;6;4;189.32643703
1;20131000082824;3;1;13;16;0;5;6;1;200.38996171
2;20151000012216;2;2;13;05;1;1;1;4;360.11286292
1;20151000019829;2;2;13;01;1;1;1;5;236.7994636
2;20151000005420;2;2;13;09;1;2;6;3;103.44562095
2;20151000018134;2;2;13;04;1;1;1;4;122.7764957
2;20151000005390;2;2;13;09;1;1;6;4;102.79086067
1;20151000019822;2;2;13;01;2;1;6;5;166.48102038
2;20151000017235;2;1;13;01;3;1;6;5;298.20204285
2;20151000018014;2;2;13;01;1;1;6;5;259.69157079
1;20151000019831;2;2;13;01;1;1;6;5;235.32859142
2;20151000013247;2;2;13;04;8;4;6;4;65.254574841
2;20151000013246;2;2;13;04;7;5;6;6;66.209366208
2;20151000009194;2;2;13;09;1;2;6;4;189.32643703
2;20151000020521;2;2;13;09;2;1;6;4;153.04872392
1;20151000019843;2;2;13;01;1;1;6;4;235.32859142
1;20151000008357;2;2;13;05;1;1;1;4;233.12067294
2;20151000020171;2;2;13;04;1;1;6;4;192.95906748
2;20151000037216;3;3;13;09;0;1;1;1;489.64156872
2;20151000036075;3;3;13;04;0;1;1;1;488.99450884
2;20151000037688;2;2;13;04;1;1;1;4;122.7764957
2;20151000029138;2;2;13;16;1;2;6;2;84.377389213
2;20151000030412;2;2;13;01;1;1;1;6;79.101648693
2;20151000041050;2;1;13;01;3;1;6;5;230.20507159
2;20151001009167;2;2;13;09;1;2;6;4;189.32643703
2;20151000037621;2;2;13;04;8;1;6;4;57.218052203
1;20151000035057;2;2;13;07;2;4;6;4;109.06157535
1;20151000034976;2;2;13;13;1;2;6;3;265.32339131
1;20151001008357;2;2;13;05;1;1;1;4;233.12067294
1;20151001008498;2;2;13;05;1;1;1;5;233.12067294
1;20151000025306;2;2;13;07;1;2;6;3;84.377389213
2;20151001000441;3;3;13;01;0;1;1;1;282.55763596
2;20151000037619;2;2;13;04;1;1;6;4;116.58414191
2;20151000037231;3;3;13;09;0;1;1;1;489.64156872
2;20151000025848;2;2;13;07;1;2;6;3;378.66223204
