A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
2;20170102010177;2;2;13;13;8;4;6;4;90.629229705
2;20170101010177;2;2;13;13;8;4;6;4;90.629229705
2;20170100028497;2;2;13;13;2;1;6;4;103.61073268
2;20170101000001;3;2;13;05;0;1;1;1;238.05976594
1;20170100020431;2;2;13;05;8;1;6;4;96.916499144
2;20170100010177;2;2;13;13;8;4;6;4;90.629229705
2;20170100000001;3;2;13;05;0;1;1;1;238.05976594
2;20170100006654;2;2;13;04;1;1;6;3;41.980540185
1;20170100010792;2;2;13;09;8;1;6;5;94.27623432
1;20170100013010;2;2;13;09;2;1;6;3;140.21830317
2;20170100013733;2;2;13;04;8;1;6;4;58.133517326
2;20170100013707;2;2;13;04;7;1;6;6;58.133517326
1;20170100002786;3;2;13;98;0;1;1;1;308.17951427
1;20170100010791;2;2;13;09;1;4;6;2;101.37544354
2;20170100006651;2;2;13;04;1;1;6;4;41.980540185
1;20170100004779;3;2;13;98;0;1;6;1;70.251824791
2;20170100008912;2;2;13;09;1;1;6;3;100.83796134
1;20170100012949;2;2;13;09;1;1;6;3;149.03032141
1;20170100014014;2;2;13;09;8;1;6;4;11.937060241
1;20170100006043;3;2;13;98;0;1;6;1;128.28659985
1;20170100010321;2;2;13;01;7;1;6;5;56.183287441
1;20170100009282;2;2;13;04;1;1;6;4;86.060403832
1;20170100014013;2;2;13;09;8;1;6;4;11.937060241
2;20170100013735;2;2;13;04;1;1;6;5;41.980540185
2;20170100000859;2;2;13;05;1;1;1;4;299.15985095
1;20170100005881;2;2;13;02;8;1;6;5;66.102696262
2;20170100001780;2;2;13;04;1;1;6;4;41.980540185
2;20170100011014;2;3;13;09;3;1;6;3;322.39163981
1;20170100013012;2;2;13;09;6;1;6;3;140.21830317
1;20170100014017;2;2;13;09;7;1;6;3;11.937060241
1;20170100010698;2;2;13;09;1;2;6;4;99.691773371
1;20170100010697;2;2;13;09;1;1;6;4;100.83796134
2;20170100001807;2;2;13;04;1;1;1;4;41.802936867
2;20170100004578;2;2;13;09;8;4;6;6;205.79601646
2;20170100009075;3;3;13;98;0;5;0;1;237.34835962
1;20170100000719;3;3;13;09;0;1;1;1;31.30174735
2;20170100004576;2;2;13;09;1;1;6;4;80.590378203
1;20170100013006;2;2;13;09;8;1;6;3;139.33262152
1;20170100009692;2;2;13;09;1;2;6;3;99.691773371
1;20170100010695;2;2;13;09;1;2;6;3;99.691773371
1;20170100012743;2;2;13;04;8;1;6;3;60.517210056
1;20170100010804;2;2;13;09;2;5;6;6;95.381211972
1;20170100006922;2;2;13;09;8;4;6;3;94.778741485
2;20170100008988;2;2;13;09;8;4;6;6;94.778741485
2;20170100006652;2;2;13;04;1;1;6;6;41.980540185
1;20170100002762;3;2;13;98;0;1;1;1;308.17951427
1;20170100013990;2;2;13;09;1;1;6;2;12.767892436
1;20170100012942;2;2;13;09;1;1;1;3;148.39983215
1;20170100010803;2;2;13;09;1;2;6;3;99.691773371
2;20170100006653;2;2;13;04;8;4;6;6;51.843369593
1;20170100010790;2;2;13;09;1;1;6;4;100.83796134
1;20170100012943;2;2;13;09;1;1;6;3;149.03032141
1;20170100010396;2;2;13;01;8;4;6;4;49.416400158
1;20170100014018;2;2;13;09;8;1;6;3;11.937060241
1;20170100012951;2;2;13;09;8;1;6;4;139.33262152
1;20170100010696;2;2;13;09;1;1;6;4;100.83796134
1;20170100010789;2;2;13;09;1;1;1;4;100.41135519
1;20170100013007;2;2;13;09;8;3;6;3;140.07528632
