A0;A0_1;A0_7;A1;Residencia;CCAA;A14;A15;A16;A13_1;Factor
1;20151101030059;2;2;13;09;8;1;6;3;107.18727223
2;20151101016718;2;2;13;05;1;1;1;4;195.99047172
2;20151101023297;2;2;13;05;1;1;6;5;125.24199812
1;20151101032286;2;2;13;13;1;1;6;4;135.44765289
1;20151102030059;2;2;13;09;8;1;6;3;107.18727223
2;20151100019305;2;2;13;10;1;2;6;4;23.616460695
2;20151100023297;2;2;13;05;1;1;6;5;125.24199812
1;20151100032286;2;2;13;13;1;1;6;4;135.44765289
1;20151100030059;2;2;13;09;8;1;6;3;107.18727223
2;20151100016718;2;2;13;05;1;1;1;4;195.99047172
2;1014EVC0007599;3;1;13;98;0;5;0;1;75.122135914
2;20151100002495;2;2;13;09;1;1;6;4;89.594263532
1;20151100006991;2;2;13;01;8;1;6;4;62.72409468
2;20151100007550;2;2;13;09;1;1;6;3;89.594263532
1;20151100003472;3;2;13;98;0;1;1;1;24.37386373
2;20151100004693;2;2;13;09;1;2;6;3;90.113788609
1;20131100001441;2;2;13;13;1;1;6;4;563.51702643
2;20151100004149;3;3;13;09;0;1;1;1;279.88089208
1;20151100010305;2;2;13;10;1;1;6;5;31.238620823
1;20151100002602;2;3;13;07;1;1;6;2;76.795107988
2;20151100007593;2;2;13;09;1;1;6;4;89.594263532
2;20151100002497;2;2;13;09;8;1;6;5;95.054214779
1;20151100004303;2;2;13;04;8;4;6;4;51.227838229
1;20151100006972;2;2;13;01;8;1;6;4;62.72409468
2;20151100002533;2;2;13;09;1;1;6;4;89.594263532
2;20151100007594;2;2;13;09;8;1;6;3;95.054214779
2;20151100006004;2;1;13;10;8;4;6;5;14.719400609
2;20151100016970;3;3;13;01;0;1;1;1;170.98678775
1;20151100006965;2;2;13;01;8;1;6;4;62.72409468
2;20151100002536;2;2;13;09;1;1;6;4;89.594263532
1;20151100006961;2;2;13;01;1;2;6;2;138.287359
2;20151100008585;2;2;13;05;8;1;6;4;149.88379737
2;20151100010538;2;2;13;05;8;1;6;4;126.14149162
1;20151100006986;2;2;13;01;8;1;6;4;62.72409468
2;20151100016719;2;2;13;05;1;1;1;5;195.99047172
2;20151100004691;2;2;13;09;1;1;1;4;88.661456051
1;20151100008767;2;1;13;01;1;1;6;5;52.215224634
1;20151100009447;2;2;13;05;1;1;1;4;68.576961389
2;20151100003930;2;2;13;09;1;1;6;3;89.594263532
2;20151100004694;2;2;13;09;1;1;6;3;89.594263532
1;20151100006962;2;2;13;01;2;1;6;5;63.859230623
1;20151100006981;2;2;13;01;8;1;6;5;62.72409468
1;20151100003463;3;2;13;98;0;1;6;1;24.37386373
1;20151100003464;3;2;13;98;0;1;6;1;24.37386373
1;20151100000964;2;2;13;01;1;1;6;4;110.29563996
1;20151100006988;2;2;13;01;1;1;6;4;137.49010309
1;20141100061947;3;1;13;98;0;1;6;1;13.362294797
2;20151100007553;2;2;13;09;1;1;1;3;88.661456051
2;20151100003931;2;2;13;09;1;1;1;3;88.661456051
2;20151100002494;2;2;13;09;1;1;6;3;89.594263532
1;20151100006956;2;2;13;01;1;1;1;4;136.05862978
2;20151100003970;2;2;13;09;1;1;1;3;88.661456051
2;20151100008491;3;3;13;04;0;1;1;1;279.88089208
2;20151100003627;3;3;13;01;0;1;1;1;170.98678775
1;20151100006978;2;2;13;01;1;1;6;4;137.49010309
2;20151100007598;2;2;13;09;1;1;1;3;88.661456051
1;20151100006967;2;2;13;01;1;1;1;5;136.05862978
1;20151100006966;2;2;13;01;1;1;1;4;136.05862978
2;20151100004652;2;2;13;09;1;1;1;3;88.661456051
2;20151100007193;3;2;13;98;0;5;0;1;24.37386373
1;20151000009383;2;1;13;01;6;1;6;5;40.335931397
2;20151100008628;2;2;13;05;9;1;6;4;149.88379737
1;20151100006963;2;2;13;01;1;1;1;4;136.05862978
2;20151100016946;3;3;13;01;0;1;1;1;170.98678775
1;20141200036115;2;2;13;05;1;1;6;6;107.80232727
2;20151100008231;2;2;13;10;8;1;6;4;11.927923662
2;20151100015453;3;3;13;04;0;1;1;1;279.88089208
2;20151100003626;3;3;13;01;0;1;1;1;170.98678775
2;20151100008695;3;2;13;98;0;5;0;1;111.30523008
