mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
082016;2;0715EVA0003890;2;2;11;04;7;1;1;1;1034.7445829;341.82090596
082016;2;0715EVA0003891;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0715EVA0003921;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0715EVA0006743;2;2;02;04;7;1;1;1;977.36275225;126.59151624
082016;2;0715EVA0006744;2;2;02;04;7;1;1;1;1225.1477624;126.59151624
082016;2;0715EVA0006745;2;2;02;04;11;1;1;1;1217.4733209;91.726994013
082016;2;0715EVA0007105;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0715EVA0007106;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0715EVA0007137;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0814EVA0000325;2;2;01;06;15;3;3;6;856.85367195;139.69272556
082016;2;0814EVA0000326;2;2;01;01;15;3;3;6;936.52320867;106.85597508
082016;2;0814EVA0000360;2;2;01;12;20;2;1;6;2283.1931776;48.852213931
082016;2;0814EVA0000925;2;2;01;04;6;3;1;6;617.42744138;228.79487507
082016;2;0814EVA0000926;2;2;01;01;9;3;3;6;765.49277575;106.85597508
082016;2;0814EVA0000947;2;2;01;01;14;3;3;6;1001.9480794;106.85597508
082016;2;0814EVA0000948;2;2;01;07;18;2;3;6;1528.1296147;226.86636727
082016;2;0814EVA0000975;2;2;01;13;4;3;3;6;425.70373722;248.28734837
082016;2;0814EVA0000976;2;2;01;13;1;1;2;6;545.96766356;502.21634939
082016;2;0814EVA0000977;2;2;01;13;3;1;1;6;762.92211631;444.59169544
082016;2;0814EVA0000978;2;2;01;03;10;3;3;6;727.15637935;125.23869855
082016;2;0814EVA0000979;2;2;05;01;4;1;1;1;788.26078038;250.46547959
082016;2;0814EVA0000981;2;2;05;13;8;3;3;6;503.97785295;292.09489733
082016;2;0814EVA0000982;2;2;05;13;1;1;2;6;428.76734838;563.78861204
082016;2;0814EVA0002087;2;2;06;04;10;1;1;1;1171.3223651;69.098793043
082016;2;0814EVA0002088;2;2;06;04;7;1;1;1;964.2400094;78.811975225
082016;2;0814EVA0002873;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
082016;2;0814EVA0002874;2;2;11;04;7;1;1;1;1034.7445829;341.82090596
082016;2;0814EVA0002909;2;2;11;04;7;1;1;1;1297.0772699;341.82090596
