A0_1;C9_0;ccaa_etapa;pernoc_etapa
0215EVA0000090;01;04;5
0215EVA0000091;01;04;4
0215EVA0000093;01;04;4
0215EVA0000095;01;04;1
0215EVA0000096;01;04;5
0215EVA0000097;01;04;7
0215EVA0000347;01;13;4
0215EVA0000382;01;04;8
0215EVA0000383;01;04;12
0215EVA0000405;01;04;3
0215EVA0000426;01;04;5
0215EVA0000427;01;04;3
0215EVA0000546;01;15;31
0215EVA0000546;02;13;1
0215EVA0000546;03;04;1
0215EVA0000546;04;06;1
0215EVA0000556;01;13;4
0215EVA0000973;01;13;5
0215EVA0000973;02;09;3
0215EVA0001026;01;01;2
0215EVA0001026;02;01;2
0215EVA0001088;01;04;2
0215EVA0001089;01;04;14
0215EVA0001090;01;04;15
0215EVA0001109;01;04;4
0215EVA0001110;01;04;8
0215EVA0001455;01;04;7
0215EVA0001576;01;04;5
0215EVA0001577;01;04;8
0215EVA0001579;01;04;4
0215EVA0001580;01;04;2
0215EVA0001582;01;04;9
0215EVA0001584;01;04;2
0215EVA0001595;01;01;14
0215EVA0001596;01;01;7
0215EVA0001597;01;01;10
0215EVA0001598;01;01;14
0215EVA0001626;01;01;2
0215EVA0001627;01;01;10
0215EVA0001751;01;10;25
0215EVA0001752;01;10;14
0215EVA0001761;01;10;10
0215EVA0001776;01;10;2
0215EVA0001888;01;16;4
0215EVA0001888;02;09;6
0215EVA0001893;01;09;10
0215EVA0001893;02;09;2
0215EVA0001893;03;13;4
0215EVA0001893;04;01;3
0215EVA0001917;01;13;5
0215EVA0001954;01;01;3
0215EVA0002128;01;14;3
0215EVA0002129;01;10;7
0215EVA0002333;01;04;9
0215EVA0002334;01;04;7
0215EVA0002335;01;04;2
0215EVA0002357;01;04;6
0215EVA0002358;01;04;8
0215EVA0002358;02;04;2
0215EVA0002448;01;10;6
0215EVA0002858;01;04;5
0215EVA0002860;01;04;6
0215EVA0002861;01;04;3
0215EVA0002862;01;04;4
0215EVA0002865;01;04;4
0215EVA0002866;01;04;2
0215EVA0002866;02;04;2
0215EVA0002973;01;01;30
0215EVA0002974;01;01;7
0215EVA0002975;01;01;7
0215EVA0002976;01;01;7
0215EVA0002977;01;01;21
0215EVA0002978;01;01;3
0215EVA0002979;01;01;14
0215EVA0002980;01;01;5
0215EVA0003005;01;01;7
0215EVA0003006;01;01;7
0215EVA0003007;01;01;7
0215EVA0003008;01;01;11
0215EVA0003009;01;01;3
0215EVA0003104;01;10;5
0215EVA0003107;01;10;3
0215EVA0003266;01;14;7
0215EVA0003270;01;10;21
0215EVA0003271;01;10;10
0215EVA0003296;01;10;40
0215EVA0003296;02;01;1
0215EVA0003581;01;04;30
0215EVA0003917;01;13;4
0215EVA0003918;01;01;21
0215EVA0003918;02;01;2
0215EVA0003918;03;13;3
0215EVA0003952;01;10;10
0215EVA0003953;01;10;6
0215EVA0003967;01;10;8
0215EVA0004048;01;10;10
0215EVA0004049;01;10;7
0215EVA0004074;01;14;7
0215EVA0004259;01;04;4
0215EVA0004260;01;04;3
0215EVA0004262;01;04;2
0215EVA0004264;01;04;1
0215EVA0004266;01;04;4
0215EVA0004267;01;04;1
0215EVA0004340;01;13;3
0215EVA0004341;01;04;10
0215EVA0004369;01;01;7
0215EVA0004370;01;01;4
0215EVA0004401;01;01;30
0215EVA0004402;01;01;7
0215EVA0004549;01;10;4
0215EVA0004550;01;10;4
0215EVA0004551;01;10;6
0215EVA0004564;01;10;10
0215EVA0004565;01;10;4
0215EVA0004584;01;10;7
0215EVA0004970;01;10;5
0215EVA0004971;01;14;7
0215EVA0005087;01;09;3
0215EVA0005087;02;13;3
0215EVA0005167;01;01;6
0215EVA0005168;01;01;35
0215EVA0005199;01;01;5
0215EVA0005200;01;01;5
0215EVA0005273;01;04;4
0215EVA0005346;01;10;3
0215EVA0005370;01;10;6
0215EVA0005459;01;10;3
0215EVA0005464;01;10;4
0215EVA0005558;01;01;10
0215EVA0005558;02;01;3
0215EVA0005558;03;13;3
0215EVA0005559;01;12;4
0215EVA0005726;01;04;6
0215EVA0005727;01;04;3
0215EVA0005729;01;04;5
0215EVA0005731;01;04;5
0215EVA0005732;01;04;4
0215EVA0005817;01;10;3
