mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
032016;2;0115EVA0000106;2;2;14;13;4;1;1;6;1651.5579727;305.9676105
032016;2;0115EVA0000142;2;2;14;13;18;3;3;6;1836.428467;82.248534866
032016;2;0115EVA0000872;2;2;14;13;19;3;3;6;2041.8011907;82.248534866
032016;2;0115EVA0001326;2;2;14;09;13;3;3;6;1684.7032454;69.187234374
032016;2;0115EVA0002148;2;2;14;10;30;3;3;6;2753.9579033;47.029343668
032016;2;0115EVA0002425;2;2;14;01;33;3;1;6;2852.4093895;125.16388454
032016;2;0115EVA0003212;2;2;06;04;10;3;3;6;773.86342842;86.0627684
032016;2;0115EVA0003214;2;2;06;04;5;1;2;6;1323.7586803;48.47256233
032016;2;0115EVA0003215;2;2;06;04;3;3;3;6;466.48003341;86.0627684
032016;2;0115EVA0003227;2;2;05;04;25;3;3;6;1178.8590739;131.03955452
032016;2;0115EVA0003228;2;2;06;04;7;3;3;6;619.26623451;86.0627684
032016;2;0115EVA0003237;2;2;06;04;4;3;1;6;676.20741792;150.43265679
032016;2;0115EVA0003613;2;2;14;13;10;3;3;6;1451.1583292;82.248534866
032016;2;0115EVA0006350;2;2;06;04;6;1;1;6;929.13338631;56.329745459
032016;2;0115EVA0007319;2;2;14;01;11;3;2;6;2165.0743839;82.887637846
032016;2;0115EVA0007518;2;2;14;12;5;1;2;6;1835.033775;115.53786221
032016;2;0215EVA0000347;2;2;10;13;4;1;1;6;1471.2837884;559.60943356
032016;2;0215EVA0000405;2;2;05;04;3;1;2;6;588.1502464;137.83414871
032016;2;0215EVA0000427;2;2;05;04;3;1;2;6;442.86776637;137.83414871
032016;2;0215EVA0000546;2;2;15;15;146;3;2;6;10640.040635;129.64529317
032016;2;0215EVA0000556;2;2;14;13;4;1;2;6;1935.2689634;197.70615186
032016;2;0215EVA0000589;2;2;02;04;30;3;1;6;2536.5727455;172.2903613
032016;2;0215EVA0000590;2;2;02;04;7;2;1;6;1009.5529362;252.00706804
032016;2;0215EVA0000591;2;2;02;04;3;2;1;6;788.47075941;252.00706804
032016;2;0215EVA0000595;2;2;12;04;7;1;3;6;970.52990108;56.824487333
032016;2;0215EVA0000612;2;2;02;04;6;3;3;6;554.95753143;98.567596813
032016;2;0215EVA0000613;2;2;02;04;3;1;1;6;696.62399795;157.8020334
032016;2;0215EVA0000638;2;2;02;04;3;1;1;6;775.59493707;157.8020334
032016;2;0215EVA0000639;2;2;02;04;5;1;1;6;988.84914543;91.08133462
032016;2;0215EVA0000870;2;2;14;13;7;1;2;6;2551.5327969;
032016;2;0215EVA0000973;2;2;15;13;8;2;1;6;2725.5300603;143.84542924
032016;2;0215EVA0001082;2;2;02;04;4;1;1;6;844.98772722;119.88669571
032016;2;0215EVA0001083;2;2;02;04;4;2;1;6;927.99844301;252.00706804
032016;2;0215EVA0001084;2;2;02;04;12;1;1;6;1437.0881894;13.305713037
032016;2;0215EVA0001104;2;2;02;04;7;3;1;6;350.48372839;172.2903613
032016;2;0215EVA0001105;2;2;02;04;6;3;3;6;585.25238302;98.567596813
032016;2;0215EVA0001106;2;2;02;04;6;1;1;6;820.91809245;69.19708202
032016;2;0215EVA0001888;2;2;14;09;10;1;2;6;3131.6653572;55.039904908
032016;2;0215EVA0001893;2;2;15;09;19;3;1;6;3366.2465505;67.910361068
032016;2;0215EVA0001917;2;2;10;13;5;1;1;6;1624.545211;545.19455866
032016;2;0215EVA0003564;2;2;02;04;4;1;2;6;857.5203279;77.466818233
032016;2;0215EVA0003565;2;2;12;04;9;3;1;6;839.898802;344.36858431
032016;2;0215EVA0003566;2;2;02;04;5;1;2;6;1211.8337936;58.853746462
032016;2;0215EVA0003567;2;2;02;04;5;3;3;6;704.03285945;98.567596813
032016;2;0215EVA0003568;2;2;02;04;12;1;1;6;1351.1127558;13.305713037
032016;2;0215EVA0003569;2;2;06;04;11;1;1;6;1361.8473405;13.448395885
032016;2;0215EVA0003570;2;2;06;04;10;3;3;6;815.24662597;86.0627684
032016;2;0215EVA0003589;2;2;06;04;5;3;3;6;715.57278545;86.0627684
032016;2;0215EVA0003590;2;2;02;04;4;1;2;6;865.83521195;77.466818233
032016;2;0215EVA0003591;2;2;02;04;5;1;1;6;988.84914543;91.08133462
032016;2;0215EVA0003592;2;2;02;04;8;1;1;6;1057.3311275;39.939679143
032016;2;0215EVA0003593;2;2;06;04;3;2;2;6;670.34299656;60.200238466
032016;2;0215EVA0003594;2;2;06;04;5;3;3;6;611.16222268;86.0627684
032016;2;0215EVA0003595;2;2;06;04;8;3;3;6;720.65242282;86.0627684
032016;2;0215EVA0003917;2;2;10;13;4;1;1;6;1471.2837884;559.60943356
032016;2;0215EVA0003918;2;2;10;01;26;2;3;6;3021.4588114;200.57510892
032016;2;0215EVA0004340;2;2;10;13;3;1;2;6;1559.4944847;371.16179768
032016;2;0215EVA0004341;2;2;10;04;10;3;3;6;1109.8184395;234.61492901
032016;2;0215EVA0005087;2;2;15;09;6;1;1;6;2862.2254886;112.13400511
032016;2;0215EVA0005558;2;2;15;01;16;3;3;6;4061.7860876;46.495953932
032016;2;0215EVA0005559;2;2;10;12;4;3;2;6;898.03066285;171.13510896
032016;2;0215EVA0006907;2;2;10;08;2;1;1;6;1088.8377912;442.80278886
032016;2;0215EVA0006956;2;2;15;13;6;1;2;6;2857.6506974;128.06162546
032016;2;0215EVA0007307;2;2;15;13;2;3;3;6;2195.3305869;128.89423146
032016;2;0215EVA0007381;2;2;15;09;7;1;1;1;1683.1570778;115.70746128
032016;2;0315EVA0000032;2;2;15;13;5;1;1;6;3325.7174109;175.72957412
032016;2;0315EVA0000181;2;2;14;16;9;3;1;6;1421.8038457;128.02851699
032016;2;0315EVA0000246;2;2;15;09;5;1;1;6;2822.1455883;129.51828179
032016;2;0315EVA0000249;2;2;15;13;5;3;2;6;687.20755457;162.70242422
032016;2;0315EVA0000348;2;2;15;13;7;3;2;6;3162.8611192;162.70242422
032016;2;0315EVA0000363;2;2;15;13;4;1;1;6;1009.2512138;295.49542582
032016;2;0315EVA0000364;2;2;15;13;4;3;3;6;548.06103978;144.05305797
032016;2;0315EVA0000379;2;2;15;13;2;1;2;6;1483.0596669;254.73168658
032016;2;0315EVA0000488;2;2;15;13;7;1;2;6;2719.3362937;123.91225782
032016;2;0315EVA0000601;2;2;14;09;8;1;1;6;1991.7767769;154.55069702
032016;2;0315EVA0000675;2;2;15;14;8;3;3;6;595.88571505;128.28450797
032016;2;0315EVA0000896;2;2;15;13;3;1;2;6;989.59978979;238.82607615
032016;2;0315EVA0000897;2;2;15;09;4;1;2;6;1402.4853189;94.655741234
032016;2;0315EVA0000899;2;2;15;09;4;1;2;6;3974.0335657;94.655741234
032016;2;0315EVA0000902;2;2;15;09;4;1;2;6;1228.0164034;94.655741234
032016;2;0315EVA0000926;2;2;15;01;5;1;2;6;1901.0533486;141.59433315
032016;2;0315EVA0000927;2;2;15;13;5;1;2;6;2089.888133;193.85936038
032016;2;0315EVA0000952;2;2;15;13;4;1;2;6;1391.2572062;190.93937242
