mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
112015;2;1014EVA0000255;2;2;15;13;37;2;3;6;5946.0308109;577.13741885
112015;2;1014EVA0000325;2;2;14;09;8;1;1;1;1596.5932244;136.99503522
112015;2;1014EVA0000446;2;2;10;04;14;1;1;6;1883.330864;77.30497324
112015;2;1014EVA0000479;2;2;10;09;2;1;1;6;788.12802581;577.44346514
112015;2;1014EVA0000481;2;2;10;09;5;1;1;6;1320.5275433;216.44190004
112015;2;1014EVA0000514;2;2;10;09;8;1;1;1;1592.3073617;86.748142783
112015;2;1014EVA0000517;2;2;10;06;30;3;3;6;1715.9002351;167.23283391
112015;2;1014EVA0000518;2;2;10;04;14;1;1;6;1413.3807239;77.30497324
112015;2;1014EVA0000519;2;2;10;09;11;1;1;6;1803.6895895;30.409205362
112015;2;1014EVA0000520;2;2;10;09;10;1;1;6;1707.6111745;42.175585066
112015;2;1014EVA0000521;2;2;10;09;14;1;1;6;1572.6959554;11.398217461
112015;2;1014EVA0000608;2;2;10;01;5;1;2;6;1822.9748474;384.64624712
112015;2;1014EVA0000609;2;2;10;13;14;2;3;6;2032.4675506;82.188385634
112015;2;1014EVA0000635;2;2;14;09;10;1;1;6;2724.9570411;144.0045013
112015;2;1014EVA0000636;2;2;14;12;22;2;1;6;2840.8739495;85.993883869
112015;2;1014EVA0000965;2;2;05;04;4;1;1;6;658.37527067;2.6437600937
112015;2;1014EVA0000966;2;2;05;04;120;2;2;6;5184.3483912;2.592761113
112015;2;1014EVA0000967;2;2;05;04;6;1;1;6;801.41813434;1.8332089731
112015;2;1014EVA0000973;2;2;05;04;3;1;1;6;558.463696;3.1748782604
112015;2;1014EVA0000974;2;2;05;04;6;3;3;6;481.01398423;1.5955343087
112015;2;1014EVA0000975;2;2;05;04;6;1;1;6;763.60414114;1.8332089731
112015;2;1014EVA0000995;2;2;05;04;6;1;1;6;763.60414114;1.8332089731
112015;2;1014EVA0000996;2;2;05;04;7;3;1;6;490.01476208;2.9192481764
112015;2;1014EVA0001002;2;2;05;04;3;1;1;6;527.73186754;3.1748782604
112015;2;1014EVA0001003;2;2;05;04;90;1;2;6;5627.797106;0.0152081746
112015;2;1014EVA0001009;2;2;05;04;20;3;1;6;677.64133581;2.9192481764
112015;2;1014EVA0001243;2;2;05;04;4;1;1;6;658.37527067;2.6437600937
112015;2;1014EVA0001244;2;2;05;04;3;1;1;6;558.463696;3.1748782604
112015;2;1014EVA0001245;2;2;05;04;4;1;1;6;658.37527067;2.6437600937
112015;2;1014EVA0001259;2;2;05;04;120;3;2;6;4811.4008874;1.9600039828
112015;2;1014EVA0001260;2;2;05;04;4;1;1;6;658.37527067;2.6437600937
112015;2;1014EVA0001261;2;2;05;04;3;3;1;6;333.58167779;2.9192481764
112015;2;1014EVA0001262;2;2;05;04;2;1;1;6;446.06271616;3.8126954077
112015;2;1014EVA0001273;2;2;05;04;3;1;1;6;558.463696;3.1748782604
112015;2;1014EVA0001274;2;2;05;04;5;3;1;6;544.14219287;2.9192481764
112015;2;1014EVA0001288;2;2;05;04;3;1;1;6;558.463696;3.1748782604
112015;2;1014EVA0001289;2;2;05;04;3;2;1;6;581.66558792;3.8616825359
112015;2;1014EVA0001307;2;2;14;13;12;1;1;6;2801.5883982;100.89967106
112015;2;1014EVA0001341;2;2;10;13;4;1;1;6;1447.9861822;724.90069548
112015;2;1014EVA0001342;2;2;14;09;7;3;3;6;1297.0575476;133.93931405
112015;2;1014EVA0001343;2;2;14;09;4;1;1;1;1158.7923707;260.02670705
