mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
102015;2;1013EVA0003925;2;2;05;10;3;1;1;6;449.8791861;168.87922393
102015;2;1013EVA0003926;2;2;05;10;3;1;1;6;417.91465308;168.87922393
102015;2;1013EVA0003927;2;2;05;10;5;3;1;6;481.00321191;129.75144365
102015;2;1013EVA0003928;2;2;05;10;4;1;1;6;539.09631082;161.61007272
102015;2;1013EVA0003956;2;2;05;10;6;3;1;6;411.9279417;129.75144365
102015;2;1013EVA0003957;2;2;05;14;6;3;2;6;377.3595423;101.64385769
102015;2;1013EVA0003958;2;2;05;10;3;1;1;6;449.8791861;168.87922393
102015;2;1013EVA0003959;2;2;05;10;6;3;3;6;448.18486682;76.566388495
102015;2;1013EVA0005060;2;2;12;14;4;1;2;6;997.05212078;292.37929107
102015;2;1013EVA0006158;2;2;05;10;7;3;1;6;320.93585843;129.75144365
102015;2;1013EVA0006159;2;2;05;10;7;1;1;6;588.76546236;141.62666516
102015;2;1013EVA0006187;2;2;05;14;3;3;3;6;371.05502845;106.13607823
102015;2;1013EVB0003896;2;3;03;09;7;3;1;6;485.0363395;396.44607279
102015;2;1013EVC0001843;2;1;02;09;21;2;1;6;1000.3977941;4.8391951492
102015;2;1013EVC0002250;2;1;02;09;15;1;1;6;1332.3920955;20.695234432
102015;2;1013EVC0003062;8;1;02;07;1;3;1;6;107.077469;291.30195575
102015;2;1013EVC0003783;2;1;03;15;1;2;1;6;114.11458165;1289.0986921
102015;2;1013EVC0004253;8;1;02;01;1;3;1;6;212.39414577;322.81451599
102015;2;1013EVC0004729;2;1;02;09;7;3;3;6;416.75211828;257.12704067
102015;2;1013EVC0004731;2;1;02;10;14;2;1;6;886.62982859;305.79908282
102015;2;1014EVA0000255;2;2;15;13;37;2;3;6;5953.4169918;1550.8048185
102015;2;1014EVA0000446;2;2;10;04;14;1;1;6;1883.341275;2225.7929141
102015;2;1014EVA0000479;2;2;10;09;2;1;1;6;794.94660644;1542.5518963
102015;2;1014EVA0000481;2;2;10;09;5;1;1;6;1324.46182;836.97499221
102015;2;1014EVA0000514;2;2;10;09;8;1;1;1;1590.1044435;457.3896949
102015;2;1014EVA0000517;2;2;10;06;30;3;3;6;1707.0241768;637.70056059
102015;2;1014EVA0000518;2;2;10;04;14;1;1;6;1413.6695985;1673.9186441
102015;2;1014EVA0000519;2;2;10;09;11;1;1;6;1806.0199876;246.40974428
102015;2;1014EVA0000520;2;2;10;09;10;1;1;6;1709.7489911;302.11130626
102015;2;1014EVA0000521;2;2;10;09;14;1;1;6;1576.8522678;133.6997441
102015;2;1014EVA0000608;2;2;10;01;5;1;2;6;1818.6460551;564.92989262
102015;2;1014EVA0000609;2;2;10;13;14;2;3;6;2048.4214567;350.61877628
102015;2;1014EVA0000887;2;2;15;09;3;1;1;6;2472.9874411;657.25135923
