A0_1;C9_0;ccaa_etapa;pernoc_etapa
0415EVA0003177;01;09;2
0415EVA0003177;02;10;1
0415EVA0003177;03;01;2
0415EVA0003177;04;01;1
0415EVA0003177;05;13;2
0415EVA0003737;01;10;13
0415EVA0004041;01;13;3
0415EVA0004041;02;16;2
0415EVA0005174;01;10;7
0415EVA0006266;01;10;7
0415EVA0006294;01;10;3
0415EVA0006923;01;13;2
0415EVA0006923;02;03;1
0514EVA0000065;01;13;4
0514EVA0000065;02;09;6
0514EVA0000078;01;10;10
0514EVA0000124;01;09;2
0514EVA0000263;01;09;2
0514EVA0000264;01;13;2
0514EVA0000264;02;01;1
0514EVA0000264;03;01;1
0514EVA0000264;04;01;1
0514EVA0000264;05;09;2
0514EVA0000265;01;09;14
0514EVA0000265;02;13;2
0514EVA0000378;01;05;8
0514EVA0000379;01;13;5
0514EVA0000379;02;07;2
0514EVA0000380;01;08;9
0514EVA0000380;02;01;4
0514EVA0000380;03;01;1
0514EVA0000380;04;01;2
0514EVA0000400;01;13;7
0514EVA0000401;01;13;6
0514EVA0000402;01;13;3
0514EVA0000402;02;07;10
0514EVA0000403;01;13;3
0514EVA0000403;02;08;1
0514EVA0000403;03;01;1
0514EVA0000403;04;01;3
0514EVA0000403;05;01;3
0514EVA0000403;06;01;3
0514EVA0000405;01;05;3
0514EVA0000405;02;05;2
0514EVA0000405;03;05;2
0514EVA0000675;01;10;4
0514EVA0000675;02;01;4
0514EVA0000704;01;13;2
0514EVA0000704;02;09;2
0514EVA0000707;01;13;1
0514EVA0000707;02;01;1
0514EVA0000707;03;10;1
0514EVA0000707;04;09;2
0514EVA0000709;01;09;4
0514EVA0000720;01;09;3
0514EVA0000720;02;01;1
0514EVA0000726;01;09;3
0514EVA0000753;01;13;2
0514EVA0000753;02;09;2
0514EVA0000940;01;13;4
0514EVA0000941;01;13;3
0514EVA0000941;02;01;4
0514EVA0001135;01;13;5
0514EVA0001135;02;09;5
0514EVA0001163;01;09;7
0514EVA0001424;01;09;3
0514EVA0002126;01;09;4
0514EVA0002132;01;09;2
0514EVA0002151;01;09;2
0514EVA0002151;02;01;1
0514EVA0002151;03;01;1
0514EVA0002151;04;01;1
0514EVA0002151;05;01;1
0514EVA0002159;01;09;6
0514EVA0002163;01;13;2
0514EVA0002190;01;09;7
0514EVA0002209;01;09;6
0514EVA0002793;01;09;4
0514EVA0003387;01;04;6
0514EVA0003388;01;04;6
0514EVA0003389;01;04;6
0514EVA0003392;01;04;7
0514EVA0003393;01;04;7
0514EVA0003740;01;09;3
0514EVA0003740;02;13;3
0514EVA0003764;01;09;3
0514EVA0003769;01;09;3
0514EVA0004524;01;13;1
0514EVA0005478;01;10;4
0514EVA0006460;01;04;5
0514EVA0006464;01;04;7
0514EVA0006512;01;10;2
0514EVA0007106;01;10;3
0514EVA0007699;01;10;5
0514EVA0007705;01;10;9
0514EVA0008472;01;13;4
0514EVA0008850;01;13;2
0514EVA0008850;02;01;1
0514EVA0008850;03;09;2
0514EVA0009206;01;13;2
0514EVA0009206;02;01;1
0514EVA0009206;03;09;3
0514EVA0009208;01;09;6
0514EVA0009219;01;13;1
0514EVA0009219;02;10;2
0514EVA0009219;03;09;3
0514EVA0009242;01;09;3
0514EVA0009378;01;04;6
0514EVA0009379;01;04;6
0514EVA0009472;01;09;2
0514EVA0009475;01;09;2
0514EVA0009475;02;14;4
0514EVA0009490;01;09;5
0514EVA0009490;02;04;3
0514EVA0009525;01;01;2
0514EVA0009525;02;01;1
0514EVA0009525;03;01;1
0514EVA0009525;04;13;2
0514EVA0009525;05;09;2
0514EVA0009648;01;04;7
0514EVA0009653;01;04;5
0514EVA0009655;01;04;7
0514EVA0009665;01;01;10
0514EVA0009666;01;10;45
0514EVA0009667;01;01;28
0514EVA0009681;01;10;10
0514EVA0009682;01;10;7
0514EVA0009683;01;01;7
0514EVA0010204;01;09;8
0514EVA0010217;01;09;2
0514EVA0010652;01;09;6
0514EVA0010672;01;09;6
0514EVA0010690;01;09;3
0514EVA0010694;01;09;31
0514EVA0010694;02;05;3
0514EVA0010694;03;09;1
0514EVA0010761;01;09;3
0514EVA0010909;01;09;4
0514EVA0010910;01;09;7
0514EVA0010992;01;09;4
0514EVA0011000;01;09;95
0514EVA0011003;01;09;3
0514EVA0011044;01;09;1
0515EVA0000031;01;13;8
0515EVA0000037;01;13;4
0515EVA0000049;01;13;5
0515EVA0000050;01;01;10
0515EVA0000051;01;13;6
0515EVA0000106;01;12;14
0515EVA0000107;01;01;27
0515EVA0000202;01;04;5
0515EVA0000206;01;04;3
0515EVA0000240;01;04;4
0515EVA0000241;01;04;4
