mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
042017;2;0415EVA0000930;2;2;10;01;9;3;3;6;1448.7112773;359.42530386
042017;2;0415EVA0000931;2;2;10;13;13;2;3;6;1441.3626549;1186.6007542
042017;2;0415EVA0000958;2;2;10;13;14;1;1;6;2374.7202737;90.63673454
042017;2;0415EVA0000959;2;2;10;13;6;1;1;6;1336.4708749;501.06387201
042017;2;0415EVA0000961;2;2;10;13;7;2;1;6;1633.7234172;1910.2977079
042017;2;0415EVA0000962;2;2;10;09;9;1;1;6;1704.2019706;158.20771919
042017;2;0415EVA0002071;2;2;09;10;7;3;1;6;705.05904509;400.4269604
042017;2;0415EVA0003146;2;2;10;13;6;1;1;6;1577.8789486;766.15027004
042017;2;0415EVA0003147;2;2;10;04;15;3;3;6;949.42471838;265.93768895
042017;2;0415EVA0003177;2;2;15;09;8;1;1;1;1975.357908;554.24818936
042017;2;0415EVA0004041;2;2;15;13;5;1;1;6;3303.7370952;837.39704642
042017;2;0415EVA0006563;2;2;10;13;3;1;2;6;1602.7677742;497.36123532
042017;2;0415EVA0006923;2;2;15;13;3;1;2;6;3030.5888263;695.74884653
042017;2;0415EVA0006940;2;2;10;13;5;1;1;6;1696.6841934;620.46415254
042017;2;0415EVA0006941;2;2;10;13;6;1;1;6;1567.3675567;501.06387201
042017;2;0415EVA0007395;2;2;10;13;5;1;1;6;1696.6841934;620.46415254
042017;2;0415EVA0007396;2;2;10;09;8;1;1;1;1664.7427579;297.78177093
042017;2;0415EVA0008514;2;2;09;10;5;3;3;6;621.11010878;248.72925891
042017;2;0415EVA0008515;2;2;09;14;10;3;3;6;727.4914615;279.7073827
042017;2;0415EVA0008541;2;2;09;10;7;3;3;6;618.84427583;248.72925891
042017;2;0415EVC0006397;8;1;12;13;2;3;2;6;275.94149066;687.87514469
042017;2;0415EVC0006768;8;1;06;02;2;2;1;6;151.67357257;527.08909163
042017;2;0415EVC0006776;8;1;12;02;1;1;3;6;181.07148664;821.61307908
042017;2;0515EVA0000051;2;2;15;13;6;1;2;6;2912.9769085;265.91269113
