A0_1;C9_0;ccaa_etapa;pernoc_etapa
0415EVA0003177;01;09;2
0415EVA0003177;02;10;1
0415EVA0003177;03;01;2
0415EVA0003177;04;01;1
0415EVA0003177;05;13;2
0415EVA0004041;01;13;3
0415EVA0004041;02;16;2
0415EVA0006923;01;13;2
0415EVA0006923;02;03;1
0515EVA0000037;01;13;4
0515EVA0000049;01;13;5
0515EVA0000050;01;01;10
0515EVA0000051;01;13;6
0515EVA0000106;01;12;14
0515EVA0000107;01;01;27
0515EVA0000277;01;13;4
0515EVA0000277;02;01;1
0515EVA0000277;03;01;3
0515EVA0000278;01;02;70
0515EVA0000278;02;09;3
0515EVA0000278;03;16;1
0515EVA0000278;04;13;4
0515EVA0000278;05;16;2
0515EVA0000301;01;13;3
0515EVA0000301;02;01;5
0515EVA0000301;03;08;2
0515EVA0000302;01;13;7
0515EVA0000311;01;13;2
0515EVA0000311;02;01;1
0515EVA0000311;03;01;2
0515EVA0000473;01;09;2
0515EVA0000473;02;01;3
0515EVA0000473;03;13;3
0515EVA0000582;01;09;3
0515EVA0000582;02;13;3
0515EVA0002130;01;09;3
0515EVA0002130;02;13;2
0515EVA0002131;01;13;8
0515EVA0002213;01;04;7
0515EVA0002215;01;04;7
0515EVA0002216;01;04;7
0515EVA0002233;01;04;7
0515EVA0002234;01;04;6
0515EVA0002242;01;04;7
0515EVA0002260;01;04;7
0515EVA0002622;01;13;5
0515EVA0003184;01;13;4
0515EVA0003540;01;09;2
0515EVA0003540;02;10;1
0515EVA0003540;03;01;1
0515EVA0003540;04;01;1
0515EVA0003540;05;13;2
0515EVA0004213;01;16;12
0515EVA0004219;01;16;8
0515EVA0005952;01;04;7
0515EVA0005953;01;04;7
0515EVA0005954;01;04;7
0515EVA0005963;01;04;3
0515EVA0005964;01;04;7
0515EVA0005965;01;04;7
0515EVA0007551;01;09;4
0515EVA0007551;02;10;2
0515EVA0007551;03;13;4
0515EVA0007563;01;13;4
0515EVA0009795;01;13;3
0515EVA0009796;01;13;4
0515EVA0010175;01;04;7
0515EVA0010225;01;03;3
0515EVB0004180;01;01;30
0515EVB0004183;01;06;3
0515EVB0004184;01;06;2
0615EVA0000234;01;13;10
0615EVA0000235;01;09;3
0615EVA0000235;02;01;2
0615EVA0000235;03;01;1
0615EVA0000235;04;01;3
0615EVA0000235;05;13;4
0615EVA0000236;01;09;3
0615EVA0000236;02;13;3
0615EVA0000237;01;09;3
0615EVA0000237;02;13;3
0615EVA0000238;01;10;13
0615EVA0001402;01;09;3
0615EVA0001402;02;13;2
0615EVA0001403;01;13;30
0615EVA0001403;02;01;5
0615EVA0001406;01;13;4
0615EVA0001406;02;12;14
0615EVA0001407;01;13;24
0615EVA0001407;02;09;2
0615EVA0001407;03;01;1
0615EVA0001420;01;09;4
0615EVA0001420;02;13;4
0615EVA0001445;01;13;3
0615EVA0001445;02;08;1
0615EVA0001669;01;09;3
0615EVA0001670;01;09;4
0615EVA0001672;01;09;35
0615EVA0002286;01;13;30
0615EVA0002287;01;01;5
0615EVA0002287;02;13;4
0615EVA0002290;01;10;7
0615EVA0002290;02;04;3
0615EVA0002291;01;01;4
0615EVA0002291;02;01;2
0615EVA0002291;03;09;4
0615EVA0002291;04;13;4
0615EVA0002291;05;16;2
0615EVA0002721;01;09;4
0615EVA0002721;02;13;3
0615EVA0002762;01;10;7
0615EVA0002763;01;10;7
0615EVA0002764;01;10;7
0615EVA0002777;01;14;6
0615EVA0002778;01;10;7
0615EVA0002899;01;09;6
0615EVA0003070;01;04;6
0615EVA0003071;01;04;5
0615EVA0003103;01;04;15
0615EVA0003208;01;13;6
0615EVA0003209;01;02;15
0615EVA0003210;01;13;13
0615EVA0003211;01;13;6
0615EVA0003211;02;05;7
0615EVA0003212;01;12;36
0615EVA0003212;02;13;3
0615EVA0003213;01;09;3
0615EVA0003213;02;13;3
0615EVA0003429;01;09;5
0615EVA0003493;01;09;9
0615EVA0003620;01;04;4
0615EVA0003621;01;04;5
0615EVA0003622;01;04;6
0615EVA0003623;01;04;2
0615EVA0003630;01;04;7
0615EVA0003631;01;04;3
0615EVA0003632;01;04;14
0615EVA0003650;01;04;3
0615EVA0003651;01;04;7
0615EVA0003652;01;04;4
0615EVA0003653;01;04;6
0615EVA0003654;01;04;3
0615EVA0003655;01;04;5
0615EVA0003660;01;04;5
0615EVA0003662;01;04;3
0615EVA0004201;01;13;4
0615EVA0004228;01;13;5
0615EVA0004229;01;09;4
0615EVA0004229;02;01;2
0615EVA0004229;03;01;7
0615EVA0004229;04;01;3
0615EVA0004229;05;13;4
0615EVA0004565;01;04;7
0615EVA0004566;01;04;14
