mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022017;2;0215EVA0000090;2;2;08;04;5;3;3;6;690.78984324;1.0672731251
022017;2;0215EVA0000091;2;2;08;04;4;3;1;6;500.50074318;2.3695524337
022017;2;0215EVA0000093;2;2;08;04;4;3;1;6;382.0064245;2.3695524337
022017;2;0215EVA0000095;2;2;08;04;1;3;2;6;281.347507;1.6755502506
022017;2;0215EVA0000096;2;2;08;04;5;3;1;6;392.28459222;2.3695524337
022017;2;0215EVA0000097;2;2;08;04;7;3;1;6;419.27517792;2.3695524337
022017;2;0215EVA0000347;2;2;10;13;4;1;1;6;1500.6162715;658.14135917
022017;2;0215EVA0000382;2;2;03;04;8;3;3;6;469.37999774;10.237604283
022017;2;0215EVA0000383;2;2;03;04;12;1;1;6;1526.0901302;13.727710212
022017;2;0215EVA0000405;2;2;05;04;3;1;2;6;594.61872127;23.345491836
022017;2;0215EVA0000426;2;2;03;04;5;3;1;6;563.17740155;22.729458442
022017;2;0215EVA0000427;2;2;05;04;3;1;2;6;449.58611762;23.345491836
022017;2;0215EVA0000546;2;2;15;15;34;3;2;6;4259.1197413;111.40419972
022017;2;0215EVA0000556;2;2;14;13;4;1;2;6;1986.7235928;185.6003383
022017;2;0215EVA0000973;2;2;15;13;8;2;1;6;2810.3873932;181.78181139
022017;2;0215EVA0001026;2;2;04;01;4;1;1;6;1082.1362105;146.58737451
022017;2;0215EVA0001088;2;2;03;04;2;1;2;6;569.77614411;16.637699596
022017;2;0215EVA0001089;2;2;03;04;14;3;1;6;769.19466191;22.729458442
022017;2;0215EVA0001090;2;2;03;04;15;3;1;6;1734.5435239;22.729458442
022017;2;0215EVA0001109;2;2;03;04;4;1;2;6;804.8045503;14.938000518
022017;2;0215EVA0001110;2;2;03;04;8;3;3;6;204.46241577;10.237604283
022017;2;0215EVA0001455;2;2;03;04;7;1;1;6;760.94239473;17.972153687
022017;2;0215EVA0001576;2;2;08;04;5;3;1;6;559.58518143;2.3695524337
022017;2;0215EVA0001577;2;2;08;04;8;3;1;6;541.41756466;2.3695524337
022017;2;0215EVA0001579;2;2;08;04;4;3;3;6;516.33454649;1.0672731251
022017;2;0215EVA0001580;2;2;08;04;2;3;1;6;294.65155567;2.3695524337
022017;2;0215EVA0001582;2;2;08;04;9;3;3;6;711.01094584;1.0672731251
022017;2;0215EVA0001584;2;2;08;04;2;3;2;6;388.74046767;1.6755502506
022017;2;0215EVA0001595;2;2;04;01;14;3;1;6;1283.626419;138.08194351
022017;2;0215EVA0001596;2;2;04;01;7;1;1;6;757.92184788;137.78626385
022017;2;0215EVA0001597;2;2;04;01;10;2;1;6;1351.5206973;233.02239715
022017;2;0215EVA0001598;2;2;04;01;14;3;1;6;891.93555092;138.08194351
022017;2;0215EVA0001626;2;2;04;01;2;1;1;1;575.56726791;161.38170954
022017;2;0215EVA0001627;2;2;04;01;10;1;1;6;1246.2722923;129.51357215
022017;2;0215EVA0001751;2;2;03;10;25;3;3;6;1137.8962578;24.858665631
