A0_1;C9_0;ccaa_etapa;pernoc_etapa
0414EVA0000145;01;13;2
0414EVA0000151;01;03;5
0414EVA0000200;01;13;3
0414EVA0000200;02;01;3
0414EVA0000396;01;13;4
0414EVA0000402;01;13;7
0414EVA0000407;01;13;4
0414EVA0000408;01;13;10
0414EVA0000416;01;09;3
0414EVA0000416;02;13;3
0414EVA0000416;03;01;2
0414EVA0000416;04;01;3
0414EVA0001984;01;09;3
0414EVA0001984;02;13;3
0414EVA0001984;03;01;2
0414EVA0001984;04;01;2
0414EVA0002359;01;13;5
0414EVA0002360;01;13;3
0414EVA0002360;02;01;2
0414EVA0002360;03;01;2
0414EVA0002360;04;01;3
0414EVA0002360;05;09;4
0414EVA0003871;01;13;2
0414EVA0004380;01;13;5
0414EVA0004385;01;05;5
0414EVA0004386;01;13;1
0414EVA0004386;02;01;8
0414EVA0006152;01;13;5
0414EVA0006214;01;13;9
0414EVA0006215;01;05;8
0414EVA0006215;02;13;2
0414EVA0006611;01;13;7
0414EVA0006611;02;01;5
0414EVA0006611;03;01;3
0414EVA0006611;04;09;4
0414EVA0006639;01;09;3
0414EVA0006639;02;13;3
0414EVA0006900;01;07;1
0414EVA0006900;02;12;2
0414EVA0006900;03;06;1
0414EVA0006900;04;16;2
0414EVA0006900;05;09;3
0414EVA0006900;06;02;1
0414EVA0006900;07;13;3
0414EVA0007537;01;12;1
0414EVA0007537;02;09;2
0414EVA0007537;03;01;1
0414EVA0007537;04;01;1
0414EVA0007537;05;01;2
0414EVA0007537;06;01;1
0414EVA0007537;07;13;2
0414EVA0008151;01;10;10
0414EVA0008152;01;10;10
0414EVA0008181;01;10;7
0414EVA0009736;01;13;7
0414EVA0009748;01;13;6
0414EVA0009749;01;13;4
0414EVA0010159;01;13;4
0414EVB0010028;01;13;2
0414EVB0010028;02;09;1
0414EVC0002908;01;15;1
0414EVC0003262;01;01;7
0415EVA0000264;01;04;3
0415EVA0000268;01;04;3
0415EVA0000268;02;04;6
0415EVA0000269;01;04;30
0415EVA0000270;01;04;2
0415EVA0000293;01;04;7
0415EVA0000297;01;04;30
0415EVA0000298;01;04;6
0415EVA0000299;01;04;7
0415EVA0000791;01;04;2
0415EVA0000792;01;04;4
0415EVA0000809;01;04;6
0415EVA0000810;01;04;9
0415EVA0000930;01;01;9
0415EVA0000931;01;13;60
0415EVA0000931;02;01;3
0415EVA0000932;01;13;4
0415EVA0000932;02;01;3
0415EVA0000958;01;13;14
0415EVA0000959;01;13;6
0415EVA0000961;01;13;2
0415EVA0000961;02;01;2
0415EVA0000961;03;01;2
0415EVA0000961;04;08;1
0415EVA0000962;01;09;5
0415EVA0000962;02;13;4
0415EVA0000986;01;09;9
0415EVA0002071;01;10;7
0415EVA0002546;01;04;7
0415EVA0002547;01;04;5
0415EVA0002568;01;04;7
0415EVA0002569;01;04;7
0415EVA0003146;01;13;3
0415EVA0003146;02;01;3
0415EVA0003147;01;04;15
0415EVA0003177;01;09;2
0415EVA0003177;02;10;1
0415EVA0003177;03;01;2
0415EVA0003177;04;01;1
0415EVA0003177;05;13;2
0415EVA0003923;01;14;4
0415EVA0003935;01;10;5
0415EVA0003936;01;14;5
0415EVA0003964;01;10;2
0415EVA0004041;01;13;3
0415EVA0004041;02;16;2
0415EVA0004170;01;09;8
0415EVA0004170;02;13;4
0415EVA0004779;01;09;10
0415EVA0004924;01;13;7
0415EVA0005127;01;04;4
0415EVA0005128;01;04;4
0415EVA0005129;01;09;2
0415EVA0005152;01;04;10
0415EVA0005153;01;04;2
0415EVA0005154;01;04;35
0415EVA0005155;01;04;21
0415EVA0005357;01;13;5
0415EVA0005357;02;09;2
0415EVA0006024;01;09;5
0415EVA0006024;02;13;3
0415EVA0006041;01;13;5
0415EVA0006563;01;13;3
0415EVA0006658;01;04;4
0415EVA0006659;01;04;3
0415EVA0006660;01;04;20
0415EVA0006691;01;04;3
0415EVA0006692;01;04;5
0415EVA0006799;01;14;7
0415EVA0006799;02;13;1
0415EVA0006923;01;13;2
0415EVA0006923;02;03;1
0415EVA0006940;01;13;5
0415EVA0006941;01;13;6
