A0_1;C9_0;ccaa_etapa;pernoc_etapa
1114EVA0005833;01;09;5
1114EVA0005834;01;09;7
1114EVA0005839;01;09;9
1114EVA0005902;01;16;3
1114EVA0005902;02;13;3
1114EVA0005903;01;01;2
1114EVA0005903;02;09;2
1114EVA0005903;03;13;30
1114EVA0005904;01;01;4
1114EVA0005922;01;13;2
1114EVA0005927;01;13;3
1114EVA0005929;01;16;15
1114EVA0006049;01;10;3
1114EVA0006049;02;01;2
1114EVA0006049;03;13;3
1114EVA0006049;04;09;4
1114EVA0006049;05;01;3
1114EVA0006072;01;09;5
1114EVA0006109;01;05;7
1114EVA0006116;01;05;10
1114EVA0006149;01;05;3
1114EVA0006183;01;13;4
1114EVA0006183;02;07;2
1114EVA0006226;01;13;4
1114EVA0006227;01;13;7
1114EVA0006228;01;13;5
1114EVA0006352;01;09;2
1114EVA0006524;01;05;7
1114EVA0006668;01;13;3
1114EVA0006695;01;01;1
1114EVA0006695;02;13;7
1114EVA0006697;01;13;2
1114EVA0006700;01;13;2
1114EVA0006734;01;04;6
1114EVA0006751;01;04;7
1114EVA0007054;01;13;3
1114EVA0007055;01;13;21
1114EVA0007057;01;13;4
1114EVA0007057;02;01;3
1114EVA0007058;01;07;55
1114EVA0007058;02;13;4
1114EVA0007059;01;13;4
1114EVA0007059;02;09;3
1114EVA0007059;03;07;5
1114EVA0007060;01;13;7
1114EVA0007061;01;08;4
1114EVA0007225;01;16;4
1114EVA0007229;01;05;8
1114EVA0007229;02;13;7
1114EVA0007230;01;13;21
1114EVA0007231;01;08;2
1114EVA0007232;01;13;2
1114EVA0007232;02;12;5
20151000000108;01;04;9
20151000000109;01;04;6
20151000000118;01;04;4
20151000000119;01;04;7
20151000000120;01;04;6
20151000000122;01;04;14
20151000000123;01;04;5
20151000000124;01;04;2
20151000000125;01;04;8
20151000000126;01;04;3
20151000000127;01;04;10
20151000000128;01;04;5
20151000000129;01;04;25
20151000000139;01;04;5
20151000000141;01;04;6
20151000000143;01;04;4
20151000000145;01;04;5
20151000000146;01;04;3
20151000000147;01;04;5
20151000000148;01;04;7
20151000000150;01;04;6
20151000000151;01;04;4
20151000000152;01;04;5
20151000000153;01;04;7
20151000000232;01;04;4
20151000000233;01;04;4
20151000000234;01;04;7
20151000000235;01;04;10
20151000000236;01;04;7
20151000000237;01;04;7
20151000000240;01;04;6
20151000000241;01;04;3
20151000000242;01;04;6
20151000000260;01;04;5
20151000000261;01;04;21
20151000000263;01;04;7
20151000000264;01;04;7
20151000000265;01;04;7
20151000000266;01;04;7
20151000000268;01;04;6
20151000000269;01;04;5
20151000000271;01;04;7
20151000001699;01;01;2
20151000001699;02;01;2
20151000001699;03;09;10
20151000001758;01;09;3
20151000001758;02;10;6
20151000001801;01;13;3
20151000001801;02;01;6
20151000001801;03;09;3
20151000001802;01;13;5
20151000001806;01;12;27
20151000001809;01;13;5
20151000001851;01;09;4
20151000001851;02;13;4
20151000001852;01;16;3
20151000001852;02;16;2
20151000001852;03;06;3
20151000001852;04;12;5
20151000002541;01;14;7
20151000002542;01;14;7
20151000002543;01;10;14
20151000002544;01;10;7
20151000002546;01;09;2
20151000002546;02;10;14
20151000002549;01;10;4
20151000002551;01;14;7
20151000002552;01;10;7
20151000002553;01;14;7
20151000002554;01;14;120
20151000002556;01;14;3
20151000002557;01;10;2
20151000002559;01;10;7
20151000002560;01;14;28
20151000002561;01;14;7
20151000002564;01;14;7
20151000002565;01;14;10
20151000002566;01;10;10
20151000002567;01;14;3
20151000002569;01;14;7
20151000002571;01;10;7
20151000002572;01;14;7
20151000002573;01;14;7
20151000002574;01;09;4
20151000002574;02;10;86
20151000002575;01;10;3
20151000002576;01;14;7
20151000002577;01;01;14
20151000002579;01;14;7
20151000002580;01;14;7
20151000002581;01;10;3
20151000002583;01;10;3
20151000002584;01;10;7
20151000002586;01;10;7
20151000002587;01;14;7
20151000002588;01;14;5
20151000002589;01;10;22
20151000002591;01;10;7
20151000002592;01;14;7
20151000002593;01;10;23
20151000002594;01;14;4
20151000002595;01;10;6
20151000002791;01;09;6
20151000002799;01;09;3
20151000002799;02;09;1
20151000002841;01;09;6
20151000003209;01;16;3
20151000003209;02;17;5
20151000003991;01;04;9
20151000003992;01;04;4
20151000003993;01;04;6
20151000003995;01;04;7
20151000003996;01;04;9
20151000003997;01;04;7
20151000003998;01;04;7
20151000003999;01;04;5
20151000004000;01;04;8
20151000004001;01;04;5
20151000004003;01;04;7
20151000004009;01;04;4
20151000004010;01;04;6
20151000004011;01;04;4
20151000004012;01;04;6
20151000004013;01;04;3
20151000004015;01;04;4
20151000004016;01;04;30
20151000004018;01;04;7
20151000004020;01;04;7
20151000004026;01;04;5
20151000004029;01;04;4
20151000004030;01;04;7
20151000004031;01;04;9
20151000004032;01;04;7
20151000004033;01;04;7
20151000004034;01;04;35
20151000004035;01;04;5
20151000004036;01;04;7
20151000004038;01;04;7
20151000004045;01;04;5
20151000004046;01;04;5
20151000004047;01;04;5
20151000004048;01;04;4
20151000004049;01;04;5
20151000004051;01;04;3
20151000004052;01;04;5
20151000004054;01;04;5
20151000004531;01;09;5
20151000004531;02;16;4
20151000004531;03;13;3
20151000004533;01;16;10
20151000004651;01;13;4
20151000004696;01;12;32
20151000004926;01;05;7
20151000004948;01;05;14
20151000005377;01;09;5
20151000005722;01;09;5
20151000005728;01;09;1
20151000005728;02;02;21
20151000007386;01;09;1
20151000007386;02;16;2
20151000007386;03;13;2
20151000007386;04;15;2
20151000007386;05;12;2
20151000007387;01;09;7
20151000007425;01;09;4
20151000007426;01;09;7
20151000007427;01;09;6
20151000007476;01;13;4
20151000007477;01;09;2
20151000007477;02;13;2
20151000007491;01;13;3
20151000007512;01;13;2
20151000007531;01;13;5
20151000007533;01;13;1
20151000007541;01;13;1
20151000007871;01;09;8
20151000007872;01;09;5
20151000007874;01;09;7
20151000007887;01;09;6
20151000007902;01;09;5
20151000007909;01;09;4
20151000007911;01;09;3
20151000007912;01;09;4
20151000007913;01;04;2
20151000007913;02;09;3
20151000009130;01;04;7
20151000009131;01;04;6
20151000009151;01;04;8
20151000009152;01;04;7
20151000012491;01;04;5
20151000012492;01;04;4
20151000012494;01;04;4
20151000012495;01;04;2
20151000012496;01;04;6
20151000012497;01;04;11
20151000012498;01;04;6
20151000012521;01;04;4
20151000012523;01;04;7
20151000012525;01;04;5
20151000012526;01;04;7
20151000012527;01;04;7
20151000012529;01;04;4
20151000013141;01;14;7
20151000013142;01;14;10
20151000013144;01;14;7
20151000013146;01;10;8
20151000013149;01;14;14
20151000013150;01;10;4
20151000013152;01;14;3
20151000013153;01;14;3
20151000013155;01;14;4
20151000013156;01;01;7
20151000013157;01;14;14
20151000013158;01;14;4
20151000013160;01;01;4
20151000013161;01;01;2
20151000013162;01;14;7
20151000013165;01;10;7
20151000013168;01;10;4
20151000013169;01;14;4
20151000013170;01;14;5
20151000013171;01;14;7
20151000013172;01;14;3
20151000013174;01;14;7
20151000013175;01;14;7
20151000013181;01;14;4
20151000013182;01;14;14
20151000013183;01;14;7
20151000013184;01;14;7
20151000013185;01;14;17
20151000013186;01;10;7
20151000013187;01;10;3
20151000013188;01;14;3
20151000013189;01;10;8
20151000013192;01;01;6
20151000013193;01;14;4
20151000013194;01;10;7
20151000013196;01;10;3
20151000013197;01;14;7
20151000013200;01;14;3
20151000013206;01;04;5
20151000013901;01;09;6
20151000013902;01;09;7
20151000013902;02;13;4
20151000013936;01;04;1
20151000013936;02;09;1
20151000013936;03;09;5
20151000013937;01;09;2
20151000013937;02;09;3
20151000013937;03;12;1
20151000013940;01;09;2
20151000013940;02;02;10
20151000013982;01;16;2
20151000013982;02;16;2
20151000013982;03;13;3
20151000013982;04;12;4
20151000013982;05;03;2
20151000013992;01;13;15
20151000014013;01;13;2
20151000014103;01;12;4
20151000014103;02;16;1
20151000014103;03;07;2
20151000014103;04;15;1
20151000014103;05;07;2
20151000014105;01;16;2
20151000014105;02;16;2
20151000014105;03;02;2
20151000014105;04;15;1
20151000015196;01;09;4
20151000015200;01;09;6
20151000015209;01;09;2
20151000015214;01;09;6
20151000015232;01;09;7
20151000015233;01;09;5
20151000015234;01;09;4
20151000015234;02;13;2
20151000016513;01;04;5
20151000016514;01;04;7
20151000016543;01;04;4
20151000016545;01;04;6
20151000018055;01;04;12
20151000018086;01;04;7
20151000018087;01;04;7
20151000018088;01;04;7
20151000018099;01;04;90
20151000018127;01;04;10
20151000018128;01;04;9
20151000018129;01;04;9
20151000019274;01;04;2
20151000019274;02;10;5
20151000019276;01;09;1
20151000019276;02;09;1
20151000019276;03;09;1
20151000019276;04;09;7
20151000019276;05;09;1
20151000019277;01;09;2
20151000019292;01;09;2
20151000019293;01;09;4
20151000019294;01;09;4
20151000019294;02;10;3
20151000019295;01;09;5
20151000019300;01;09;6
20151000019309;01;09;10
20151000019310;01;09;5
20151000019310;02;13;2
20151000019312;01;09;4
20151000019313;01;09;5
20151000019327;01;09;3
20151000019328;01;09;5
20151000019329;01;09;4
20151000019330;01;09;2
20151000019330;02;01;1
20151000019330;03;01;1
20151000019330;04;13;2
20151000019330;05;01;1
20151000020135;01;04;7
20151000020136;01;04;7
20151000020159;01;04;7
20151000020464;01;09;3
20151000020464;02;09;1
20151000020507;01;09;2
20151000023625;01;04;4
20151000023625;02;09;3
20151000023626;01;09;7
20151000023626;02;09;7
20151000023626;03;09;3
20151000023627;01;09;4
20151000023628;01;09;4
20151000023657;01;09;4
20151000023658;01;09;5
20151000023658;02;09;2
20151000023658;03;09;2
20151000023659;01;09;1
20151000023661;01;09;1
20151000024464;01;09;5
20151000024736;01;05;14
20151000024739;01;05;7
20151000024740;01;05;7
20151000024741;01;05;7
20151000024768;01;05;3
20151000024768;02;05;3
20151000024768;03;05;15
20151000024768;04;05;5
20151000024769;01;05;10
20151000024770;01;05;10
20151000024807;01;13;7
20151000024808;01;13;1
20151000024810;01;13;3
20151000024810;02;01;5
20151000024847;01;13;1
20151000024848;01;13;7
20151000025121;01;09;3
20151000025139;01;09;7
20151000026472;01;05;7
20151000026474;01;05;14
20151000027587;01;09;1
20151000027587;02;13;3
20151000027588;01;09;3
20151000027588;02;13;5
20151000027588;03;01;2
20151000027597;01;04;7
20151000027598;01;04;7
20151000027599;01;04;7
20151000027601;01;04;7
20151000027602;01;04;9
20151000027603;01;04;14
20151000027611;01;04;4
20151000027613;01;04;5
20151000027617;01;04;10
20151000027618;01;04;5
20151000027619;01;04;4
20151000027620;01;04;7
20151000027621;01;04;7
20151000027622;01;04;7
20151000027624;01;04;7
20151000027625;01;04;9
20151000027633;01;04;4
20151000027637;01;04;3
20151000027638;01;04;4
20151000027639;01;04;6
20151000028660;01;09;3
20151000028669;01;09;5
20151000028707;01;09;7
20151000028712;01;05;19
20151000028727;01;09;5
20151000028753;01;13;2
20151000028758;01;11;6
20151000028772;01;09;2
20151000028772;02;13;3
20151000028795;01;13;7
20151000029048;01;09;5
20151000029050;01;09;6
20151000029079;01;09;5
20151000029080;01;09;3
20151000029081;01;09;5
20151000029082;01;09;3
20151000029082;02;01;3
20151000029082;03;13;7
20151000029082;04;01;2
20151000029125;01;16;2
20151000029125;02;16;2
20151000029129;01;16;6
20151000029132;01;13;4
20151000029132;02;16;3
20151000029132;03;16;1
20151000030717;01;05;7
20151000031350;01;13;1
20151000031352;01;01;2
20151000031352;02;09;3
20151000031352;03;01;1
20151000031352;04;13;4
20151000031355;01;12;19
20151000031357;01;13;2
20151000031360;01;13;8
20151000031385;01;09;3
20151000031385;02;13;4
20151000031386;01;13;3
20151000031387;01;05;20
20151000031399;01;13;3
20151000031400;01;13;30
20151000031401;01;13;1
20151000031401;02;12;30
20151000031404;01;13;10
20151000031405;01;13;4
20151000031435;01;13;5
20151000031439;01;13;10
20151000032451;01;04;4
20151000032452;01;04;9
20151000032453;01;04;5
20151000032459;01;04;6
20151000032460;01;04;7
20151000032461;01;04;21
20151000032463;01;04;5
20151000032464;01;04;14
20151000032465;01;04;7
20151000032466;01;04;7
20151000032467;01;04;7
20151000032468;01;04;9
20151000032477;01;04;3
20151000032478;01;04;7
20151000032479;01;04;7
20151000032480;01;04;6
20151000032481;01;04;4
20151000032486;01;04;5
20151000032487;01;04;7
20151000032488;01;04;6
20151000032494;01;04;7
20151000032495;01;04;7
20151000032496;01;04;7
20151000032497;01;04;5
20151000032498;01;04;7
20151000032499;01;04;7
20151000032500;01;04;7
20151000032501;01;04;7
20151000032502;01;04;7
20151000032511;01;04;10
20151000032512;01;04;9
20151000032513;01;04;5
20151000032515;01;04;7
20151000033857;01;05;7
20151000034219;01;09;2
20151000034255;01;09;2
20151000037013;01;07;4
20151000037021;01;13;1
20151000037492;01;16;2
20151000037492;02;13;1
20151000037503;01;16;4
20151000037503;02;13;7
20151000037503;03;01;5
20151000037503;04;01;7
20151000037507;01;01;1
20151000037507;02;10;1
20151000037507;03;09;4
20151000037507;04;16;1
20151000037507;05;09;1
20151000037507;06;16;2
20151000037507;07;13;3
20151000037507;08;08;1
20151000037507;09;01;2
20151000038291;01;09;2
20151000038291;02;09;5
20151000038291;03;16;1
20151000038291;04;16;3
20151000038301;01;16;1
20151000038765;01;16;10
20151000038955;01;09;5
20151000038957;01;01;3
20151000038957;02;09;3
20151000038957;03;01;3
20151000039241;01;16;3
20151000039274;01;16;2
20151000040003;01;16;5
20151000040004;01;13;1
20151000040004;02;16;60
20151000040769;01;13;4
20151000040770;01;13;3
20151000040781;01;09;4
20151000040781;02;13;3
20151000040804;01;05;3
20151000040805;01;07;1
20151000040805;02;12;12
20151000041207;01;16;1
20151000041207;02;16;1
20151000041207;03;16;1
20151000041245;01;09;4
20151000041245;02;16;6
20151000041960;01;01;2
20151000041960;02;01;1
20151000041960;03;09;3
20151000041960;04;13;2
20151000041960;05;01;2
20151000041960;06;13;2
20151000042004;01;13;30
20151100000024;01;13;5
20151100000024;02;04;7
20151100000034;01;09;3
20151100000034;02;13;3
20151100000034;03;10;2
20151100000044;01;11;5
20151100000058;01;12;7
20151100000064;01;13;15
20151100000310;01;09;4
20151100000311;01;09;4
20151100000313;01;09;6
20151100000315;01;09;3
20151100000315;02;13;3
20151100000354;01;10;1
20151100000354;02;01;2
20151100000354;03;13;2
20151100000354;04;09;3
20151100000354;05;01;1
20151100000356;01;09;3
20151100002984;01;01;9
20151100002985;01;14;14
20151100002987;01;10;12
20151100002989;01;14;7
20151100002993;01;14;4
20151100002994;01;14;16
20151100002996;01;10;6
20151100002998;01;14;8
20151100002999;01;14;7
20151100003000;01;10;10
20151100003001;01;14;21
20151100003002;01;01;20
20151100003003;01;10;12
20151100003004;01;14;14
20151100003005;01;01;5
20151100003007;01;14;14
20151100003009;01;10;5
20151100003012;01;14;2
20151100003013;01;14;18
20151100003014;01;14;10
20151100003147;01;09;1
20151100003149;01;09;4
20151100003151;01;09;5
20151100003151;02;13;5
20151100003187;01;09;4
