mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
022016;2;0115EVA0000106;2;2;14;13;4;1;1;6;1624.8873069;340.17397284
022016;2;0115EVA0000142;2;2;14;13;18;3;3;6;1804.9036344;130.64552564
022016;2;0115EVA0000872;2;2;14;13;19;3;3;6;2007.4461257;130.64552564
022016;2;0115EVA0001326;2;2;14;09;13;3;3;6;1647.1576314;111.26478697
022016;2;0115EVA0002148;2;2;14;10;30;3;3;6;2661.8725836;70.341622291
022016;2;0115EVA0002425;2;2;14;01;33;3;1;6;2811.5330071;160.75920857
022016;2;0115EVA0003227;2;2;05;04;25;3;3;6;1168.002198;66.277730808
022016;2;0115EVA0003613;2;2;14;13;10;3;3;6;1422.3783848;130.64552564
022016;2;0115EVA0007319;2;2;14;01;11;3;2;6;2133.3095827;123.43334722
022016;2;0115EVA0007518;2;2;14;12;5;1;2;6;1808.5378944;184.82074835
022016;2;0115EVB0001809;2;3;14;09;4;1;1;1;655.48151898;74.116418855
022016;2;0115EVB0001817;2;3;14;09;2;1;1;1;364.27005347;110.5026297
022016;2;0115EVB0001818;2;3;14;09;1;1;1;1;273.46102958;134.92788303
022016;2;0214EVA0000310;2;2;15;13;8;3;3;6;1156.4471162;318.55455002
022016;2;0214EVA0000314;2;2;15;13;5;1;1;6;1817.2851988;473.57449025
022016;2;0214EVA0000318;2;2;15;06;4;3;3;6;1301.043989;187.46516677
022016;2;0214EVA0000713;2;2;15;13;5;1;2;6;2144.4897155;402.53653923
022016;2;0214EVA0000718;2;2;15;13;2;1;2;6;1456.7871494;591.62090861
022016;2;0214EVA0001224;2;2;15;13;3;1;2;6;2037.6608433;520.3522605
022016;2;0214EVA0001225;2;2;15;13;2;1;2;6;1736.3929772;591.62090861
022016;2;0214EVA0001226;2;2;15;13;4;3;3;6;2586.8484059;318.55455002
022016;2;0214EVA0001642;2;2;14;10;8;3;3;6;1543.7581362;66.178384838
022016;2;0214EVA0002149;2;2;14;01;8;3;1;6;1640.2224959;94.42560814
022016;2;0214EVA0002175;2;2;14;09;7;1;2;6;2207.1227785;86.185901938
022016;2;0214EVA0002206;2;2;14;09;3;1;1;6;1414.0165165;225.39049407
022016;2;0214EVA0002319;2;2;15;13;2;1;2;6;1336.5450579;591.62090861
022016;2;0214EVA0002339;2;2;14;01;19;3;3;6;2520.401025;21.180705322
022016;2;0214EVA0002341;8;2;15;13;2;1;3;6;2172.6253397;386.50833285
022016;2;0214EVA0002562;2;2;14;09;3;1;2;6;1519.2623127;191.58107399
022016;2;0214EVA0002620;2;2;15;13;7;3;3;6;1465.1679339;256.7928044
022016;2;0214EVA0002621;2;2;15;13;4;1;2;6;2287.9991016;457.66887388
022016;2;0214EVA0002719;2;2;14;09;7;2;1;6;1691.5269001;362.46800546
022016;2;0214EVA0003591;2;2;14;13;5;1;1;6;1782.3701562;333.3258612
022016;2;0214EVA0003596;2;2;15;09;6;1;2;6;2550.7011663;147.1412213
022016;2;0214EVA0003988;2;2;15;13;3;3;3;6;1339.3213379;318.55455002
022016;2;0214EVA0006134;2;2;14;09;11;1;1;6;2250.1590329;45.614492803
022016;2;0214EVA0006168;2;2;14;16;9;3;3;6;1630.6906534;66.103959255
022016;2;0214EVA0006462;2;2;14;04;30;2;1;6;5176.6456769;335.95844302
022016;2;0214EVA0006797;2;2;14;09;31;1;3;6;4173.1312811;46.112905266
022016;2;0214EVB0002059;2;3;08;09;3;1;1;1;364.42138166;67.912359486
022016;2;0215EVA0000004;2;2;12;05;7;1;1;1;950.32108078;290.15850893
022016;2;0215EVA0000025;2;2;12;05;14;1;1;1;1719.3315937;165.56762555
