A0_1;C9_0;ccaa_etapa;pernoc_etapa
0115EVA0000106;01;13;4
0115EVA0000142;01;13;18
0115EVA0000872;01;13;19
0115EVA0001326;01;09;10
0115EVA0001326;02;13;3
0115EVA0001394;01;01;7
0115EVA0001395;01;01;12
0115EVA0001396;01;01;21
0115EVA0001397;01;01;42
0115EVA0001398;01;01;21
0115EVA0001399;01;01;13
0115EVA0001400;01;01;21
0115EVA0001401;01;01;2
0115EVA0001401;02;01;5
0115EVA0001402;01;01;20
0115EVA0001403;01;01;7
0115EVA0001424;01;01;20
0115EVA0001426;01;01;21
0115EVA0001427;01;10;7
0115EVA0001429;01;01;8
0115EVA0001430;01;01;14
0115EVA0001431;01;01;21
0115EVA0001432;01;01;7
0115EVA0001433;01;01;21
0115EVA0001457;01;01;10
0115EVA0001825;01;09;10
0115EVA0001825;02;10;4
0115EVA0001825;03;10;1
0115EVA0001826;01;10;6
0115EVA0001984;01;09;4
0115EVA0001984;02;10;10
0115EVA0002039;01;09;21
0115EVA0002049;01;13;2
0115EVA0002049;02;01;2
0115EVA0002049;03;09;2
0115EVA0002105;01;16;21
0115EVA0002148;01;10;30
0115EVA0002251;01;10;2
0115EVA0002251;02;14;5
0115EVA0002251;03;01;5
0115EVA0002252;01;10;21
0115EVA0002253;01;01;20
0115EVA0002425;01;01;30
0115EVA0002425;02;01;3
0115EVA0002443;01;11;2
0115EVA0002443;02;01;4
0115EVA0002443;03;01;4
0115EVA0002443;04;01;4
0115EVA0002443;05;13;4
0115EVA0002842;01;10;3
0115EVA0002843;01;10;5
0115EVA0002844;01;10;12
0115EVA0002849;01;10;30
0115EVA0002851;01;10;3
0115EVA0002864;01;10;5
0115EVA0002869;01;10;3
0115EVA0002871;01;10;4
0115EVA0003020;01;10;45
0115EVA0003086;01;13;5
0115EVA0003153;01;01;3
0115EVA0003154;01;01;3
0115EVA0003155;01;01;14
0115EVA0003156;01;01;4
0115EVA0003185;01;01;30
0115EVA0003186;01;01;10
0115EVA0003187;01;01;6
0115EVA0003188;01;01;5
0115EVA0003212;01;04;10
0115EVA0003214;01;04;5
0115EVA0003215;01;04;3
0115EVA0003227;01;04;25
0115EVA0003228;01;04;7
0115EVA0003237;01;04;4
0115EVA0003406;01;10;3
0115EVA0003408;01;10;8
0115EVA0003613;01;13;10
0115EVA0003673;01;01;7
0115EVA0003704;01;01;38
0115EVA0003845;01;10;3
0115EVA0003848;01;10;3
0115EVA0003853;01;10;7
0115EVA0003868;01;10;2
0115EVA0003869;01;10;10
0115EVA0003873;01;10;5
0115EVA0003979;01;10;15
0115EVA0004003;01;10;5
0115EVA0004004;01;10;3
0115EVA0004089;01;13;12
0115EVA0004354;01;07;21
0115EVA0004442;01;10;6
0115EVA0005060;01;13;5
0115EVA0005061;01;13;4
0115EVA0005063;01;13;6
0115EVA0005092;01;13;10
