mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
112016;2;1114EVA0000012;2;2;10;09;6;1;1;6;1306.1242951;403.15159446
112016;2;1114EVA0000043;2;2;10;13;7;3;3;6;983.44782578;239.12520876
112016;2;1114EVA0000044;2;2;14;09;18;1;1;6;3571.7627099;29.727085599
112016;2;1114EVA0000140;2;2;01;10;2;1;2;6;612.42604198;106.88650093
112016;2;1114EVA0000157;2;2;15;05;5;1;2;6;3235.2994345;118.47125681
112016;2;1114EVA0000160;2;2;15;01;7;1;2;6;2435.5187965;78.674634956
112016;2;1114EVA0000161;2;2;15;13;58;2;3;6;8045.0682572;371.22961157
112016;2;1114EVA0000163;2;2;01;13;5;3;3;6;591.08152242;128.49207257
112016;2;1114EVA0000164;2;2;01;07;8;3;3;6;569.24751283;64.394417654
112016;2;1114EVA0000165;2;2;01;01;4;3;3;6;449.59520863;84.6861589
112016;2;1114EVA0000323;2;2;15;10;15;3;3;6;8127.4214723;95.719542678
112016;2;1114EVA0000324;2;2;15;01;4;1;2;6;2150.6497001;130.06436597
112016;2;1114EVA0000326;2;2;14;13;3;1;2;6;1749.4305936;129.20315226
112016;2;1114EVA0000327;2;2;01;01;5;3;3;6;514.34904745;84.6861589
112016;2;1114EVA0000328;2;2;01;13;3;3;3;6;442.58500918;128.49207257
112016;2;1114EVA0000329;2;2;01;13;6;3;3;6;501.32226635;128.49207257
112016;2;1114EVA0000330;2;2;01;13;1;1;2;6;531.66048192;172.90326296
112016;2;1114EVA0000331;2;2;01;13;4;3;2;6;544.46066773;144.71056088
112016;2;1114EVA0000342;2;2;15;13;5;1;2;6;4944.3035143;88.665330635
112016;2;1114EVA0000343;2;2;15;04;8;3;3;6;2193.9998743;155.55993072
112016;2;1114EVA0000344;2;2;01;13;3;3;3;6;467.54913738;128.49207257
112016;2;1114EVA0000345;2;2;01;01;7;1;1;6;980.39329833;155.74020986
112016;2;1114EVA0000346;2;2;01;07;4;1;1;6;793.68868752;163.31571844
112016;2;1114EVA0000453;2;2;15;09;3;1;1;6;2373.2063407;145.12193035
112016;2;1114EVA0000454;2;2;15;09;3;1;1;6;2029.7187571;145.12193035
112016;2;1114EVA0000534;2;2;10;09;3;1;1;6;1054.7970805;463.8890941
112016;2;1114EVA0000535;2;2;10;09;14;1;1;6;2180.1973663;277.29772069
112016;2;1114EVA0000536;2;2;10;09;6;1;1;6;1073.5286303;403.15159446
112016;2;1114EVA0000537;2;2;10;09;3;1;1;6;1054.7970805;463.8890941
112016;2;1114EVA0000576;2;2;14;01;8;3;3;6;1514.9205744;82.358392594
112016;2;1114EVA0000583;2;2;14;05;10;3;1;6;1794.3392371;144.05541955
112016;2;1114EVA0000703;2;2;15;13;1;1;1;6;372.93122488;374.09756313
112016;2;1114EVA0000710;2;2;01;13;1;1;1;6;504.4131723;240.4115659
112016;2;1114EVA0000716;2;2;15;13;4;1;2;6;1978.1623835;127.12807664
112016;2;1114EVA0000717;2;2;15;13;20;3;3;6;2657.1472664;243.69263077
112016;2;1114EVA0000718;2;2;15;01;22;3;3;6;4179.4601016;160.61218751
112016;2;1114EVA0000721;2;2;01;13;1;1;2;6;527.73292038;172.90326296
112016;2;1114EVA0000722;2;2;01;08;5;3;3;6;490.0676041;64.394417654
112016;2;1114EVA0000723;2;2;01;13;1;1;2;6;572.51838681;172.90326296
112016;2;1114EVA0000724;2;2;01;13;4;1;1;6;888.38566668;147.67332778
112016;2;1114EVA0000732;2;2;15;13;2;1;2;6;739.32589169;203.85106882
112016;2;1114EVA0000747;2;2;01;13;2;1;2;6;761.63031198;146.97791785
112016;2;1114EVA0000775;2;2;01;13;3;1;2;6;938.43837384;124.93985345
112016;2;1114EVA0000776;2;2;01;15;4;1;2;6;928.61637069;117.45616525
112016;2;1114EVA0000794;2;2;15;16;3;1;2;6;1021.7427092;104.40979997
112016;2;1114EVA0000800;2;2;15;13;4;1;2;6;2139.7675184;127.12807664
112016;2;1114EVA0000801;2;2;15;15;3;1;2;6;2038.5287115;113.42510344
112016;2;1114EVA0001001;2;2;10;09;7;1;1;6;1143.7228533;384.72740353
112016;2;1114EVA0001002;2;2;10;09;6;1;1;1;1258.4861587;382.69874694
112016;2;1114EVA0001036;2;2;01;10;7;3;3;6;508.86642972;54.828008719
112016;2;1114EVA0001038;2;2;01;13;2;3;2;6;412.45984397;144.71056088
112016;2;1114EVA0001053;2;2;15;13;9;1;3;6;3805.9806394;24.440696254
112016;2;1114EVA0001056;2;2;01;13;2;1;2;6;720.97158517;146.97791785
112016;2;1114EVA0001060;2;2;15;01;13;2;3;6;1609.9090387;225.22199001
112016;2;1114EVA0001061;2;2;15;13;5;1;2;6;2861.5433554;117.59056952
112016;2;1114EVA0001062;2;2;01;07;68;2;3;6;2680.9662633;98.095353059
112016;2;1114EVA0001063;2;2;01;05;10;3;3;6;884.3806711;94.592807263
112016;2;1114EVA0001214;2;2;10;09;5;1;3;6;1387.7876669;269.77865274
112016;2;1114EVA0001223;2;2;10;09;5;2;1;6;939.3405531;578.50364134
112016;2;1114EVA0001224;2;2;10;09;8;1;1;1;1211.3845152;527.89393355
112016;2;1114EVA0001225;2;2;10;05;11;1;1;6;1364.2789142;945.89656736
112016;2;1114EVA0001230;2;2;15;09;2;1;1;6;2366.7684862;194.41829917
112016;2;1114EVA0001272;2;2;15;09;6;1;1;6;2985.9727336;58.593897827
112016;2;1114EVA0001368;2;2;10;09;7;2;1;6;1061.9916915;578.50364134
112016;2;1114EVA0001386;2;2;15;09;3;1;1;6;2129.6295529;378.14245801
112016;2;1114EVA0001402;2;2;15;12;4;1;1;1;1328.1954527;83.607998524
112016;2;1114EVA0001432;2;2;01;03;12;3;3;6;764.00804415;64.394417654
112016;2;1114EVA0001446;2;2;15;07;9;2;3;6;1773.9417239;186.04349806
112016;2;1114EVA0001451;2;2;15;13;4;1;2;6;3599.4824767;127.12807664
112016;2;1114EVA0001453;2;2;01;13;8;3;3;6;619.83286807;128.49207257
112016;2;1114EVA0001454;2;2;01;08;7;2;1;6;836.65185912;153.61177062
112016;2;1114EVA0001620;2;2;10;13;4;1;1;6;1492.3481694;463.37429789
112016;2;1114EVA0001621;2;2;10;10;7;3;3;6;1109.4882817;95.739185796
112016;2;1114EVA0001653;2;2;10;13;3;1;2;6;1567.5728;344.04136226
112016;2;1114EVA0002104;2;2;14;09;4;1;1;6;1677.1250321;128.02062558
112016;2;1114EVA0002105;2;2;15;09;3;1;1;1;1060.523643;358.95838398
112016;2;1114EVA0002111;2;2;15;09;9;1;1;1;2258.4610298;64.934076392
112016;2;1114EVA0002121;2;2;14;09;6;1;1;6;1849.5559273;93.539158656
112016;2;1114EVA0002125;2;2;14;09;5;1;1;6;1845.6820681;109.43007634
112016;2;1114EVA0002143;2;2;15;09;10;1;1;6;2849.2216158;48.823262011
112016;2;1114EVA0002146;2;2;15;09;30;2;1;6;5627.9214162;985.40298917
112016;2;1114EVA0002399;2;2;03;05;7;1;1;1;980.59753537;224.16516534
112016;2;1114EVA0002448;2;2;15;09;21;3;3;6;2972.6057818;413.08326429
112016;2;1114EVA0002455;2;2;14;09;14;3;2;6;1821.0552798;122.70060036
112016;2;1114EVA0002481;2;2;15;09;7;1;2;6;3528.2220219;84.42807809
112016;2;1114EVA0002499;2;2;15;09;7;1;1;1;1787.0273937;114.81443126
112016;2;1114EVA0002516;2;2;14;09;8;1;1;6;2070.0784111;68.345035518
112016;2;1114EVA0002603;2;2;15;13;2;1;2;6;569.5408629;203.85106882
112016;2;1114EVA0002616;2;2;15;13;3;1;2;6;1767.2530407;167.7881149
112016;2;1114EVA0002620;2;2;15;13;4;3;3;6;1365.6996304;243.69263077
112016;2;1114EVA0002624;2;2;01;16;9;3;3;6;591.64498573;64.394417654
112016;2;1114EVA0002625;2;2;01;13;1;1;2;6;572.51838681;172.90326296
112016;2;1114EVA0002965;2;2;15;09;7;1;1;1;1787.0273937;147.38578658
112016;2;1114EVA0003011;2;2;14;16;6;1;2;6;2282.3953725;76.952121498
112016;2;1114EVA0003095;2;2;15;01;6;1;2;6;2557.2748101;85.633037032
112016;2;1114EVA0003096;2;2;15;09;4;1;2;6;2117.6207485;111.69451986
112016;2;1114EVA0003097;2;2;15;16;8;3;3;6;1485.1777835;122.12772922
112016;2;1114EVA0003098;2;2;01;13;1;1;2;6;572.51838681;172.90326296
112016;2;1114EVA0003099;2;2;01;13;3;1;2;6;754.87656896;124.93985345
112016;2;1114EVA0003100;2;2;01;13;4;3;3;6;529.98048952;128.49207257
112016;2;1114EVA0003101;2;2;01;13;3;1;2;6;815.86465918;124.93985345
112016;2;1114EVA0003120;2;2;14;13;8;3;3;6;1367.7440598;124.96021422
112016;2;1114EVA0003128;2;2;15;13;1;3;3;6;1130.2619847;243.69263077
112016;2;1114EVA0003129;2;2;15;02;3;1;2;6;698.30935187;104.40979997
112016;2;1114EVA0003130;2;2;15;13;2;1;2;6;686.56792447;203.85106882
112016;2;1114EVA0003528;2;2;03;05;7;1;1;6;1095.7296779;236.14538734
112016;2;1114EVA0003530;2;2;03;05;7;1;1;6;1108.6290127;236.14538734
112016;2;1114EVA0003531;2;2;03;05;7;3;1;6;835.36379189;204.30311994
112016;2;1114EVA0003532;2;2;03;05;10;1;1;6;1395.2059404;217.15633256
112016;2;1114EVA0003533;2;2;03;05;7;1;1;6;1108.6290127;236.14538734
112016;2;1114EVA0003580;2;2;03;05;3;1;1;6;734.37339216;264.07183989
112016;2;1114EVA0003605;8;2;03;05;10;3;1;6;1244.2374021;204.30311994
112016;2;1114EVA0003617;2;2;15;09;9;1;1;6;3486.8755809;24.735715959
112016;2;1114EVA0003794;2;2;14;09;10;1;3;6;2268.8473901;31.88925896
112016;2;1114EVA0003886;2;2;01;15;2;1;2;6;694.47268553;109.42107964
112016;2;1114EVA0004293;2;2;14;09;20;1;1;6;4617.7440311;83.50204849
112016;2;1114EVA0004294;2;2;15;10;6;1;2;6;6393.0233428;106.58469394
112016;2;1114EVA0004325;2;2;15;09;6;1;1;1;1478.981154;235.85822346
112016;2;1114EVA0004360;2;2;14;09;7;1;1;1;1599.4645956;75.899493003
112016;2;1114EVA0004429;2;2;14;01;10;3;3;6;1654.9713521;82.358392594
112016;2;1114EVA0004818;2;2;03;05;7;1;1;6;1108.6290127;236.14538734
112016;2;1114EVA0004882;2;2;03;05;13;3;1;6;1891.1595234;204.30311994
112016;2;1114EVA0004911;2;2;15;09;5;3;2;6;2199.7610845;142.62182537
112016;2;1114EVA0004917;2;2;15;13;1;1;1;6;1689.4001757;406.39915797
112016;2;1114EVA0004931;2;2;01;13;2;1;2;6;660.38678177;146.97791785
112016;2;1114EVA0004932;2;2;01;13;2;1;2;6;761.63031198;146.97791785
112016;2;1114EVA0004934;2;2;01;13;1;1;2;6;572.51838681;172.90326296
112016;2;1114EVA0004935;2;2;01;13;4;3;3;6;529.98048952;128.49207257
112016;2;1114EVA0004936;2;2;01;13;2;1;2;6;659.84303215;146.97791785
112016;2;1114EVA0004937;2;2;01;13;7;3;3;6;511.48568196;128.49207257
112016;2;1114EVA0004938;2;2;15;13;4;3;3;6;2595.9336895;243.69263077
112016;2;1114EVA0004939;2;2;15;13;2;1;2;6;1632.9768793;221.45266606
112016;2;1114EVA0004940;2;2;15;13;2;1;2;6;1411.4154084;221.45266606
112016;2;1114EVA0004942;2;2;15;05;17;3;3;6;3091.5720002;179.40071783
112016;2;1114EVA0004951;2;2;15;01;3;1;2;6;743.86944823;141.56794848
112016;2;1114EVA0004952;2;2;15;13;1;1;2;6;389.22486617;269.04982332
112016;2;1114EVA0004953;2;2;01;13;1;1;2;6;552.1890234;172.90326296
112016;2;1114EVA0004954;2;2;01;07;6;3;3;6;379.06977019;64.394417654
112016;2;1114EVA0004955;2;2;15;12;31;2;1;6;6743.6491188;268.17768469
112016;2;1114EVA0004977;2;2;06;04;5;3;1;6;712.47167046;62.686594541
112016;2;1114EVA0005066;2;2;14;09;6;1;2;6;2247.4772708;67.27307684
