mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
042016;2;0414EVA0000145;2;2;15;13;2;1;2;6;1130.1075387;2065.6985913
042016;2;0414EVA0000151;2;2;15;03;5;3;3;6;1452.4367027;851.32363462
042016;2;0414EVA0000200;2;2;15;13;6;1;2;6;1564.3856772;1702.0952839
042016;2;0414EVA0000396;2;2;15;13;4;3;3;6;1063.9851115;1413.6068184
042016;2;0414EVA0000402;2;2;15;13;7;1;2;6;2467.2258945;784.60582592
042016;2;0414EVA0000407;2;2;15;13;4;1;2;6;2315.9573308;1402.4932619
042016;2;0414EVA0000408;2;2;15;13;10;3;2;6;2131.3249225;1505.6320696
042016;2;0414EVA0000416;2;2;15;09;11;1;1;1;2318.4655821;446.24185742
042016;2;0414EVA0001984;2;2;15;09;10;1;1;6;3455.6950946;106.86418123
042016;2;0414EVA0002359;2;2;15;13;5;1;2;6;2165.3402914;1155.6270488
042016;2;0414EVA0002360;2;2;15;09;14;1;1;6;2739.5042287;253.18279082
042016;2;0414EVA0003871;2;2;15;13;2;1;2;6;1721.2600471;2065.6985913
042016;2;0414EVA0004380;2;2;15;13;5;1;2;6;2584.2632641;1155.6270488
042016;2;0414EVA0004385;2;2;15;05;5;1;2;6;3831.4593572;1161.7510042
042016;2;0414EVA0004386;2;2;15;01;9;3;3;6;2116.2631608;866.71572904
042016;2;0414EVA0006152;2;2;15;13;5;1;2;6;2929.067115;1155.6270488
042016;2;0414EVA0006214;2;2;15;13;9;3;3;6;1542.7551315;1413.6068184
042016;2;0414EVA0006215;2;2;15;05;10;3;3;6;2823.7432258;942.12162834
042016;2;0414EVA0006611;2;2;15;13;19;3;1;6;3400.7178722;111.22799632
042016;2;0414EVA0006639;2;2;15;09;6;1;1;6;2870.1597746;181.21393349
042016;2;0414EVA0006900;2;2;15;09;13;1;1;6;4603.5016444;77.002479838
042016;2;0414EVA0007537;2;2;15;09;10;1;1;1;2347.5512068;136.12367825
042016;2;0414EVA0008151;2;2;09;10;10;3;1;6;709.06715671;802.65589809
042016;2;0414EVA0008152;2;2;09;10;10;3;1;6;709.06715671;802.65589809
042016;2;0414EVA0008181;2;2;09;10;7;3;1;6;852.59729935;802.65589809
042016;2;0414EVA0009736;2;2;15;13;7;1;2;6;3071.5239887;173.38140897
042016;2;0414EVA0009748;2;2;15;13;6;1;1;6;1482.4128499;1291.2433208
042016;2;0414EVA0009749;2;2;15;13;4;3;3;6;820.38606118;1413.6068184
042016;2;0414EVA0010159;2;2;15;13;4;1;1;6;1631.9577995;1901.8412289
042016;2;0414EVB0010028;2;3;03;13;3;2;1;6;712.30139791;106.2489582
042016;2;0414EVC0002908;2;1;03;15;1;2;3;6;121.68488846;2237.8673419
042016;2;0414EVC0003262;2;1;03;01;7;3;3;6;532.4974417;2405.1662944
042016;2;0415EVA0000264;2;2;05;04;3;1;3;1;545.7274289;124.68681475
042016;2;0415EVA0000268;2;2;05;04;9;1;2;6;1159.5484002;21.013085011
042016;2;0415EVA0000269;2;2;05;04;30;3;2;6;1465.4556043;152.90210421
042016;2;0415EVA0000270;2;2;05;04;2;3;2;6;306.6064804;152.90210421
042016;2;0415EVA0000293;2;2;05;04;7;3;3;6;364.12518817;143.55662411
042016;2;0415EVA0000297;2;2;05;04;30;2;2;6;2092.3408281;250.69559243
042016;2;0415EVA0000298;2;2;05;04;6;3;3;6;452.74558858;143.55662411
042016;2;0415EVA0000299;2;2;05;04;7;1;1;6;812.24956785;51.783802665
042016;2;0415EVA0000791;2;2;05;04;2;1;1;6;369.62912892;230.55288252
042016;2;0415EVA0000792;2;2;05;04;4;2;1;6;714.322883;339.95401371
042016;2;0415EVA0000809;2;2;05;04;6;1;1;1;920.74829039;73.508618359
042016;2;0415EVA0000810;2;2;05;04;9;3;3;6;578.36575052;143.55662411
042016;2;0415EVA0000930;2;2;10;01;9;3;3;6;1404.3183977;265.38925278
042016;2;0415EVA0000931;2;2;10;13;63;2;3;6;4692.3889643;584.77047398
042016;2;0415EVA0000932;2;2;14;13;7;1;1;6;1813.4580427;213.3710986
042016;2;0415EVA0000958;2;2;10;13;14;1;1;6;2307.0568721;169.74123309
042016;2;0415EVA0000959;2;2;10;13;6;1;1;6;1310.9684046;478.48569729
042016;2;0415EVA0000961;2;2;10;13;7;2;1;6;1610.1218756;844.5962252
042016;2;0415EVA0000962;2;2;10;09;9;1;1;6;1627.1073606;183.66745302
042016;2;0415EVA0000986;2;2;15;09;9;1;2;6;3899.6590807;80.250919121
042016;2;0415EVA0002071;2;2;09;10;7;3;1;6;691.58720193;802.65589809
042016;2;0415EVA0002546;2;2;05;04;7;3;3;6;461.37173404;143.55662411
042016;2;0415EVA0002547;2;2;05;04;5;3;1;6;439.54785708;207.34183448
042016;2;0415EVA0002568;2;2;05;04;7;1;1;6;833.08795476;51.783802665
042016;2;0415EVA0002569;2;2;05;04;7;3;1;6;557.25263085;207.34183448
042016;2;0415EVA0003146;2;2;10;13;6;1;1;6;1513.5915785;575.5706592
042016;2;0415EVA0003147;2;2;10;04;15;3;3;6;916.70780753;271.90165235
042016;2;0415EVA0003177;2;2;15;09;8;1;1;1;1909.5008237;185.58745888
042016;2;0415EVA0003923;2;2;05;14;4;3;1;6;373.15873607;299.00016556
042016;2;0415EVA0003935;2;2;05;10;5;3;3;6;446.64321217;162.03049314
042016;2;0415EVA0003936;2;2;05;14;5;3;1;6;402.21952221;299.00016556
042016;2;0415EVA0003964;2;2;05;10;2;3;3;6;228.29199103;162.03049314
042016;2;0415EVA0004041;2;2;15;13;5;1;1;6;3319.3684256;399.40370763
042016;2;0415EVA0004170;2;2;14;09;12;3;3;6;1714.8845297;75.577467102
042016;2;0415EVA0004779;2;2;15;09;10;1;1;1;2463.9785067;89.150765195
042016;2;0415EVA0004924;2;2;14;13;7;2;3;6;1704.9827636;319.7363183
042016;2;0415EVA0005127;2;2;05;04;4;1;1;6;693.46047595;126.86444079
042016;2;0415EVA0005128;2;2;05;04;4;1;1;1;560.96543306;133.5884488
042016;2;0415EVA0005129;2;2;05;09;2;1;2;6;509.69462332;153.37977641
042016;2;0415EVA0005152;2;2;05;04;10;1;2;6;1223.0728481;15.587429206
042016;2;0415EVA0005153;2;2;05;04;2;2;1;6;423.66251543;339.95401371
042016;2;0415EVA0005154;2;2;05;04;35;3;2;6;2306.6250098;152.90210421
042016;2;0415EVA0005155;2;2;05;04;21;3;3;6;1095.7909823;143.55662411
042016;2;0415EVA0005357;2;2;15;13;7;1;2;6;2627.9505822;234.1860348
042016;2;0415EVA0006024;2;2;14;09;8;1;1;6;2013.5211878;85.019154652
