mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
012016;2;0114EVA0000376;2;2;01;13;7;3;3;6;560.47068015;253.89886086
012016;2;0114EVA0000377;2;2;01;13;4;3;3;6;408.61398015;253.89886086
012016;2;0114EVA0000400;2;2;01;01;13;3;3;6;783.3906415;133.77221971
012016;2;0114EVA0000401;2;2;13;13;5;3;3;6;1189.9831393;255.83010778
012016;2;0114EVA0000756;2;2;01;13;8;3;3;6;562.46531528;253.89886086
012016;2;0114EVA0000757;2;2;01;01;9;3;3;6;668.56111925;133.77221971
012016;2;0114EVA0000758;2;2;01;13;4;3;3;6;526.3614436;253.89886086
012016;2;0114EVA0000759;2;2;01;01;7;3;3;6;646.93181949;137.03563101
012016;2;0114EVA0001163;2;2;06;04;16;3;3;6;738.08664141;11.695706176
012016;2;0114EVA0001771;2;2;01;04;17;2;3;6;1052.7196191;267.59427791
012016;2;0114EVA0001772;2;2;01;13;2;1;2;6;676.2745524;479.13713132
012016;2;0114EVA0001777;2;2;13;12;22;3;3;6;1959.3388668;124.7435603
012016;2;0114EVA0001778;2;2;13;13;14;3;3;6;1791.4030723;255.83010778
012016;2;0114EVA0002185;2;2;13;10;19;3;3;6;2316.3911146;114.90548344
012016;2;0114EVA0002191;2;2;13;13;2;1;1;6;1321.2317186;635.75982649
012016;2;0114EVA0002806;2;2;13;13;16;3;3;6;1927.8875314;255.83010778
012016;2;0114EVA0002807;2;2;13;13;13;3;3;6;1625.8376268;255.83010778
012016;2;0114EVA0002808;2;2;13;13;13;2;2;6;2532.6248868;515.44097684
012016;2;0114EVA0003087;2;2;01;12;3;3;3;6;340.01133361;123.80187827
012016;2;0114EVA0003088;2;2;01;13;3;1;2;6;931.92726263;457.84008916
012016;2;0114EVA0003089;2;2;01;10;15;3;3;6;792.99905852;114.03806848
012016;2;0114EVA0003093;2;2;01;06;4;3;3;6;339.68578406;123.80187827
012016;2;0114EVA0003100;2;2;01;13;7;3;3;6;525.6662117;253.89886086
012016;2;0114EVA0003129;2;2;13;13;30;3;3;6;2858.0950949;255.83010778
012016;2;0114EVA0003130;2;2;13;09;4;1;1;6;1615.9652279;290.54126242
012016;2;0114EVA0003131;2;2;13;13;8;3;3;6;1349.6217709;255.83010778
012016;2;0114EVA0003132;2;2;13;13;2;1;1;6;1354.2620379;635.75982649
012016;2;0114EVA0003133;2;2;13;13;25;3;3;6;2529.8383841;255.83010778
012016;2;0114EVA0003493;2;2;01;07;1;1;2;6;559.45675583;258.39635979
012016;2;0114EVA0003494;2;2;01;12;15;2;1;6;1107.8040424;345.8115254
012016;2;0114EVA0003495;2;2;01;13;4;1;1;6;876.81369323;594.72559483
012016;2;0114EVA0003496;2;2;01;13;2;1;2;6;646.88506254;479.13713132
012016;2;0114EVA0003497;2;2;01;13;6;3;3;6;463.88823162;253.89886086
012016;2;0114EVA0003503;2;2;13;13;4;1;1;1;1401.722423;637.62304156
012016;2;0114EVA0003504;2;2;13;13;25;3;3;6;2392.556419;255.83010778
012016;2;0114EVA0003835;2;2;13;13;7;1;1;6;1813.7978045;467.78560096
012016;2;0114EVA0003836;2;2;13;13;16;3;3;6;1720.8628338;255.83010778
012016;2;0114EVA0003864;2;2;06;04;4;1;1;6;926.02903816;19.553461356
012016;2;0114EVA0003865;2;2;06;04;3;1;1;6;710.39879777;22.263032893
012016;2;0114EVA0003866;2;2;06;04;3;3;3;6;575.76234923;11.695706176
012016;2;0114EVA0003867;2;2;06;04;5;3;3;6;774.18067032;11.695706176
012016;2;0114EVA0003899;2;2;06;04;7;2;1;6;685.02907684;32.033364801
012016;2;0114EVA0003900;2;2;06;04;7;1;2;6;1098.8746605;9.7452454706
012016;2;0114EVA0003901;2;2;06;04;140;2;3;6;7990.1950048;16.257110889
012016;2;0114EVA0004081;2;2;14;09;3;3;3;6;1038.2836827;108.51035992
012016;2;0114EVA0004226;2;2;13;17;6;1;2;6;2076.2752488;483.85756881
012016;2;0114EVA0004227;2;2;13;01;11;3;3;6;1657.6742658;134.78973979
012016;2;0114EVA0004656;2;2;13;09;14;3;3;6;2679.7805226;190.58288308
012016;2;0114EVA0004663;2;2;13;05;14;3;3;6;2342.3171053;152.84505249
012016;2;0114EVA0004664;2;2;13;13;14;3;3;6;1838.4647742;255.83010778
012016;2;0114EVA0004665;2;2;13;01;20;3;1;6;2306.6557801;207.78731962
012016;2;0114EVA0004668;8;2;13;01;2;1;2;6;1301.1916702;320.51099193
012016;2;0114EVA0004702;2;2;01;13;6;3;3;6;488.27726192;253.89886086
012016;2;0114EVA0004703;2;2;01;08;8;1;1;6;919.85960574;376.28043073
012016;2;0114EVA0004704;2;2;01;13;3;1;2;6;752.48470149;457.84008916
012016;2;0114EVA0004705;2;2;01;13;5;3;3;6;564.05470635;253.89886086
012016;2;0114EVA0004706;2;2;01;07;12;3;3;6;587.88609934;123.80187827
012016;2;0114EVA0004764;2;2;06;04;5;1;1;6;874.31626554;17.173664201
012016;2;0114EVA0004995;2;2;13;07;134;2;3;6;9658.3898774;173.39439467
012016;2;0114EVA0004996;2;2;13;16;6;1;2;6;2106.8828993;483.85756881
012016;2;0114EVA0004997;2;2;13;13;30;3;3;6;2693.3567367;255.83010778
012016;2;0114EVA0004998;2;2;13;13;8;2;3;6;1718.9071116;355.60558453
012016;2;0114EVA0005169;2;2;01;13;3;1;2;6;931.92726263;457.84008916
012016;2;0114EVA0005170;2;2;01;15;5;1;2;6;1058.4175723;268.75628569
012016;2;0114EVA0005171;2;2;13;13;8;1;2;6;2482.6855187;323.63000534
012016;2;0114EVA0005174;2;2;01;12;6;3;2;6;467.1828058;179.44757857
012016;2;0114EVA0005194;2;2;01;13;3;3;3;6;423.0911933;253.89886086
012016;2;0114EVA0005195;2;2;01;05;22;3;3;6;1398.9342717;137.75844501
012016;2;0114EVA0005197;2;2;13;10;32;3;3;6;2930.4274556;114.90548344
012016;2;0114EVA0005201;2;2;13;13;10;3;3;6;1459.0484535;255.83010778
012016;2;0114EVA0005204;8;2;13;13;1;1;3;6;2938.9890512;343.0703111
012016;2;0114EVA0005205;2;2;13;09;60;3;3;6;3824.3127851;190.58288308
012016;2;0114EVA0005209;2;2;13;12;10;3;3;6;1407.7635118;124.7435603
012016;2;0114EVA0005210;2;2;13;13;2;1;1;6;1354.2620379;635.75982649
012016;2;0114EVA0005211;2;2;13;13;9;1;2;6;2667.1285429;304.36838086
012016;2;0114EVA0005212;2;2;13;13;6;1;2;6;2106.5224718;365.88724764
012016;2;0114EVA0005922;2;2;01;07;5;3;3;6;468.92353143;123.80187827
012016;2;0114EVA0005923;2;2;01;09;4;1;2;6;847.19485103;195.363994
012016;2;0114EVA0005924;2;2;01;01;4;1;1;6;785.18459163;394.40371303
012016;2;0114EVA0005925;2;2;01;07;9;3;3;6;564.88963165;123.80187827
012016;2;0114EVA0006172;2;2;13;13;6;3;3;6;1255.0132623;255.83010778
012016;2;0114EVA0006173;2;2;13;13;5;1;2;6;2134.7999053;389.0420272
012016;2;0114EVA0006206;2;2;01;08;6;3;3;6;467.92619382;123.80187827
012016;2;0114EVA0006208;2;2;01;13;5;3;3;6;523.2678256;253.89886086
012016;2;0114EVA0006209;2;2;13;13;8;1;1;6;1939.182049;652.66126107
012016;2;0114EVA0006210;2;2;01;13;2;1;2;6;676.2745524;479.13713132
012016;2;0114EVA0006223;2;2;13;13;2;1;1;6;1196.2467269;635.75982649
012016;2;0114EVA0006235;2;2;06;04;10;3;1;6;884.25092485;23.045473767
012016;2;0114EVA0006236;2;2;06;04;3;1;1;6;710.39879777;22.263032893
012016;2;0114EVA0006237;2;2;06;04;6;3;2;6;615.00128511;16.952619639
012016;2;0114EVA0006238;2;2;06;04;3;3;3;6;393.02121198;11.695706176
012016;2;0114EVA0006245;2;2;06;04;2;1;2;6;609.52213781;18.646451066
012016;2;0114EVA0006272;2;2;06;04;11;3;1;6;820.63696504;23.045473767
012016;2;0114EVA0006273;2;2;06;04;7;3;1;6;650.35756274;23.045473767
012016;2;0114EVA0006279;2;2;06;04;9;2;2;6;1179.1057199;23.564256249
012016;2;0114EVA0006791;2;2;01;13;2;1;2;6;755.63431281;479.13713132
012016;2;0114EVA0006792;2;2;01;12;4;1;2;6;1144.1932112;266.12800023
012016;2;0114EVA0006793;2;2;01;15;4;1;2;6;930.47362672;266.12800023
012016;2;0114EVA0006808;2;2;01;13;7;3;3;6;525.6662117;253.89886086
012016;2;0114EVA0006991;2;2;13;01;3;1;2;6;1543.1282572;343.7877725
012016;2;0114EVA0006993;2;2;13;13;5;1;2;6;2168.9415317;389.0420272
012016;2;0114EVA0006994;2;2;13;01;4;1;2;6;1711.8876053;368.75500527
012016;2;0114EVA0007010;2;2;13;13;2;1;1;6;1354.2620379;635.75982649
012016;2;0114EVA0007412;2;2;13;13;10;1;1;6;2201.816966;856.40575212
012016;2;0114EVA0007413;2;2;13;13;4;1;2;6;1954.0911522;413.66213199
012016;2;0114EVA0007601;2;2;01;10;3;1;2;6;716.61049492;267.55188506
012016;2;0114EVA0007602;2;2;01;13;1;1;2;6;508.25797983;501.42483378
012016;2;0114EVA0007603;2;2;01;13;5;3;3;6;523.2678256;253.89886086
012016;2;0114EVA0007653;2;2;13;13;7;3;2;6;1655.0599495;308.47095883
012016;2;0114EVA0007654;2;2;13;16;129;2;3;6;11713.724211;173.39439467
012016;2;0114EVA0007804;2;2;01;13;5;1;2;6;1265.7771864;418.0438086
012016;2;0114EVA0007805;2;2;01;13;11;3;2;6;703.03138317;368.01974591
012016;2;0114EVA0007816;2;2;13;15;5;1;2;6;1885.6607386;435.66180645
012016;2;0115EVA0000106;2;2;14;13;4;1;1;6;1607.8326567;453.13136425
012016;2;0115EVA0000142;2;2;14;13;18;3;3;6;1779.7025095;258.14203995
012016;2;0115EVA0000284;2;2;03;05;10;1;1;1;1082.6020593;522.56966135
012016;2;0115EVA0000285;2;2;03;05;14;3;1;6;1419.2949343;482.62988099
012016;2;0115EVA0000286;2;2;03;05;7;1;1;1;940.67940121;589.35943378
012016;2;0115EVA0000307;2;2;03;05;7;1;1;1;1053.1142914;589.35943378
012016;2;0115EVA0000311;2;2;03;05;7;1;1;1;733.59595278;589.35943378
012016;2;0115EVA0000319;2;2;03;05;90;1;1;6;8426.3544798;198.57402934
012016;2;0115EVA0000334;2;2;03;05;7;1;1;1;657.2730753;589.35943378
012016;2;0115EVA0000355;2;2;03;05;7;1;1;1;957.44654961;589.35943378
