mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
052016;2;0415EVA0003177;2;2;15;09;8;1;1;1;1896.2794332;309.3495457
052016;2;0415EVA0003737;2;2;11;10;13;3;1;6;673.96891267;127.96272426
052016;2;0415EVA0004041;2;2;15;13;5;1;1;6;3327.8302339;831.36177721
052016;2;0415EVA0005174;2;2;11;10;7;2;1;6;928.21297492;185.92348133
052016;2;0415EVA0006266;2;2;11;10;7;1;3;6;1034.1435748;90.3763457
052016;2;0415EVA0006294;2;2;11;10;3;3;3;6;522.08809945;73.08058262
052016;2;0415EVA0006923;2;2;15;13;3;1;2;6;3091.1082339;1143.0824523
052016;2;0514EVA0000065;2;2;14;09;10;1;1;6;2222.7464376;174.65952318
052016;2;0514EVA0000078;2;2;14;10;10;3;1;6;1770.9065287;197.88733721
052016;2;0514EVA0000124;2;2;15;09;2;1;1;1;728.50756088;734.39137258
052016;2;0514EVA0000263;2;2;15;09;2;1;1;6;2262.3203228;574.28430159
052016;2;0514EVA0000264;2;2;15;13;7;1;1;1;2617.3738512;390.11674205
052016;2;0514EVA0000265;2;2;15;09;16;2;3;6;5626.8855468;254.26518469
052016;2;0514EVA0000378;2;2;10;05;8;3;3;6;1248.5499543;253.13735692
052016;2;0514EVA0000379;2;2;10;13;7;3;3;6;988.83407465;454.67876314
052016;2;0514EVA0000380;2;2;10;08;16;3;3;6;1477.7536839;245.81461204
052016;2;0514EVA0000400;2;2;10;13;7;3;3;6;980.8125928;454.67876314
052016;2;0514EVA0000401;2;2;10;13;6;1;1;1;2171.4260279;940.99530163
052016;2;0514EVA0000402;2;2;10;07;13;1;3;6;1725.3568396;294.04725316
052016;2;0514EVA0000403;2;2;10;13;14;1;1;1;4071.9465752;1282.2218596
052016;2;0514EVA0000405;2;2;15;05;7;1;1;1;2012.4324572;499.88568002
052016;2;0514EVA0000675;2;2;15;10;8;3;1;6;5579.7464877;522.02926782
052016;2;0514EVA0000704;2;2;15;13;4;1;1;6;3122.3535131;563.23923139
052016;2;0514EVA0000707;2;2;15;09;5;1;1;1;1634.434991;358.70850133
052016;2;0514EVA0000709;2;2;15;09;4;1;1;6;2697.6389988;331.64596939
052016;2;0514EVA0000720;2;2;15;09;4;1;1;6;2731.0278668;355.74149359
052016;2;0514EVA0000726;2;2;15;09;3;1;1;1;1057.6594444;558.08642098
052016;2;0514EVA0000753;2;2;15;13;4;1;1;1;1456.4461232;720.26700205
052016;2;0514EVA0000940;2;2;10;13;4;1;1;1;1467.4318198;1163.1119401
052016;2;0514EVA0000941;2;2;10;01;7;1;2;6;2101.0540691;432.63844047
052016;2;0514EVA0001135;2;2;14;13;10;1;1;6;2231.115842;159.62860031
052016;2;0514EVA0001163;2;2;15;09;7;1;1;6;2571.0652873;145.54469881
052016;2;0514EVA0001424;2;2;15;09;3;1;1;1;1057.6594444;558.08642098
052016;2;0514EVA0002126;2;2;14;09;4;3;1;6;1167.8885095;215.97299637
052016;2;0514EVA0002132;2;2;14;09;2;1;1;1;653.36066856;373.02069212
052016;2;0514EVA0002151;2;2;15;09;6;1;1;1;1455.326675;324.23681619
052016;2;0514EVA0002159;2;2;14;09;6;3;3;6;1293.6618024;123.34398549
052016;2;0514EVA0002163;2;2;15;13;2;1;1;6;2661.7853125;975.31548242
052016;2;0514EVA0002190;2;2;14;09;7;1;1;1;1469.2938476;196.47526525
052016;2;0514EVA0002209;2;2;14;09;6;1;2;6;2191.2692807;142.72586361
052016;2;0514EVA0002793;2;2;15;09;4;1;1;6;2697.6389988;586.94107438
052016;2;0514EVA0003387;2;2;01;04;6;1;1;1;928.76701918;1470.447768
052016;2;0514EVA0003388;2;2;01;04;6;1;1;1;729.60107175;1470.447768
052016;2;0514EVA0003389;2;2;01;04;6;1;1;1;928.76701918;1470.447768
052016;2;0514EVA0003392;2;2;05;04;7;1;1;1;1041.2546314;222.50370723
052016;2;0514EVA0003393;2;2;05;04;7;1;1;1;1075.1153447;222.50370723
052016;2;0514EVA0003740;2;2;15;09;6;1;1;1;1455.326675;220.12198344
052016;2;0514EVA0003764;2;2;14;09;3;2;1;6;1437.9918821;313.79803446
052016;2;0514EVA0003769;2;2;14;09;3;1;1;6;3470.3538419;256.59447098
052016;2;0514EVA0004524;2;2;10;13;1;1;1;6;959.37455435;1249.8905402
052016;2;0514EVA0005478;2;2;11;10;4;1;2;6;1061.0218138;149.89336692
052016;2;0514EVA0006460;2;2;01;04;5;1;1;6;1011.9078493;1235.7491303
052016;2;0514EVA0006464;2;2;05;04;7;1;1;6;833.02925557;173.99494449
052016;2;0514EVA0006512;2;2;11;10;2;1;1;6;618.01279848;202.40869911
052016;2;0514EVA0007106;2;2;11;10;3;3;3;6;492.12766797;73.08058262
052016;2;0514EVA0007699;2;2;11;10;5;3;1;6;650.75978068;127.96272426
052016;2;0514EVA0007705;2;2;11;10;9;1;3;6;2030.942028;81.902584952
052016;2;0514EVA0008472;2;2;15;13;4;1;2;6;3384.9489938;758.60659633
052016;2;0514EVA0008850;2;2;15;13;5;1;1;6;3334.5693506;459.12039689
052016;2;0514EVA0009206;2;2;15;09;6;1;1;1;1524.0270465;244.66759527
052016;2;0514EVA0009208;2;2;15;09;6;1;1;1;1455.326675;244.91936447
052016;2;0514EVA0009219;2;2;15;09;6;1;1;6;2883.2629793;213.66874871
052016;2;0514EVA0009242;2;2;14;09;3;3;1;6;1098.5493373;215.97299637
052016;2;0514EVA0009378;2;2;05;04;6;1;1;1;943.42611207;270.57720836
052016;2;0514EVA0009379;2;2;05;04;6;1;1;1;743.50313527;270.57720836
052016;2;0514EVA0009472;2;2;15;09;2;1;1;6;2262.3203228;574.28430159
052016;2;0514EVA0009475;2;2;15;14;6;1;2;6;3431.9314563;199.70365264
052016;2;0514EVA0009490;2;2;15;09;8;1;1;6;3306.4930619;108.17145158
052016;2;0514EVA0009525;2;2;15;01;8;1;1;1;1773.9989185;166.65602749
052016;2;0514EVA0009648;2;2;05;04;7;1;1;1;1011.9686811;222.50370723
052016;2;0514EVA0009653;2;2;01;04;5;1;1;6;818.57043844;1235.7491303
052016;2;0514EVA0009655;2;2;01;04;7;1;1;6;982.5415224;1069.960262
052016;2;0514EVA0009665;2;2;02;01;10;3;1;6;1063.5937415;76.608332671
052016;2;0514EVA0009666;2;2;02;10;45;3;3;6;3523.2012333;41.946496537
052016;2;0514EVA0009667;2;2;02;01;28;3;1;6;2799.8621491;76.608332671
052016;2;0514EVA0009681;2;2;02;10;10;3;1;6;806.96946206;73.447525701
052016;2;0514EVA0009682;2;2;02;10;7;3;1;6;702.85676288;73.447525701
052016;2;0514EVA0009683;2;2;02;01;7;1;1;1;1267.4529252;128.28259343
052016;2;0514EVA0010204;2;2;14;09;8;1;1;6;2028.4999209;135.15193074
052016;2;0514EVA0010217;2;2;14;09;2;1;1;6;1301.4285363;291.69722801
052016;2;0514EVA0010652;2;2;14;09;6;1;1;6;1802.9079263;174.65952318
052016;2;0514EVA0010672;2;2;15;09;6;1;2;6;3288.145699;156.50669185
052016;2;0514EVA0010690;2;2;15;09;3;1;1;1;1057.6594444;558.08642098
052016;2;0514EVA0010694;2;2;15;09;35;3;3;1;4470.0550708;416.097826
052016;2;0514EVA0010761;2;2;14;09;3;1;1;6;1477.4767044;256.59447098
052016;2;0514EVA0010909;2;2;14;09;4;1;1;6;1647.2235935;225.71596921
052016;2;0514EVA0010910;2;2;14;09;7;1;1;6;1920.4772837;153.64104849
052016;2;0514EVA0010992;2;2;14;09;4;1;1;6;1647.2235935;225.71596921
052016;2;0514EVA0011000;2;2;15;09;95;2;2;6;13083.272053;676.45276497
052016;2;0514EVA0011003;2;2;15;09;3;1;1;1;1057.6594444;558.08642098
052016;2;0514EVA0011044;2;2;14;09;1;3;3;6;859.42125836;123.34398549
052016;2;0515EVA0000031;2;2;14;13;8;2;3;6;1749.0144287;329.35551321
052016;2;0515EVA0000037;2;2;10;13;4;1;2;6;1787.9892875;239.36345884
052016;2;0515EVA0000049;2;2;10;13;5;1;1;6;1625.9036506;263.46953988
052016;2;0515EVA0000050;2;2;10;01;10;3;3;6;1354.2450227;76.740383775
052016;2;0515EVA0000051;2;2;15;13;6;1;2;6;2870.3145473;407.99789514
052016;2;0515EVA0000106;2;2;10;12;14;3;3;6;1349.7574169;79.222077234
052016;2;0515EVA0000107;2;2;10;01;27;2;3;6;2851.7191318;111.49996526
052016;2;0515EVA0000202;2;2;03;04;5;2;1;6;601.80843396;214.40766679
052016;2;0515EVA0000206;2;2;03;04;3;3;3;6;476.26765317;84.276806214
052016;2;0515EVA0000240;2;2;03;04;4;2;1;6;725.64860108;214.40766679
052016;2;0515EVA0000241;2;2;03;04;4;1;1;6;678.03101513;231.0472819
052016;2;0515EVA0000277;2;2;10;13;8;1;1;6;1783.3281027;292.63850448
052016;2;0515EVA0000278;2;2;10;02;80;2;3;6;5550.3459967;115.10574257
052016;2;0515EVA0000301;2;2;15;01;10;1;1;1;2081.8556629;200.51731093
052016;2;0515EVA0000302;2;2;15;13;7;1;1;6;2603.3395316;366.1576964
052016;2;0515EVA0000311;2;2;10;13;5;1;1;6;1633.2680062;361.80079865
052016;2;0515EVA0000473;2;2;15;01;8;1;1;1;1980.7090638;265.3553014
052016;2;0515EVA0000582;2;2;15;09;6;1;1;6;2877.4465926;304.63694752
052016;2;0515EVA0000827;2;2;02;05;7;3;3;6;868.96985723;99.325685256
052016;2;0515EVA0000828;2;2;12;05;6;3;3;6;844.89022844;204.7680281
052016;2;0515EVA0000830;2;2;12;05;7;1;1;1;970.32601592;509.05644706
052016;2;0515EVA0000831;2;2;02;05;7;1;1;6;1163.6485814;208.34986783
052016;2;0515EVA0000861;2;2;02;05;7;1;2;6;1403.0206584;170.25647544
052016;2;0515EVA0001128;2;2;14;01;14;1;1;6;2758.2004702;71.685938302
052016;2;0515EVA0001377;2;2;09;10;7;3;3;6;571.92351041;104.62856557
052016;2;0515EVA0001388;2;2;05;14;5;1;2;6;980.36521391;219.82111998
052016;2;0515EVA0001395;2;2;05;10;21;3;2;6;995.69916616;217.30884693
052016;2;0515EVA0001400;2;2;09;10;30;3;3;6;1550.3390983;104.62856557
052016;2;0515EVA0001410;2;2;05;14;2;1;2;6;529.01286128;318.7781817
052016;2;0515EVA0001425;2;2;10;09;6;2;1;6;1205.2642774;529.46397179
052016;2;0515EVA0001430;2;2;10;09;4;1;2;6;1505.1146282;392.23265287
052016;2;0515EVA0001469;2;2;10;05;10;1;1;1;2381.9461839;684.99032271
052016;2;0515EVA0001492;2;2;10;09;14;1;1;6;2150.5577222;237.46269665
052016;2;0515EVA0001494;2;2;10;09;6;1;1;6;1336.5828572;416.97090078
052016;2;0515EVA0001495;2;2;10;09;8;1;1;6;1503.8251153;362.22478201
052016;2;0515EVA0001526;2;2;10;09;2;1;1;6;862.04134654;552.53643858
052016;2;0515EVA0001772;2;2;05;14;5;1;2;6;1067.6924599;223.45209608
052016;2;0515EVA0001785;2;2;05;10;10;3;1;6;511.87922625;265.92979455
052016;2;0515EVA0001786;2;2;05;08;8;3;1;6;516.96339101;227.19058618
052016;2;0515EVA0001801;2;2;09;10;2;3;1;6;783.20803051;183.20264845
052016;2;0515EVA0001802;2;2;05;10;4;3;3;6;396.40706013;151.87473097
052016;2;0515EVA0001941;2;2;10;01;10;2;1;6;1973.9615039;506.00383064
052016;2;0515EVA0001942;2;2;10;09;2;1;1;6;862.04134654;552.53643858
052016;2;0515EVA0001947;2;2;10;09;30;3;1;6;970.11637548;364.40610806
052016;2;0515EVA0002013;2;2;09;04;5;2;1;6;1029.1625958;436.68803923
052016;2;0515EVA0002046;2;2;09;04;5;2;1;6;972.02948381;258.02677859
052016;2;0515EVA0002047;2;2;09;04;5;3;1;6;304.07660783;300.55262924
052016;2;0515EVA0002089;2;2;02;05;7;1;1;1;1267.6286552;266.43658025
052016;2;0515EVA0002130;2;2;10;09;5;1;1;6;1374.3130532;160.75536462
052016;2;0515EVA0002131;2;2;10;13;8;3;3;6;901.08036126;146.43039028
052016;2;0515EVA0002213;2;2;03;04;7;1;1;1;799.11945813;163.76998287
052016;2;0515EVA0002215;2;2;03;04;7;1;1;1;757.47573495;163.76998287
052016;2;0515EVA0002216;2;2;03;04;7;1;1;1;725.44836355;163.76998287
052016;2;0515EVA0002225;2;2;09;04;45;3;1;6;1769.4116531;385.87928018
052016;2;0515EVA0002226;2;2;09;04;6;1;1;6;941.80103393;358.21725717
052016;2;0515EVA0002233;2;2;03;04;7;1;1;1;788.82305496;163.76998287
052016;2;0515EVA0002234;2;2;03;04;6;1;1;1;693.22162344;168.27987863
052016;2;0515EVA0002242;2;2;03;04;7;1;1;1;980.80799848;163.76998287
052016;2;0515EVA0002252;2;2;09;04;7;3;1;6;587.76947895;385.87928018
052016;2;0515EVA0002260;2;2;03;04;7;1;1;1;999.74980549;163.76998287
052016;2;0515EVA0002376;2;2;05;10;4;1;1;6;668.65749421;292.19604406
052016;2;0515EVA0002377;2;2;05;10;21;3;3;6;834.09297202;151.87473097
