mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
072016;2;0714EVA0000124;2;2;11;10;11;3;1;6;721.07037007;175.28331505
072016;2;0714EVA0000125;2;2;11;04;7;3;1;6;929.27853393;233.45308537
072016;2;0714EVA0000126;2;2;11;14;19;3;1;6;1882.4810736;121.6489707
072016;2;0714EVA0000136;2;2;11;10;7;3;1;6;753.29751329;175.28331505
072016;2;0714EVA0000139;2;2;11;10;17;3;1;6;2119.7710974;175.28331505
072016;2;0714EVA0000141;2;2;11;10;7;3;1;6;790.26523731;175.28331505
072016;2;0714EVA0000390;2;2;11;10;21;3;1;6;1456.1607029;175.28331505
072016;2;0714EVA0000391;2;2;11;10;14;1;1;6;1807.8166541;67.087613849
072016;2;0714EVA0000392;2;2;11;10;13;3;1;6;799.52533775;175.28331505
072016;2;0714EVA0000393;2;2;11;10;4;3;2;6;487.87971089;126.22791146
072016;2;0714EVA0000394;2;2;11;14;7;3;1;6;868.15315156;198.84402273
072016;2;0714EVA0000405;2;2;11;10;7;3;1;6;555.77294464;175.28331505
072016;2;0714EVA0000406;2;2;11;10;14;3;1;6;1051.2719086;175.28331505
072016;2;0714EVA0000408;2;2;11;10;14;3;1;6;1075.1744109;175.28331505
072016;2;0714EVA0007161;2;2;11;04;7;1;1;1;1318.293361;237.98983376
072016;2;0714EVA0007162;2;2;11;04;14;1;1;1;1452.9610555;76.955762534
072016;2;0714EVA0007163;2;2;11;04;7;1;1;1;1318.293361;237.98983376
072016;2;0714EVA0007165;2;2;11;04;30;3;1;6;2230.5691274;242.13109235
072016;2;0714EVA0007197;2;2;11;04;7;1;1;1;1088.9621195;237.98983376
072016;2;0714EVA0007198;2;2;11;04;7;1;1;1;1088.9621195;237.98983376
072016;2;0714EVA0007199;2;2;11;04;5;1;1;1;919.43905837;328.58599676
072016;2;0714EVA0009608;2;2;02;04;7;1;1;1;890.0674101;313.23671958
072016;2;0714EVA0009609;2;2;02;04;6;3;1;6;574.99868229;232.41704759
072016;2;0714EVA0009610;2;2;02;04;11;1;1;1;1135.8052994;196.80332374
072016;2;0714EVA0009636;2;2;02;04;10;1;1;1;1223.8924703;221.05100226
072016;2;0714EVA0009637;2;2;02;04;10;1;1;1;1575.3207426;221.05100226
