A0_1;C9_0;ccaa_etapa;pernoc_etapa
1014EVA0000255;01;09;3
1014EVA0000255;02;13;30
1014EVA0000255;03;01;2
1014EVA0000255;04;01;2
1014EVA0000325;01;09;4
1014EVA0000325;02;13;4
1014EVA0000446;01;04;14
1014EVA0000479;01;09;2
1014EVA0000481;01;09;5
1014EVA0000514;01;09;8
1014EVA0000517;01;06;30
1014EVA0000518;01;04;14
1014EVA0000519;01;09;11
1014EVA0000520;01;09;10
1014EVA0000521;01;09;14
1014EVA0000608;01;01;5
1014EVA0000609;01;09;4
1014EVA0000609;02;13;6
1014EVA0000609;03;01;4
1014EVA0000635;01;09;4
1014EVA0000635;02;13;4
1014EVA0000635;03;10;2
1014EVA0000636;01;13;4
1014EVA0000636;02;07;2
1014EVA0000636;03;12;10
1014EVA0000636;04;12;4
1014EVA0000636;05;07;2
1014EVA0000980;01;04;10
1014EVA0000981;01;04;1
1014EVA0001006;01;04;7
1014EVA0001008;01;04;3
1014EVA0001250;01;04;6
1014EVA0001251;01;04;4
1014EVA0001279;01;04;20
1014EVA0001280;01;04;2
1014EVA0001307;01;09;4
1014EVA0001307;02;16;3
1014EVA0001307;03;13;5
1014EVA0001341;01;13;4
1014EVA0001342;01;09;7
1014EVA0001343;01;09;2
1014EVA0001343;02;13;2
1014EVA0001344;01;13;10
1014EVA0001345;01;09;5
1014EVA0001346;01;17;5
1014EVA0001391;01;09;5
1014EVA0001391;02;09;7
1014EVA0001392;01;09;11
1014EVA0001393;01;09;15
1014EVA0001485;01;09;3
1014EVA0001485;02;13;4
1014EVA0001743;01;09;4
1014EVA0001758;01;09;11
1014EVA0001759;01;09;12
1014EVA0001791;01;09;8
1014EVA0001794;01;09;2
1014EVA0001794;02;09;8
1014EVA0001825;01;09;8
1014EVA0001825;02;13;5
1014EVA0001826;01;09;14
1014EVA0001920;01;15;2
1014EVA0001920;02;16;2
1014EVA0001920;03;13;15
1014EVA0001920;04;10;2
1014EVA0002046;01;04;7
1014EVA0002256;01;13;5
1014EVA0002257;01;13;4
1014EVA0002257;02;08;2
1014EVA0002257;03;07;2
1014EVA0002257;04;07;2
1014EVA0002257;05;07;2
1014EVA0002258;01;13;4
1014EVA0002402;01;04;7
1014EVA0002403;01;04;10
1014EVA0002406;01;04;8
1014EVA0002407;01;04;3
1014EVA0002407;02;04;2
1014EVA0002440;01;04;5
1014EVA0002441;01;04;9
1014EVA0002446;01;04;21
1014EVA0002447;01;04;2
1014EVA0002470;01;04;7
1014EVA0002471;01;04;7
1014EVA0002498;01;04;7
1014EVA0002499;01;04;13
1014EVA0002503;01;04;9
1014EVA0002770;01;04;9
1014EVA0002773;01;04;5
1014EVA0002811;01;04;7
1014EVA0002812;01;04;15
1014EVA0002813;01;04;7
1014EVA0002964;01;04;7
1014EVA0002965;01;04;10
1014EVA0002983;01;04;35
1014EVA0003083;01;09;2
1014EVA0003083;02;09;8
1014EVA0003090;01;09;7
1014EVA0003468;01;04;3
1014EVA0003744;01;10;7
1014EVA0003745;01;09;7
1014EVA0003805;01;04;6
1014EVA0003904;01;13;7
1014EVA0003920;01;09;4
1014EVA0003920;02;13;3
1014EVA0004022;01;10;3
1014EVA0004040;01;10;1
1014EVA0004040;02;10;1
1014EVA0004040;03;10;2
1014EVA0004041;01;10;3
1014EVA0004175;01;05;7
1014EVA0004175;02;09;1
1014EVA0004280;01;07;5
1014EVA0004313;01;01;1
1014EVA0004313;02;09;2
1014EVA0004313;03;13;2
1014EVA0004516;01;10;14
1014EVA0004621;01;14;21
1014EVA0004621;02;10;1
1014EVA0004633;01;10;4
1014EVA0004657;01;10;4
1014EVA0004814;01;04;4
1014EVA0004992;01;09;7
1014EVA0004993;01;09;15
1014EVA0004997;01;09;3
1014EVA0004997;02;13;2
1014EVA0005016;01;09;6
