mm_aaaa;A0;A0_1;A0_7;A1;pais;ccaa;A13;aloja;motivo;A16;gastototal;factoregatur
012017;2;0115EVA0000106;2;2;14;13;4;1;1;6;1464.6087706;188.80330377
012017;2;0115EVA0000142;2;2;14;13;18;3;3;6;1690.4543425;96.945894767
012017;2;0115EVA0000872;2;2;14;13;19;3;3;6;1890.8171938;96.945894767
012017;2;0115EVA0001326;2;2;14;09;13;3;3;6;1671.5380879;87.97956387
012017;2;0115EVA0001394;2;2;04;01;7;1;1;6;1009.9270598;93.575647484
012017;2;0115EVA0001395;2;2;04;01;12;1;1;1;1602.0324588;75.969917725
012017;2;0115EVA0001396;2;2;04;01;21;3;3;6;1500.5554079;53.755966611
012017;2;0115EVA0001397;2;2;04;01;42;2;1;6;2599.3245896;258.79762425
012017;2;0115EVA0001398;2;2;04;01;21;2;1;6;1198.1376168;258.79762425
012017;2;0115EVA0001399;2;2;04;01;13;3;1;6;1056.6489401;151.45992336
012017;2;0115EVA0001400;2;2;04;01;21;3;3;6;1484.7917441;53.755966611
012017;2;0115EVA0001401;2;2;04;01;7;1;1;6;766.6604865;93.575647484
012017;2;0115EVA0001402;2;2;04;01;20;3;3;6;1441.6072998;53.755966611
012017;2;0115EVA0001403;2;2;04;01;7;1;1;6;1140.887884;93.575647484
012017;2;0115EVA0001424;2;2;04;01;20;3;1;6;907.45634089;151.45992336
012017;2;0115EVA0001426;2;2;04;01;21;3;1;6;1282.8513682;151.45992336
012017;2;0115EVA0001427;2;2;04;10;7;3;1;6;708.86504048;93.71263802
012017;2;0115EVA0001429;2;2;04;01;8;3;1;6;876.9945244;151.45992336
012017;2;0115EVA0001430;2;2;04;01;14;3;1;6;1033.7961962;151.45992336
012017;2;0115EVA0001431;2;2;04;01;21;3;3;6;983.34139456;53.755966611
012017;2;0115EVA0001432;2;2;04;01;7;3;1;6;676.10171066;151.45992336
012017;2;0115EVA0001433;2;2;04;01;21;3;1;6;1718.3119345;151.45992336
